"Daily Weather Observations for Ballarat, Victoria for January 2018"
"Prepared at 16:01 UTC on Tuesday  7 August 2018   IDCJDW3005.201801"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-01-1,12.3,25.4,0.2,,,S,37,17:52,14.9,72,2,SSW,15,1008.7,24.2,29,,W,17,1006.7
,2018-01-2,9.7,21.0,0,,,SSW,43,19:07,14.4,67,5,S,17,1008.2,20.3,44,7,SW,20,1008.4
,2018-01-3,9.3,22.8,0,,,S,44,14:24,12.9,85,8,S,20,1014.9,21.3,38,,S,22,1014.4
,2018-01-4,10.5,27.4,0,,,S,39,18:32,16.3,59,,SSW,9,1016.0,25.5,31,,S,15,1015.2
,2018-01-5,11.9,32.2,0,,,WNW,35,12:55,19.4,61,,SE,7,1015.5,30.8,18,,W,24,1013.0
,2018-01-6,16.4,39.7,0,,,N,69,11:59,27.2,29,,N,30,1011.3,38.2,10,,NNW,43,1006.7
,2018-01-7,12.3,26.4,0,,,ESE,41,09:07,15.3,94,8,SSE,20,1015.2,23.3,41,8,SSE,19,1013.4
,2018-01-8,12.9,27.3,0,,,SE,35,09:10,15.4,89,8,SSE,20,1012.9,25.9,37,2,E,11,1011.1
,2018-01-9,8.8,21.5,0,,,S,69,14:57,14.9,79,4,SW,20,1014.9,20.4,35,3,SW,26,1016.0
,2018-01-10,8.2,25.3,0,,,SE,50,06:26,15.0,68,,SE,33,1017.0,22.6,35,4,SE,22,1015.6
,2018-01-11,9.4,32.3,0,,,N,41,11:43,23.3,28,3,NNE,17,1013.3,30.2,14,,WNW,9,1011.5
,2018-01-12,19.9,24.9,0.4,,,NNE,35,03:29,21.1,79,8,NNE,7,1005.0,21.0,96,7,NW,13,1004.7
,2018-01-13,11.0,18.0,3.4,,,SSW,56,18:34,13.9,75,1,W,26,1005.2,13.5,97,7,WNW,24,1003.9
,2018-01-14,6.7,20.5,4.2,,,SSE,52,13:29,12.0,84,3,SSE,24,1017.1,18.5,36,1,S,26,1017.5
,2018-01-15,9.2,24.6,0,,,SSE,54,14:58,14.4,99,8,S,31,1019.7,23.2,47,3,SSE,33,1019.3
,2018-01-16,9.9,26.3,0,,,SSE,44,23:36,16.5,72,,ESE,22,1021.7,25.5,29,,SE,20,1019.8
,2018-01-17,10.8,32.7,0,,,ESE,37,19:29,21.5,26,,ESE,11,1018.2,30.6,10,,S,7,1016.1
,2018-01-18,13.6,38.2,0,,,NW,52,15:55,26.8,24,,NNE,28,1016.4,35.9,9,,NNW,24,1013.5
,2018-01-19,17.2,40.5,0,,,NW,65,12:53,29.1,13,,N,31,1013.7,38.9,5,,NW,22,1011.2
,2018-01-20,17.2,29.7,0,,,S,44,14:08,19.9,77,5,S,22,1014.2,27.6,38,5,S,33,1012.6
,2018-01-21,19.0,35.2,0,,,SE,43,00:37,26.8,35,2,SW,11,1009.8,32.5,26,8,SW,15,1007.8
,2018-01-22,15.6,31.6,0,,,SSE,44,19:06,17.7,90,,SSW,13,1008.9,31.1,26,,SSW,19,1007.1
,2018-01-23,12.6,28.4,0,,,SE,43,20:32,16.3,77,1,SSE,28,1011.4,26.8,26,,SSW,20,1009.6
,2018-01-24,12.0,29.4,0,,,SE,44,19:21,16.1,90,7,SSE,26,1010.1,27.9,23,,SE,17,1008.5
,2018-01-25,14.0,34.4,0,,,ESE,43,23:53,20.8,70,2,ESE,9,1009.3,31.8,29,5,NNE,15,1007.2
,2018-01-26,15.4,33.5,0,,,WSW,63,15:13,23.9,67,,E,7,1010.1,32.3,33,8,SW,4,1008.2
,2018-01-27,16.4,33.5,25.4,,,ESE,39,19:21,22.7,76,,NE,6,1011.0,32.4,35,2,NE,11,1008.7
,2018-01-28,22.0,36.7,0,,,NNE,48,12:05,26.8,55,,NNE,31,1009.5,34.7,26,,N,26,1006.7
,2018-01-29,24.1,33.9,0,,,NNE,59,08:24,25.5,63,7,NNE,41,1007.2,29.1,50,7,SW,24,1006.5
,2018-01-30,11.6,18.7,10.2,,,SSE,54,10:15,12.3,94,8,S,31,1011.4,17.3,49,4,SSW,30,1011.5
,2018-01-31,8.5,18.0,0,,,SSE,63,16:39,11.8,63,8,S,33,1014.6,16.8,36,4,SSE,35,1014.2
