"Daily Weather Observations for Ballarat, Victoria for February 2018"
"Prepared at 13:01 UTC on Monday 20 August 2018   IDCJDW3005.201802"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-02-1,8.6,20.8,0,,,SSE,48,11:03,12.8,79,8,SSE,28,1016.0,19.3,41,1,SE,31,1015.3
,2018-02-2,11.6,23.9,0,,,SSE,48,04:44,15.1,72,2,SE,33,1017.8,23.3,38,,SE,20,1016.7
,2018-02-3,13.3,26.8,0.2,,,SE,46,07:34,16.6,79,,SE,37,1020.8,25.2,36,2,SE,24,1020.1
,2018-02-4,13.4,29.6,0,,,SE,39,23:27,19.1,56,,ESE,13,1024.1,27.6,20,,S,15,1021.0
,2018-02-5,9.7,31.7,0,,,SE,48,20:21,18.9,51,,SE,6,1019.9,29.7,19,,SW,20,1017.0
,2018-02-6,12.6,32.5,0,,,S,52,15:03,20.1,64,,SE,17,1016.9,31.2,19,,SE,13,1014.6
,2018-02-7,17.2,35.4,0,,,S,43,19:21,25.0,35,,NNE,30,1014.8,33.9,14,,N,13,1013.1
,2018-02-8,17.6,30.8,0,,,SSE,37,20:04,21.0,62,8,NNE,9,1013.5,29.9,28,7,S,19,1014.7
,2018-02-9,17.5,29.0,0,,,SE,35,07:05,19.1,91,6,SE,24,1014.9,26.4,49,4,SSE,13,1013.4
,2018-02-10,15.6,30.5,0,,,NNW,69,13:26,23.4,52,8,NNW,15,1007.5,28.1,38,8,NNW,48,1003.6
,2018-02-11,10.5,21.4,0.4,,,S,41,08:21,14.2,81,1,S,28,1008.4,19.4,41,2,WSW,20,1008.3
,2018-02-12,9.3,22.6,0,,,SSE,35,11:14,13.1,71,8,SSW,15,1010.8,21.3,37,4,SW,20,1010.8
,2018-02-13,10.4,27.4,0,,,WNW,50,15:51,14.7,98,,NNW,7,1012.2,24.8,32,,WNW,11,1009.2
,2018-02-14,12.2,20.5,0.4,,,W,69,10:46,12.5,98,7,W,37,1006.5,19.3,27,,W,37,1011.0
,2018-02-15,5.3,21.6,0,,,WNW,44,09:21,14.1,61,5,WNW,22,1013.8,20.7,36,7,WNW,24,1012.3
,2018-02-16,11.2,22.5,0.4,,,SSW,37,10:19,12.6,98,5,SW,19,1014.0,20.7,36,,SSW,19,1013.3
,2018-02-17,5.3,27.7,0.2,,,NNW,44,10:50,14.4,82,,WNW,6,1013.2,26.3,20,,WNW,24,1011.2
,2018-02-18,9.5,27.8,0,,,SE,48,21:52,17.8,61,1, ,Calm,1011.8,25.9,32,5,WSW,20,1011.6
,2018-02-19,13.6,22.0,0.6,,,SE,76,20:29,13.7,100,8,SE,35,1015.0,20.7,69,8,SE,35,1014.7
,2018-02-20,11.9,29.1,0,,,SE,69,23:04,14.9,84,,SE,24,1017.6,27.6,35,,ESE,13,1014.9
,2018-02-21,14.4,26.0,0,,,N,50,08:37,18.6,50,6,NNE,31,1015.3,25.5,35,8,N,28,1014.2
,2018-02-22,18.4,22.2,0,,,NNE,39,08:40,21.5,45,8,NE,19,1014.4,19.6,77,8,N,20,1013.8
,2018-02-23,17.4,32.8,4.0,,,NNE,65,11:23,18.6,98,8,NE,19,1011.0,31.1,31,2,N,44,1006.9
,2018-02-24,18.5,27.2,0.6,,,S,44,21:54,25.0,54,,N,24,1003.9,17.3,88,8,SSW,24,1006.3
,2018-02-25,10.6,18.1,0,,,SSE,72,15:11,11.9,76,8,SSE,37,1011.0,16.0,49,8,SSE,46,1011.1
,2018-02-26,10.8,26.0,0,,,ESE,52,02:37,14.0,85,,SE,30,1015.3,23.5,37,,E,13,1013.8
,2018-02-27,10.5,30.0,0,,,N,57,08:39,18.3,60,,N,37,1015.5,28.1,27,,NNW,28,1012.9
,2018-02-28,15.3,25.3,0,,,W,65,15:34,19.5,38,7,N,30,1005.4,21.9,38,6,W,39,1006.9
