"Daily Weather Observations for Ballarat, Victoria for March 2018"
"Prepared at 13:01 UTC on Sunday 19 August 2018   IDCJDW3005.201803"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-03-1,11.6,22.8,0.2,,,SE,41,17:38,11.8,100,8,S,22,1016.5,20.4,48,4,S,22,1016.5
,2018-03-2,11.6,26.4,0.2,,,SE,35,06:41,15.3,89,8,SE,26,1014.5,24.4,33,8,NNE,7,1012.0
,2018-03-3,11.1,29.6,0,,,NW,48,12:34,20.4,50,,NNE,19,1009.2,26.9,34,1,SW,28,1008.3
,2018-03-4,11.2,21.5,0,,,SSE,43,14:15,12.9,83,1,SSE,24,1015.5,19.4,35,,SSE,19,1014.7
,2018-03-5,7.3,19.5,0,,,S,54,10:14,11.0,90,,S,26,1018.5,17.5,54,8,SSE,22,1020.0
,2018-03-6,11.0,23.8,0,,,SE,59,05:26,14.2,75,3,SE,37,1023.6,22.9,32,,ESE,26,1022.8
,2018-03-7,10.7,28.3,0,,,NNE,46,08:17,18.4,47,,NNE,30,1025.8,26.7,28,,NNE,9,1023.9
,2018-03-8,10.5,30.2,0,,,SE,44,17:35,19.9,45,,NNE,22,1025.5,27.9,23,,SSW,13,1023.2
,2018-03-9,10.5,31.8,0,,,ESE,43,18:13,21.0,37,,ENE,7,1026.1,30.9,17,,SE,13,1023.7
,2018-03-10,11.6,32.6,0,,,NNW,39,10:10,23.5,31,,NNE,13,1025.2,31.5,16,,N,11,1023.2
,2018-03-11,12.1,25.8,0,,,SSE,43,21:24,18.6,59,,SSW,13,1023.5,24.8,42,,S,22,1022.5
,2018-03-12,10.4,19.8,0,,,S,46,01:57,11.9,73,8,S,33,1023.2,18.5,45,,SSW,28,1021.6
,2018-03-13,11.1,22.1,0,,,SSE,44,13:04,12.9,86,8,S,24,1022.9,21.0,38,,SSE,24,1020.9
,2018-03-14,10.6,23.8,0,,,SSE,37,23:09,12.7,80,6,S,24,1020.7,22.6,31,,SSW,17,1016.1
,2018-03-15,9.0,20.4,0,,,SSE,33,13:00,12.2,89,,SSE,17,1014.6,18.8,45,2,S,17,1014.7
,2018-03-16,10.5,25.7,0,,,NNW,41,13:42,13.9,86,1,E,19,1015.4,23.4,27,8,NW,24,1013.1
,2018-03-17,13.8,29.0,0,,,NNW,76,19:22,19.2,56,,NNE,30,1012.7,28.3,26,1,N,44,1009.2
,2018-03-18,15.8,19.1,0,,,WNW,80,11:02,15.9,84,8,WNW,37,1004.5,17.8,28,1,W,44,1011.4
,2018-03-19,7.0,23.5,0,,,WNW,52,14:03,12.0,78,8,N,20,1015.7,20.5,43,4,WNW,31,1014.8
,2018-03-20,9.1,17.7,0.4,,,ESE,65,22:42,11.0,97,7,SSE,22,1025.2,16.5,42,5,SE,35,1026.0
,2018-03-21,9.7,22.9,0,,,ESE,65,23:39,11.5,74,8,SE,31,1027.4,22.1,39,,ESE,30,1024.6
,2018-03-22,10.0,26.4,0,,,NNE,50,10:10,16.0,53,1,NNE,24,1025.2,25.2,30,,NNE,24,1022.1
,2018-03-23,13.6,26.6,0,,,NNE,50,08:17,16.9,59,,NNE,30,1022.0,25.2,33,,NNE,28,1017.8
,2018-03-24,15.3,21.9,4.2,,,NNE,39,22:33,15.3,99,8,SW,11,1014.9,19.9,86,1,N,24,1010.7
,2018-03-25,15.0,21.1,23.2,,,NW,74,17:42,15.0,87,8,NNW,19,1002.2,18.5,38,8,WNW,35,1000.2
,2018-03-26,6.0,15.0,7.0,,,W,52,09:49,7.8,98,8,W,22,1008.8,14.0,55,8,W,31,1010.8
,2018-03-27,2.3,19.8,0,,,N,46,12:24,7.9,100,6,N,13,1016.1,17.4,42,7,N,31,1013.0
,2018-03-28,7.9,27.7,0,,,N,57,07:30,15.9,41,,N,37,1012.8,26.9,19,,WNW,17,1013.6
,2018-03-29,12.7,21.8,0,,,WSW,28,14:24,13.3,99,8,SSW,11,1016.6,20.8,41,,WSW,13,1015.0
,2018-03-30,8.9,21.1,0,,,WSW,43,10:32,13.3,98,8,W,13,1016.1,20.3,47,4,SW,20,1016.3
,2018-03-31,7.5,22.0,0,,,W,30,12:10,11.3,85,,ESE,17,1017.9,19.9,39,,NNW,11,1015.6
