"Daily Weather Observations for Ballarat, Victoria for April 2018"
"Prepared at 13:01 UTC on Saturday 18 August 2018   IDCJDW3005.201804"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-04-1,8.4,25.4,0,,,NW,54,14:34,16.9,49,8,N,17,1014.8,24.1,27,8,NW,31,1012.4
,2018-04-2,10.8,19.5,0,,,S,39,14:41,11.8,80,7,SW,20,1019.4,17.3,48,4,S,20,1019.3
,2018-04-3,10.6,19.2,0,,,SSW,37,08:13,13.1,82,8,S,19,1023.7,18.1,51,,SSW,17,1021.6
,2018-04-4,7.2,26.5,0.2,,,SSE,30,00:33,15.4,61,,SE,9,1020.5,25.8,16,,NW,7,1017.7
,2018-04-5,6.3,19.9,0.2,,,S,30,19:30,10.2,100,8,S,11,1017.0,18.6,39,,SSW,15,1015.8
,2018-04-6,8.5,19.8,0,,,S,35,15:43,11.6,100,8,S,15,1020.5,18.3,50,4,SSW,20,1019.5
,2018-04-7,3.7,22.9,0,,,W,31,13:02,14.2,61,,ESE,7,1021.6,22.7,33,,WSW,13,1019.0
,2018-04-8,9.0,28.7,0,,,N,56,11:02,18.3,43,,N,28,1018.0,27.2,18,7,NW,28,1015.1
,2018-04-9,7.8,26.4,0,,,NNE,31,23:57,14.4,100,1,SSE,4,1020.2,25.2,31,,NNE,7,1017.6
,2018-04-10,14.4,26.7,0,,,N,43,14:22,22.3,41,1,NNE,13,1017.7,25.2,35,6,N,31,1015.6
,2018-04-11,15.6,32.2,0,,,ESE,46,20:39,21.9,51,8,ENE,7,1016.8,31.6,19,3,NW,22,1013.1
,2018-04-12,16.7,23.4,0.4,,,N,59,01:25,17.3,72,8,NW,9,1010.3,23.0,29,,WNW,30,1009.8
,2018-04-13,6.0,20.6,0,,,WNW,65,21:10,11.5,98,7,N,19,1010.4,19.9,38,,N,43,1003.1
,2018-04-14,7.6,12.3,0.2,,,W,74,13:40,9.2,98,8,N,41,996.7,10.5,76,8,W,46,996.5
,2018-04-15,5.6,14.4,13.8,,,W,63,02:24,10.7,100,8,NNW,24,1003.5,13.5,100,8,W,28,1005.8
,2018-04-16,10.7,17.6,4.6,,,W,56,11:07,14.4,98,7,WNW,24,1012.4,13.9,99,8,WSW,26,1014.9
,2018-04-17,6.9,14.1,1.4,,,SE,41,20:03,10.0,72,1,SSE,24,1025.0,14.0,57,,ESE,19,1023.7
,2018-04-18,3.8,20.6,0,,,N,41,14:24,9.8,83,,NNW,4,1023.4,20.0,33,,N,24,1019.0
,2018-04-19,5.1,21.7,0,,,ESE,26,19:43,15.6,63,2, ,Calm,1019.6,21.1,31,,SSW,11,1018.5
,2018-04-20,5.9,24.3,0,,,SSE,30,15:12,15.7,62,, ,Calm,1022.5,23.5,30,,S,19,1020.5
,2018-04-21,3.3,23.9,0,,,WSW,30,12:10,13.9,70,,ESE,7,1022.6,21.6,38,8,S,11,1020.3
,2018-04-22,5.8,23.5,0,,,NW,28,13:50,15.4,83,,SE,13,1023.1,22.6,39,,SW,7,1020.5
,2018-04-23,7.2,26.0,0,,,N,37,10:31,17.7,54,,NNE,24,1020.0,25.1,26,,N,26,1016.6
,2018-04-24,12.8,21.5,0,,,NNE,39,04:06,17.8,39,3,N,26,1017.0,19.7,59,8,NW,20,1016.0
,2018-04-25,9.6,18.7,0,,,W,33,13:39,12.6,98,8,SSW,9,1017.5,17.6,44,,W,22,1015.1
,2018-04-26,6.0,15.5,0,,,WSW,37,12:06,11.3,99,7,SW,13,1020.3,14.3,55,7,SW,20,1020.6
,2018-04-27,4.9,16.5,0,,,SE,41,12:23,10.8,99,1,SSE,22,1026.5,16.0,55,,SE,26,1025.3
,2018-04-28,8.5,20.2,0,,,ESE,35,06:00,12.0,86,,E,15,1027.2,19.7,35,,W,9,1025.2
,2018-04-29,6.6,17.5,0,,,SSE,35,10:21,11.1,93,8,SSE,22,1029.3,16.4,47,1,SSW,20,1027.8
,2018-04-30,4.6,20.2,0.2,,,SSE,20,00:05,9.9,100,,SSE,9,1028.6,19.9,24,,SW,7,1027.0
