"Daily Weather Observations for Ballarat, Victoria for May 2018"
"Prepared at 13:01 UTC on Friday 17 August 2018   IDCJDW3005.201805"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-05-1,3.1,20.2,0.2,,,N,39,11:32,14.1,43,,NNE,9,1026.2,18.8,29,,N,28,1022.8
,2018-05-2,9.1,20.8,0,,,N,37,16:19,12.8,56,7,NNW,17,1018.4,19.9,34,,NNW,24,1014.4
,2018-05-3,7.8,19.5,0,,,N,54,13:53,14.8,43,,N,31,1012.7,17.7,31,8,N,39,1008.0
,2018-05-4,7.0,13.2,7.2,,,W,61,13:56,8.5,99,8,NW,26,1011.9,11.4,73,1,W,31,1016.3
,2018-05-5,6.4,17.5,3.0,,,WNW,46,13:31,9.5,100,8,N,13,1027.7,16.3,61,1,WNW,28,1028.1
,2018-05-6,3.3,17.6,0,,,NNW,33,12:58,9.9,100,8,NNW,11,1032.6,17.4,55,5,NNW,20,1028.5
,2018-05-7,6.1,17.1,0.2,,,NNW,67,13:34,9.3,98,1,N,31,1020.5,16.1,45,7,NNW,48,1014.8
,2018-05-8,7.3,15.9,0.2,,,SSW,24,02:21,10.4,99,,SSE,11,1023.1,15.1,55,,W,9,1021.4
,2018-05-9,1.9,14.7,0,,,NNW,44,16:41,9.3,98,8,N,20,1020.4,13.8,65,8,NNW,31,1015.8
,2018-05-10,4.3,8.2,10.2,,,WSW,52,01:22,5.5,98,,W,28,1011.4,5.0,99,,WSW,15,1009.2
,2018-05-11,2.8,9.6,22.4,,,SSW,74,12:20,8.2,100,7,SSW,31,1011.9,9.0,100,8,SSW,39,1014.4
,2018-05-12,7.2,12.6,5.4,,,S,57,01:39,8.9,98,,S,24,1024.2,11.9,98,,S,35,1024.4
,2018-05-13,7.6,12.6,0.6,,,S,41,00:08,8.9,99,,S,24,1029.5,11.8,75,,S,19,1029.1
,2018-05-14,5.2,14.8,0.2,,,SE,33,03:28,6.8,100,8,SE,11,1029.8,14.2,63,,SSW,11,1026.0
,2018-05-15,5.6,11.9,0.2,,,S,43,11:46,9.1,98,,SSW,9,1027.0,10.6,98,7,S,22,1027.3
,2018-05-16,3.9,10.3,0.4,,,S,41,10:24,7.0,100,7,S,13,1031.6,9.4,65,8,SSW,17,1030.6
,2018-05-17,6.8,11.0,0,,,W,37,12:18,7.8,100,8,WSW,15,1028.6,9.8,98,8,WSW,13,1025.9
,2018-05-18,7.6,13.8,3.0,,,SW,37,15:41,10.0,100,8,SW,13,1024.4,12.6,84,6,SSW,20,1023.7
,2018-05-19,4.4,10.1,1.0,,,WSW,30,16:10,7.2,100,7,W,9,1026.1,10.0,78,8,SW,17,1024.3
,2018-05-20,7.0,13.2,0,,,W,50,22:08,10.0,100,8,WSW,19,1024.2,12.3,98,8,WSW,28,1023.3
,2018-05-21,8.3,12.1,1.8,,,WSW,48,03:02,9.4,100,8,WSW,22,1024.0,10.5,99,8,WSW,28,1022.9
,2018-05-22,9.2,13.1,0.8,,,WSW,43,04:08,10.5,100,8,WSW,20,1025.5,12.5,100,,SW,17,1025.3
,2018-05-23,9.0,10.9,2.4,,,SSW,31,20:51,9.4,100,8,SW,13,1028.8,10.8,90,8,SSW,13,1027.5
,2018-05-24,8.9,12.6,0,,,S,35,12:00,9.8,80,8,S,17,1028.7,11.4,85,8,S,19,1026.5
,2018-05-25,5.3,15.0,0,,,SE,41,03:57,8.0,88,,SE,17,1029.0,14.4,50,,NNE,7,1026.1
,2018-05-26,2.2,16.3,0.4,,,N,37,10:08,10.0,87,,NNE,15,1027.6,14.7,57,,NNE,26,1025.1
,2018-05-27,7.4,15.4,0,,,N,50,14:14,11.9,72,5,NNE,28,1024.8,14.6,71,8,N,24,1022.3
,2018-05-28,10.6,15.4,0,,,NNE,57,21:03,11.3,74,8,N,26,1021.2,14.9,71,1,NNE,35,1016.9
,2018-05-29,8.8,12.0,8.4,,,NNE,50,00:16,10.7,94,3,NNW,26,1014.8,10.8,77,8,WSW,17,1016.3
,2018-05-30,0.6,11.9,2.4,,,W,54,20:51,4.5,100,1,W,7,1024.0,11.4,61,8,NW,28,1022.1
,2018-05-31,4.5,11.7,3.4,,,S,39,10:56,7.4,95,,SSW,15,1028.5,11.2,60,,S,26,1028.9
