"Daily Weather Observations for Ballarat, Victoria for June 2018"
"Prepared at 16:01 UTC on Thursday 16 August 2018   IDCJDW3005.201806"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-06-1,-1.6,14.0,0.4,,,ESE,22,10:23,3.9,100,,W,4,1030.8,13.7,31,,S,13,1028.5
,2018-06-2,1.6,14.2,0,,,ESE,30,10:51,8.6,76,,SE,17,1027.9,13.1,60,4,SE,20,1026.7
,2018-06-3,3.4,12.3,0,,,SE,39,11:34,7.4,99,,SSE,17,1025.2,12.0,65,,SE,19,1023.5
,2018-06-4,1.7,12.5,0.2,,,S,31,14:46,7.2,100,8,SSE,13,1024.5,11.8,66,1,S,20,1023.9
,2018-06-5,6.0,13.4,0.4,,,SE,37,10:53,7.5,100,7,S,13,1029.5,11.9,63,2,ESE,22,1028.3
,2018-06-6,1.3,15.0,0.4,,,NNE,46,13:14,8.6,98,,NE,9,1030.3,14.5,51,,NE,28,1027.0
,2018-06-7,7.8,13.2,0,,,N,59,09:08,8.3,97,8,N,41,1024.7,11.8,78,8,N,39,1020.7
,2018-06-8,8.2,10.1,0.2,,,N,61,03:28,8.4,100,8,N,28,1019.6,9.9,100,8,N,24,1017.7
,2018-06-9,7.7,13.5,1.2,,,N,24,00:41,8.9,100,8,W,6,1023.2,13.1,61,,WSW,9,1023.2
,2018-06-10,1.3,14.1,0.2,,,NNW,28,14:21,7.7,100,,ESE,2,1027.7,13.3,66,4,N,15,1025.6
,2018-06-11,2.3,13.4,0.2,,,NNE,67,23:59,8.4,98,1,NNE,35,1021.5,11.5,79,8,N,37,1015.2
,2018-06-12,7.6,11.7,11.6,,,NNE,72,00:55,8.4,100,7,N,28,1005.8,10.8,99,8,NNW,28,1004.8
,2018-06-13,3.7,10.7,2.6,,,N,56,13:08,6.2,99,7,N,28,1008.7,9.1,98,,NNW,31,1005.1
,2018-06-14,3.7,11.1,2.0,,,WNW,74,20:44,5.6,100,7,N,28,1009.9,9.9,90,8,N,39,1007.1
,2018-06-15,4.4,9.8,6.2,,,W,61,19:17,6.8,96,8,NW,22,1009.8,8.2,87,8,WNW,24,1010.5
,2018-06-16,0.4,8.9,1.6,,,WSW,46,14:13,3.2,100,5,N,17,1014.1,6.7,80,6,W,31,1012.4
,2018-06-17,2.9,9.4,14.4,,,SSW,57,12:08,6.8,99,8,SW,28,1015.7,8.1,98,8,SSW,30,1017.9
,2018-06-18,5.6,8.7,4.6,,,S,43,13:34,5.6,100,8,SSW,15,1027.3,8.0,76,7,S,22,1026.9
,2018-06-19,-2.2,10.8,0,,,E,48,10:26,3.0,100,,ESE,9,1028.3,10.0,66,,NNE,17,1026.5
,2018-06-20,2.1,9.5,0,,,N,44,11:58,5.7,92,5,N,24,1027.6,8.4,79,7,N,26,1026.4
,2018-06-21,-2.1,11.9,0.2,,,NE,15,06:00,3.0,100,, ,Calm,1029.5,11.5,62,,NNE,7,1027.6
,2018-06-22,-1.2,11.8,0,,,NW,31,14:05,2.6,100,, ,Calm,1028.9,11.0,66,7,NW,22,1026.6
,2018-06-23,-0.2,8.9,0,,,S,26,17:44,5.2,100,8,NNE,11,1027.2,8.5,100,8,NNW,6,1026.7
,2018-06-24,2.7,8.4,0.8,,,S,31,11:50,6.1,95,8,S,17,1031.5,7.7,72,8,SSW,17,1030.3
,2018-06-25,4.3,,0,,,,,01:18,5.4,91,2,S,9,1032.9,8.7,77,,SSW,7,1031.4
,2018-06-26,4.5,12.3,0,,,SE,50,07:50,6.3,100,, ,Calm,1033.8,11.7,63,7,ESE,9,1031.5
,2018-06-27,1.1,11.0,0,,,SSE,13,04:55,2.6,99,4,E,6,1032.1,10.3,63,8,N,9,1029.4
,2018-06-28,-1.4,13.4,0,,,NNE,22,23:14,2.4,98,, ,Calm,1024.7,10.9,46,8,W,9,1021.8
,2018-06-29,2.4,10.2,0,,,N,56,23:04,5.0,100,8,N,28,1019.2,9.8,82,4,N,35,1015.8
,2018-06-30,4.8,9.4,2.2,,,W,50,08:01,6.3,100,8,W,30,1018.1,8.9,84,7,WSW,24,1023.6
