"Daily Weather Observations for Ballarat, Victoria for July 2018"
"Prepared at 13:01 UTC on Tuesday 21 August 2018   IDCJDW3005.201807"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-07-1,-2.2,11.0,0.6,,,N,19,10:22,2.5,100,,NE,7,1032.5,9.3,72,1,W,7,1031.6
,2018-07-2,-2.7,10.2,0,,,N,41,23:41,2.2,100,,ENE,4,1031.9,9.4,68,,N,22,1028.4
,2018-07-3,2.2,10.4,0,,,N,59,23:17,5.5,88,8,N,37,1026.3,8.8,75,7,N,37,1024.3
,2018-07-4,5.5,13.0,0,,,NNE,72,03:41,6.8,98,5,N,43,1021.6,12.4,58,7,N,46,1017.8
,2018-07-5,6.8,14.1,0,,,NNW,70,18:40,9.0,70,7,NNE,35,1015.0,12.8,61,8,N,46,1008.0
,2018-07-6,5.6,10.8,2.6,,,W,57,12:43,5.9,99,8,WNW,22,1007.3,9.8,56,8,WNW,33,1008.6
,2018-07-7,4.5,8.1,8.0,,,NW,65,01:12,5.1,99,8,W,30,1007.6,7.7,81,8,SW,26,1013.0
,2018-07-8,5.1,10.8,4.6,,,SW,63,10:58,8.0,99,8,WSW,26,1020.5,9.5,91,5,SW,30,1022.2
,2018-07-9,6.0,8.8,1.8,,,SW,31,00:23,6.6,99,8,SSW,13,1028.5,8.2,80,8,SSW,17,1029.0
,2018-07-10,4.1,7.9,0,,,WNW,24,15:44,5.0,98,8,W,7,1029.8,7.6,86,8,WNW,15,1027.2
,2018-07-11,2.9,4.2,0.6,,,NNE,41,10:53,3.7,98,8,NNE,24,1022.4,3.8,99,8,N,22,1020.6
,2018-07-12,0.6,9.4,4.6,,,SSE,28,20:27,3.6,99,,ESE,13,1023.1,7.5,85,8,SSW,17,1021.3
,2018-07-13,2.0,10.5,0.2,,,S,22,12:52,2.1,100,8, ,Calm,1023.5,9.6,66,,SSW,13,1022.0
,2018-07-14,-2.0,9.6,0,,,NNW,39,12:21,2.8,100,,NE,6,1022.0,9.0,64,6,N,28,1018.5
,2018-07-15,2.7,9.4,0,,,NNE,50,23:04,4.5,77,,NNE,24,1015.0,9.2,67,,NNE,33,1012.1
,2018-07-16,3.5,9.7,0.2,,,NNE,52,01:47,5.1,76,7,N,31,1007.5,8.8,73,8,N,30,1007.0
,2018-07-17,3.0,13.0,0,,,NW,100,14:28,4.5,92,,N,39,1005.6,8.3,91,8,NW,43,1001.1
,2018-07-18,1.2,12.2,3.4,,,N,59,14:08,3.3,100,8,N,33,1015.5,11.6,65,4,NNW,46,1012.9
,2018-07-19,3.2,10.5,0,,,N,50,05:19,4.9,82,,NNE,33,1008.0,9.0,85,8,NW,20,1006.1
,2018-07-20,1.3,8.7,3.6,,,W,57,13:10,4.3,97,,WNW,19,1010.2,6.7,98,8,W,31,1012.1
,2018-07-21,1.7,9.3,1.2,,,W,33,00:35,4.5,100,8,NNE,7,1022.7,8.6,73,6,NNW,20,1021.5
,2018-07-22,1.2,10.2,0,,,NNE,56,22:50,5.1,90,8,N,20,1022.7,9.8,65,,N,39,1017.6
,2018-07-23,4.8,11.0,0,,,NNE,85,13:03,5.4,69,8,NNE,35,1012.5,9.8,56,7,NNE,50,1004.8
,2018-07-24,4.4,10.6,13.4,,,NNW,69,12:28,6.6,100,8,N,35,1008.8,9.5,100,8,WNW,30,1006.8
,2018-07-25,0.9,10.2,6.4,,,N,31,12:27,4.9,100,7,N,13,1017.0,9.4,94,8,N,15,1016.3
,2018-07-26,0.8,9.3,1.8,,,N,31,13:46,3.7,100,8,N,13,1019.3,8.7,98,8,N,22,1016.4
,2018-07-27,3.4,13.8,0.4,,,N,31,15:10,7.5,98,,N,19,1015.2,12.7,82,8,N,24,1013.1
,2018-07-28,3.9,14.7,0,,,N,37,15:04,9.4,92,1,N,19,1013.7,14.3,69,7,NNE,20,1009.2
,2018-07-29,5.9,9.2,10.4,,,W,72,15:16,6.6,91,7,WNW,26,1004.1,5.4,99,8,WSW,30,1006.6
,2018-07-30,3.4,9.2,4.2,,,N,59,23:38,5.8,90,7,NW,15,1017.0,8.0,87,8,N,35,1013.9
,2018-07-31,3.6,11.9,0.8,,,NNW,59,14:49,7.0,99,,NNW,28,1012.1,10.4,84,8,NNW,41,1009.3
