"Daily Weather Observations for Ballarat, Victoria for August 2018"
"Prepared at 16:01 UTC on Tuesday  2 October 2018   IDCJDW3005.201808"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-08-1,1.8,11.8,6.6,,,WNW,31,01:33,6.4,98,8,WNW,11,1020.2,11.2,54,1,WNW,13,1020.0
,2018-08-2,0.2,12.1,0.2,,,N,69,15:07,5.9,91,,NNE,35,1020.5,11.7,68,,NNE,50,1014.4
,2018-08-3,5.9,11.0,0,,,N,63,12:02,8.4,64,8,N,31,1005.1,6.4,100,8,N,26,1000.1
,2018-08-4,2.2,12.3,14.0,,,N,54,13:37,5.1,100,8,N,31,1011.3,11.3,79,3,N,35,1009.5
,2018-08-5,5.0,13.8,0,,,N,74,14:35,6.2,80,,N,41,1008.3,13.1,49,,NNE,52,1001.4
,2018-08-6,4.1,8.6,1.2,,,NNW,54,12:07,5.4,99,8,NNW,28,998.8,7.5,85,8,NW,35,998.6
,2018-08-7,1.6,10.7,1.2,,,NW,48,17:10,4.2,99,8,N,20,1008.1,9.6,62,8,NW,33,1008.1
,2018-08-8,4.1,11.6,6.4,,,N,48,02:53,7.5,100,8,N,22,1008.8,11.0,84,8,WSW,26,1011.5
,2018-08-9,1.5,10.1,0.4,,,NNE,65,23:34,6.2,91,8,N,20,1021.6,8.6,81,8,N,37,1018.5
,2018-08-10,5.8,16.2,0,,,NNE,72,02:31,8.1,74,,N,48,1011.9,15.9,37,1,N,46,1006.3
,2018-08-11,4.5,9.9,3.6,,,W,57,16:40,5.4,100,8,NW,17,1007.0,5.9,98,8,NW,22,1007.2
,2018-08-12,-0.7,9.9,1.2,,,W,44,12:03,4.3,98,,WNW,22,1019.7,9.2,73,8,WNW,30,1020.1
,2018-08-13,4.3,10.6,2.2,,,WSW,50,14:37,7.8,100,8,W,20,1024.8,9.0,99,8,W,20,1025.1
,2018-08-14,4.0,13.6,0.4,,,N,61,16:50,6.4,100,8,N,28,1022.7,13.1,69,,N,41,1016.5
,2018-08-15,6.4,13.8,0.2,,,WNW,57,12:41,9.5,85,8,WNW,28,1007.6,8.5,87,8,WSW,30,1006.9
,2018-08-16,2.8,11.2,1.8,,,W,39,10:53,6.4,95,4,WNW,17,1014.0,10.3,63,8,W,22,1013.5
,2018-08-17,1.8,12.4,0.2,,,N,54,21:57,5.8,100,8,N,19,1014.3,10.1,67,8,N,31,1010.8
,2018-08-18,2.9,9.3,3.4,,,W,74,12:12,6.7,91,,NW,20,1009.1,4.7,98,8,WNW,37,1009.3
,2018-08-19,2.5,8.4,11.0,,,WSW,65,02:22,3.7,98,8,SW,24,1021.0,7.4,71,6,SW,26,1024.3
,2018-08-20,2.3,9.0,0.4,,,WNW,44,15:11,5.2,94,8,W,17,1024.8,7.7,99,8,WNW,30,1020.7
,2018-08-21,3.9,8.8,4.6,,,WSW,37,03:08,5.6,100,7,W,17,1018.3,7.4,90,8,W,22,1015.3
,2018-08-22,1.9,11.8,0.4,,,NNW,24,13:25,5.5,100,7,NW,2,1017.7,11.4,59,8,SW,7,1015.6
,2018-08-23,1.5,13.4,0,,,N,30,11:09,8.4,84,,NNE,19,1020.0,13.0,55,,NNW,9,1019.5
,2018-08-24,0.6,15.0,0,,,SSE,31,14:29,8.7,83,, ,Calm,1024.9,14.1,47,,SSE,22,1023.5
,2018-08-25,-1.1,15.0,0,,,W,22,15:37,7.9,98,, ,Calm,1022.7,14.8,43,,WSW,11,1018.6
,2018-08-26,2.8,11.2,0.2,,,WSW,39,14:59,3.7,100,8,W,7,1018.7,9.8,85,8,WSW,24,1018.2
,2018-08-27,1.2,10.3,0.8,,,SSE,41,12:48,4.9,97,3,S,17,1026.7,8.6,56,8,SSE,26,1025.7
,2018-08-28,-1.1,9.9,0.2,,,SSE,28,15:01,4.1,100,5,ESE,2,1025.5,9.5,51,5,SSE,13,1021.9
,2018-08-29,-3.8,12.0,0,,,NNE,31,23:50,3.3,98,,NW,9,1021.9,11.4,33,,NNW,9,1019.1
,2018-08-30,3.3,11.7,0,,,NNE,65,22:57,6.7,58,8,N,20,1017.3,10.7,45,8,NNE,31,1011.3
,2018-08-31,5.4,12.6,0.6,,,NNE,74,00:52,7.9,73,8,N,24,999.4,10.1,92,8,WNW,15,998.9
