"Daily Weather Observations for Ballarat, Victoria for September 2018"
"Prepared at 13:01 UTC on Sunday  7 October 2018   IDCJDW3005.201809"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-09-1,6.5,10.5,5.2,,,WSW,46,14:05,7.5,98,8,WSW,20,1011.8,7.6,98,8,SW,20,1013.3
,2018-09-2,-1.0,10.2,2.8,,,S,37,11:27,4.6,100,7,SW,11,1022.0,8.8,73,8,SSE,22,1022.3
,2018-09-3,2.3,12.4,0.4,,,ESE,41,10:13,6.6,98,,SE,30,1028.7,10.7,61,5,SE,20,1027.3
,2018-09-4,1.7,15.1,0.4,,,N,46,11:13,9.6,77,1,NNE,20,1028.6,14.2,54,1,N,26,1025.4
,2018-09-5,6.5,15.9,0,,,NNE,57,09:44,8.7,82,,N,31,1021.8,15.6,58,7,NNE,35,1016.7
,2018-09-6,8.7,16.0,0,,,N,65,10:19,11.5,81,5,NNE,31,1010.1,14.8,84,7,N,26,1006.7
,2018-09-7,3.6,12.7,0.2,,,W,31,00:09,6.4,98,,WSW,13,1017.1,10.6,59,6,SW,17,1015.7
,2018-09-8,-1.9,12.9,0,,,NW,43,14:55,7.7,92,,N,15,1018.2,12.1,43,2,NW,30,1016.1
,2018-09-9,7.3,14.7,0,,,WNW,44,15:25,10.4,85,8,WNW,20,1020.1,13.0,89,8,WNW,26,1020.5
,2018-09-10,6.2,16.7,0.6,,,NW,28,12:49,10.2,100,7,W,13,1026.6,15.7,70,4,WNW,9,1024.4
,2018-09-11,6.9,21.9,0,,,WNW,81,20:56,12.2,92,,NNE,31,1017.1,21.7,34,,N,44,1008.2
,2018-09-12,4.3,14.4,0.2,,,W,44,00:36,9.2,70,,NW,26,1014.9,14.0,48,4,NW,22,1015.0
,2018-09-13,1.5,15.5,0,,,NNE,37,12:40,8.6,84,,N,20,1020.1,15.0,60,4,NNW,22,1018.1
,2018-09-14,5.0,19.8,0,,,NNW,54,13:15,11.4,60,,NNE,37,1015.3,19.1,32,,N,39,1009.6
,2018-09-15,4.3,9.0,1.0,,,WSW,72,10:40,4.9,98,8,W,39,1004.6,6.8,84,8,WSW,28,1009.1
,2018-09-16,0.0,11.2,6.0,,,WSW,33,09:43,5.3,98,2,WSW,17,1021.9,8.9,69,8,W,11,1021.8
,2018-09-17,0.0,14.9,0,,,NNW,57,13:18,6.9,90,,N,28,1021.4,14.5,41,2,NNW,35,1016.7
,2018-09-18,5.1,13.6,0,,,NNW,52,15:14,9.4,40,8,N,35,1010.7,12.5,66,8,N,35,1008.6
,2018-09-19,1.0,11.4,0.8,,,WSW,44,13:56,6.1,96,4,W,26,1013.4,10.8,56,8,WNW,19,1014.8
,2018-09-20,-0.9,14.3,0.6,,,WNW,31,11:06,7.4,98,,WNW,15,1021.1,13.8,54,4,WNW,17,1021.6
,2018-09-21,4.6,16.0,0,,,W,31,09:20,9.4,83,8,WSW,15,1027.4,14.7,60,5,NNW,17,1026.0
,2018-09-22,0.0,15.4,0,,,WSW,33,12:37,10.3,94,1,NNW,13,1028.0,14.5,71,1,SW,17,1026.3
,2018-09-23,5.5,11.1,0.2,,,S,41,12:52,7.7,99,8,S,28,1030.7,8.8,71,8,SSE,28,1030.5
,2018-09-24,3.8,12.5,0.2,,,SE,46,07:30,7.3,71,8,SSE,35,1031.4,10.2,69,8,SSE,24,1029.2
,2018-09-25,4.6,11.6,0,,,SSE,39,14:58,7.9,84,8,SSE,22,1028.7,10.5,62,6,SSE,26,1026.0
,2018-09-26,3.5,17.2,0,,,SE,43,05:16,9.6,64,,ESE,30,1022.9,16.8,29,,NW,9,1019.0
,2018-09-27,5.1,22.6,0,,,N,48,11:12,13.1,49,,N,37,1016.1,22.0,26,,NNW,24,1011.8
,2018-09-28,2.0,11.6,0,,,WSW,54,14:57,8.0,99,8,W,22,1016.2,7.8,87,8,WSW,30,1016.6
,2018-09-29,-2.1,9.7,1.8,,,SW,35,09:46,5.4,98,1,WSW,13,1026.2,9.2,64,8,WSW,19,1026.6
,2018-09-30,5.0,14.2,0,,,ESE,30,22:10,8.7,91,5,SSW,7,1031.2,13.2,58,,W,6,1028.4
