"Daily Weather Observations for Ballarat, Victoria for October 2018"
"Prepared at 13:01 UTC on Monday  4 February 2019   IDCJDW3005.201810"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-10-1,-0.6,18.9,0,,,N,39,10:26,11.6,72,,N,19,1027.3,18.2,33,,NNE,13,1024.1
,2018-10-2,10.0,22.1,0,,,W,59,23:21,16.5,38,6,NNE,20,1024.0,19.8,35,8,NNE,31,1018.6
,2018-10-3,9.8,16.0,0,,,SSE,41,18:56,11.8,83,8,SSW,19,1017.7,14.3,72,8,S,20,1016.4
,2018-10-4,5.8,12.2,0,,,SSE,50,05:53,7.9,78,8,SSE,35,1022.3,11.0,66,8,SSE,33,1021.0
,2018-10-5,6.6,16.7,0,,,SE,57,00:50,11.2,76,1,SE,33,1025.4,15.8,48,,SE,26,1023.0
,2018-10-6,2.3,20.6,0,,,NNE,41,08:27,13.4,62,3,NNE,30,1024.1,18.4,41,1,N,6,1021.7
,2018-10-7,7.2,19.2,0,,,N,26,07:19,15.0,62,8,N,22,1023.0,17.5,57,8,N,15,1021.6
,2018-10-8,8.7,23.9,0,,,N,33,10:00,17.7,51,3,NNE,17,1019.9,22.8,32,8,NNE,9,1017.1
,2018-10-9,12.8,14.5,0.6,,,SSE,57,20:48,13.1,96,8,ESE,24,1015.0,14.0,100,8,SE,24,1014.5
,2018-10-10,4.7,12.9,5.8,,,ESE,74,08:39,8.0,86,3,SE,44,1020.6,11.8,59,7,SE,48,1020.6
,2018-10-11,5.4,16.5,0,,,ESE,61,23:01,8.1,83,,SE,24,1023.9,15.8,57,,SE,17,1022.4
,2018-10-12,3.1,20.7,0,,,NNE,43,08:17,11.8,68,,NNE,28,1025.9,20.3,37,,E,17,1022.4
,2018-10-13,4.9,21.3,0,,,NNE,52,09:18,12.8,62,,NE,24,1023.5,20.3,41,,NE,20,1020.0
,2018-10-14,11.4,23.3,0,,,N,63,09:05,14.6,72,,NNE,39,1020.0,22.7,40,1,N,44,1017.3
,2018-10-15,14.5,21.8,0,,,NNE,69,11:43,16.1,70,5,NNE,35,1017.6,20.6,51,7,NNE,37,1013.9
,2018-10-16,15.2,19.7,2.6,,,NNE,69,02:09,16.2,97,8,NE,41,1011.8,17.7,88,8,NNE,24,1011.6
,2018-10-17,9.4,17.7,13.6,,,NNW,43,15:46,11.8,100,8,N,20,1013.9,15.4,87,5,N,28,1011.8
,2018-10-18,10.6,16.3,1.0,,,NW,41,11:02,11.1,100,8,N,24,1014.3,14.8,79,8,NNW,28,1014.4
,2018-10-19,6.9,24.2,0,,,N,57,10:20,13.6,94,1,NNE,31,1015.0,22.7,40,,N,41,1010.4
,2018-10-20,7.6,14.0,3.2,,,WSW,48,12:24,7.8,100,8,SW,7,1014.7,12.9,67,7,SW,22,1015.2
,2018-10-21,2.9,16.8,0,,,WNW,44,17:36,9.1,100,7,SW,9,1020.3,14.3,52,5,SSE,9,1018.3
,2018-10-22,4.6,25.5,0,,,N,52,09:49,13.6,70,,NNE,31,1015.0,23.8,29,,NNE,37,1011.2
,2018-10-23,9.7,16.4,0,,,WSW,39,11:21,10.8,98,8,SW,13,1013.9,15.0,52,8,WSW,24,1014.8
,2018-10-24,1.7,14.6,0,,,SSE,41,08:28,8.0,84,,SSE,28,1023.1,13.3,50,5,SSE,20,1022.0
,2018-10-25,0.5,19.5,0,,,ESE,37,23:13,10.3,74,,N,2,1019.2,18.7,34,8,SW,15,1017.5
,2018-10-26,4.5,16.6,0,,,WSW,33,14:43,10.2,88,8,SSW,13,1020.6,15.6,56,5,WSW,19,1019.1
,2018-10-27,5.3,17.2,0,,,WSW,50,13:00,9.0,100,8,SW,17,1018.0,16.1,56,7,SW,26,1017.1
,2018-10-28,2.8,17.3,0,,,SE,48,07:22,7.9,68,1,SE,35,1019.1,16.0,41,,SE,17,1017.4
,2018-10-29,4.2,19.7,0,,,SE,50,07:16,9.4,69,,SE,30,1018.7,17.8,40,,SE,15,1016.6
,2018-10-30,2.0,24.9,0,,,W,35,15:31,14.0,67,3,NNW,11,1017.6,23.0,23,1,WSW,17,1015.7
,2018-10-31,8.6,22.8,0,,,E,31,19:21,12.7,98,8,SE,15,1019.5,21.0,55,8,SE,4,1019.0
