"Daily Weather Observations for Ballarat, Victoria for November 2018"
"Prepared at 13:01 UTC on Sunday  3 February 2019   IDCJDW3005.201811"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-11-1,11.7,31.5,0,,,NNW,63,13:25,22.5,49,5,E,7,1017.4,31.1,16,1,NNW,41,1010.8
,2018-11-2,17.1,27.5,2.0,,,NW,78,15:04,17.3,99,8,N,28,1009.6,27.2,48,6,NW,48,1005.9
,2018-11-3,7.3,17.4,0.6,,,WSW,48,23:12,10.9,70,7,W,31,1016.5,15.5,50,7,WSW,28,1016.8
,2018-11-4,1.9,21.1,0,,,N,37,11:43,9.6,98,8,N,20,1013.8,20.9,39,7,NW,17,1011.4
,2018-11-5,9.5,24.0,1.4,,,NW,54,12:10,15.6,75,8,N,24,1006.4,20.7,72,8,NNW,30,1004.9
,2018-11-6,12.9,20.5,3.0,,,W,44,15:17,14.0,100,8,N,9,1002.9,19.6,77,8,W,26,1003.7
,2018-11-7,4.3,13.4,13.6,,,WSW,65,16:08,8.9,78,3,WSW,22,1009.4,10.3,60,8,SW,30,1010.4
,2018-11-8,1.1,15.2,0.6,,,WNW,44,14:22,8.0,90,3,WSW,17,1019.2,13.7,41,6,W,24,1019.0
,2018-11-9,2.8,17.5,0,,,W,35,11:05,10.0,92,8,N,17,1019.4,16.2,37,8,WNW,17,1017.1
,2018-11-10,2.3,18.7,0.2,,,SW,31,12:48,11.4,98,5,WSW,15,1018.9,18.1,54,8,WSW,13,1018.2
,2018-11-11,5.8,22.9,0.2,,,ESE,37,20:06,13.1,78,,SE,19,1020.9,21.2,45,,WSW,7,1019.3
,2018-11-12,7.4,27.1,0,,,N,46,10:42,20.2,37,8,N,24,1018.4,25.5,24,7,NNE,26,1015.9
,2018-11-13,15.3,30.3,0,,,NNW,57,16:13,21.2,36,8,NNE,15,1011.3,28.8,21,2,N,37,1008.0
,2018-11-14,12.0,18.9,0,,,WSW,37,16:03,12.7,100,8,S,13,1014.6,16.1,84,8,SSW,20,1015.2
,2018-11-15,6.5,17.3,0,,,SSE,44,10:51,10.3,78,1,S,26,1023.3,16.3,44,2,S,28,1022.7
,2018-11-16,1.9,20.3,0,,,SE,44,23:57,11.0,76,,ESE,19,1020.8,19.3,26,,W,17,1019.3
,2018-11-17,5.3,19.4,0,,,SE,54,06:56,11.2,65,2,SE,35,1023.4,18.9,37,,SSE,35,1022.4
,2018-11-18,8.8,26.1,0,,,SE,48,23:54,17.5,50,,NNE,28,1021.5,23.9,28,3,ESE,9,1018.5
,2018-11-19,11.8,27.9,0,,,N,54,13:38,19.1,48,1,NNE,30,1016.8,27.4,27,2,N,30,1012.7
,2018-11-20,19.1,23.7,0,,,WNW,56,13:22,21.1,47,8,NNE,22,1007.9,17.0,99,8,W,13,1004.4
,2018-11-21,7.5,19.8,6.2,,,N,50,15:43,11.0,78,,W,9,1001.9,18.2,32,8,NNW,28,997.5
,2018-11-22,5.0,13.9,3.8,,,W,50,14:06,6.8,98,8,NE,15,994.6,10.9,74,8,WSW,30,997.0
,2018-11-23,6.5,10.1,3.8,,,SW,52,15:25,7.6,99,8,SW,24,1006.4,9.7,99,8,SW,26,1006.9
,2018-11-24,7.5,13.7,6.4,,,S,39,06:03,9.5,95,8,S,24,1009.0,13.1,75,8,SSW,19,1008.4
,2018-11-25,8.1,16.6,0.2,,,SW,39,15:41,10.4,98,8,SSW,19,1007.2,14.7,72,8,SW,20,1006.7
,2018-11-26,10.0,19.7,0,,,SE,41,21:45,11.8,93,8,S,17,1009.4,18.8,51,2,SE,13,1007.0
,2018-11-27,10.1,20.7,0,,,ESE,43,13:47,13.0,84,7,ESE,24,1005.9,19.9,50,3,SE,26,1003.9
,2018-11-28,11.4,19.4,0,,,S,57,08:17,13.8,98,8,SSE,37,1008.7,18.1,56,8,SSE,33,1010.6
,2018-11-29,10.0,18.2,0,,,S,35,23:02,11.7,86,8,SSE,20,1014.7,16.3,65,8,SE,17,1013.4
,2018-11-30,8.8,20.2,0,,,SW,35,14:56,14.5,70,1,SSE,13,1012.4,18.1,43,,WSW,13,1011.6
