"Daily Weather Observations for Ballarat, Victoria for December 2018"
"Prepared at 16:01 UTC on Saturday  2 February 2019   IDCJDW3005.201812"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2018-12-1,2.9,30.5,0,,,NNW,78,20:18,15.0,60,,N,28,1009.7,28.0,22,,N,44,1002.9
,2018-12-2,9.0,16.4,5.2,,,NW,61,23:16,10.6,79,4,WSW,24,1003.9,15.0,51,8,WSW,33,1006.1
,2018-12-3,6.4,20.7,0,,,W,63,10:59,13.4,78,7,NW,28,1009.0,18.6,54,8,W,39,1010.2
,2018-12-4,9.8,20.1,1.4,,,S,37,15:07,11.3,100,8,S,11,1017.5,18.0,58,1,SSW,17,1018.9
,2018-12-5,10.0,28.4,0,,,SE,37,01:05,15.6,69,,SE,19,1019.3,26.8,25,,ENE,9,1017.6
,2018-12-6,10.8,33.9,0,,,N,50,11:02,23.7,42,,N,31,1017.8,31.7,24,1,N,24,1014.4
,2018-12-7,22.6,36.6,0,,,N,63,11:31,27.3,30,,N,43,1015.1,34.6,15,8,NNW,30,1011.5
,2018-12-8,17.9,29.4,0,,,SSW,44,15:41,23.6,54,8,SE,7,1016.2,28.1,32,8,NNW,26,1015.6
,2018-12-9,13.2,21.6,0.2,,,NNE,41,16:52,16.5,87,2,SE,24,1017.1,18.9,80,8,SSE,13,1016.4
,2018-12-10,7.8,24.1,4.0,,,S,41,15:50,11.7,,8,S,17,1018.5,22.7,34,,S,20,1017.6
,2018-12-11,10.0,27.4,0,,,SE,43,01:23,15.2,59,,SE,28,1016.6,25.9,25,,SSE,20,1014.3
,2018-12-12,10.6,31.0,0,,,WSW,57,16:47,22.4,62,5,NNE,30,1010.3,30.3,30,1,NNE,28,1005.4
,2018-12-13,13.9,19.2,7.4,,,SSE,48,10:42,14.9,98,7,SSE,17,998.8,17.5,80,8,SSE,26,996.2
,2018-12-14,12.2,23.9,21.0,,,NE,61,17:07,12.8,100,8,ENE,11,1004.3,21.7,63,6,ESE,26,1003.0
,2018-12-15,12.8,20.9,41.6,,,N,48,16:26,17.2,100,8,SE,19,1005.0,16.3,77,8,NE,26,1004.1
,2018-12-16,10.4,20.8,2.6,,,N,41,12:01,14.3,98,8,N,17,1005.3,17.2,82,8,NE,13,1005.0
,2018-12-17,11.8,19.7,0,,,S,37,20:18,14.8,98,8,SSW,13,1011.7,18.9,69,8,S,17,1012.6
,2018-12-18,11.5,23.7,0,,,SE,44,18:35,13.4,88,4,SE,26,1015.7,23.1,46,7,SE,22,1014.3
,2018-12-19,13.4,26.2,0,,,WNW,43,13:24,16.5,90,6,SE,13,1013.1,20.5,72,8,W,22,1012.2
,2018-12-20,11.4,20.6,0.8,,,S,48,16:22,15.2,99,8,S,13,1010.9,19.9,65,8,S,26,1009.9
,2018-12-21,10.6,16.2,0,,,SSE,46,19:04,12.4,95,8,SSW,20,1010.8,13.8,100,8,S,22,1010.2
,2018-12-22,9.7,19.7,14.0,,,S,43,14:02,12.9,88,8,S,24,1017.9,18.8,42,2,SSW,22,1018.4
,2018-12-23,7.1,26.2,0.2,,,ESE,30,19:39,15.3,66,,SE,9,1020.8,24.0,27,,WNW,15,1019.2
,2018-12-24,10.2,30.7,0,,,N,44,11:41,21.4,43,,N,22,1018.5,29.7,20,,N,26,1015.0
,2018-12-25,11.3,31.8,0,,,S,46,15:42,22.1,39,, ,Calm,1016.6,31.2,16,,W,20,1015.0
,2018-12-26,11.8,32.1,0,,,SE,39,17:35,19.7,58,,NE,6,1015.1,30.8,28,,SSW,13,1013.8
,2018-12-27,13.2,37.0,0,,,NNW,65,13:41,27.0,32,,N,24,1010.6,36.0,10,,NW,37,1006.5
,2018-12-28,20.8,35.9,0,,,NNW,61,16:41,28.5,29,,N,22,1006.7,34.0,17,8,NNW,39,1006.1
,2018-12-29,16.8,24.9,0.6,,,SSW,37,02:10,18.8,90,4,WSW,13,1012.7,22.0,74,8,ESE,6,1012.5
,2018-12-30,15.1,23.5,1.2,,,SE,48,19:00,16.8,100,8,SE,20,1013.6,22.2,74,,SE,26,1012.2
,2018-12-31,12.6,30.3,3.4,,,WSW,39,13:43,18.5,79,,SE,13,1012.1,28.5,39,,WSW,20,1009.4
