"Daily Weather Observations for Ballarat, Victoria for January 2019"
"Prepared at 16:01 UTC on Wednesday  7 August 2019   IDCJDW3005.201901"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-01-1,8.0,28.9,0,,,S,46,15:54,17.8,58,,S,13,1012.7,28.3,29,,SW,15,1011.1
,2019-01-2,13.3,26.0,0,,,SE,43,20:28,16.2,76,2,SSE,26,1012.9,24.7,41,,SSE,20,1011.4
,2019-01-3,12.3,32.8,0,,,SE,43,00:03,18.6,67,,ESE,19,1010.9,31.5,19,,WSW,11,1009.2
,2019-01-4,16.6,39.7,0,,,NW,69,14:24,29.0,24,,NNE,24,1006.7,38.5,13,7,NW,37,1003.0
,2019-01-5,11.5,21.6,0.4,,,SSE,48,16:09,12.5,79,8,S,24,1013.1,18.9,36,3,SSW,24,1012.0
,2019-01-6,7.3,21.9,0,,,SSE,50,15:01,13.1,71,1,S,20,1019.8,20.4,47,,S,19,1018.2
,2019-01-7,12.6,26.9,0,,,SSE,43,01:22,16.2,69,,SE,30,1018.3,25.5,38,,SE,15,1013.9
,2019-01-8,11.7,28.1,0,,,S,46,16:09,14.5,100,4,S,7,1011.4,27.2,25,,WSW,20,1008.7
,2019-01-9,10.8,21.1,0,,,SW,46,13:30,14.2,63,8,S,28,1015.2,19.5,34,,SW,19,1015.3
,2019-01-10,5.9,23.8,0,,,SE,46,22:39,13.6,58,,SSE,24,1018.9,22.6,27,3,SE,19,1016.2
,2019-01-11,10.6,31.6,0,,,SE,43,23:03,21.2,40,,E,6,1015.3,29.9,17,,NW,15,1012.9
,2019-01-12,15.6,30.7,0,,,SSE,57,22:54,22.0,36,7,SSW,7,1015.8,29.1,30,,SSE,28,1014.8
,2019-01-13,11.4,28.0,0,,,SE,63,06:52,16.0,68,,SE,39,1018.1,27.4,33,,SE,31,1016.3
,2019-01-14,10.9,37.8,0,,,ESE,41,23:27,23.5,56,,N,13,1012.9,36.0,12,,NW,17,1010.7
,2019-01-15,13.9,37.6,0,,,SSW,43,15:22,29.8,18,4,N,20,1010.8,35.5,9,7,WSW,19,1010.1
,2019-01-16,15.5,36.9,0,,,S,50,13:17,22.7,30,,SSE,11,1010.9,28.5,33,8,S,33,1011.6
,2019-01-17,20.4,33.6,0,,,W,61,12:50,24.9,45,8,NW,9,1011.2,26.3,59,3,NW,15,1009.6
,2019-01-18,17.9,30.6,1.6,,,SSW,44,18:15,22.4,78,8,E,9,1008.9,26.2,59,8,WSW,19,1009.2
,2019-01-19,9.2,24.9,1.8,,,SSE,41,14:01,13.9,76,3,SSW,19,1020.4,23.7,31,,S,20,1020.5
,2019-01-20,10.8,29.3,0,,,SSE,52,10:15,17.1,77,,SE,26,1020.4,27.2,37,,SSE,24,1019.0
,2019-01-21,14.5,35.1,0,,,SE,44,03:12,20.1,77,,SE,19,1016.6,33.5,20,,SW,11,1013.3
,2019-01-22,15.3,36.9,0,,,SSW,46,18:05,27.4,35,, ,Calm,1013.1,35.3,17,,WSW,20,1011.1
,2019-01-23,13.9,30.6,0,,,,,06:28,16.8,86,7,SE,35,1014.9,29.1,34,,SE,26,
,2019-01-24,14.6,39.3,0,,,,,,24.7,31,,N,11,1012.8,37.6,14,,N,24,1009.7
,2019-01-25,24.7,41.0,0,,,N,67,10:11,32.6,32,,N,43,1007.0,38.4,20,6,SW,19,1005.2
,2019-01-26,14.9,31.3,0,,,W,52,19:03,17.3,81,,S,19,1009.8,28.2,26,,W,17,1007.1
,2019-01-27,12.0,26.2,0,,,W,50,14:42,15.3,78,6,WSW,19,1011.3,24.6,28,,WNW,22,1011.3
,2019-01-28,11.2,31.7,0,,,N,44,14:53,17.3,71,,N,6,1014.6,29.8,19,,NW,24,1012.0
,2019-01-29,11.0,34.0,0,,,NNW,56,11:25,22.3,51,,N,26,1011.5,31.2,16,,NW,30,1008.8
,2019-01-30,11.7,36.7,0,,,NW,100,14:38,26.1,26,,NNE,17,1008.6,34.3,16,5,N,35,1003.1
,2019-01-31,11.9,21.2,0.2,,,SSW,50,12:40,14.9,66,7,SSW,20,1012.0,19.6,35,1,SSW,30,1015.1
