"Daily Weather Observations for Ballarat, Victoria for February 2019"
"Prepared at 13:01 UTC on Tuesday 20 August 2019   IDCJDW3005.201902"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-02-1,8.4,22.5,0,,,ESE,63,08:09,13.7,58,,SE,39,1020.0,21.5,29,,ESE,31,1018.4
,2019-02-2,7.9,33.7,0,,,NNW,48,12:20,20.8,62,,NNE,26,1014.9,30.6,27,,NNW,22,1011.8
,2019-02-3,11.7,38.6,0,,,SE,54,20:50,26.4,27,,N,20,1010.8,37.4,12,1,NNW,35,1007.9
,2019-02-4,14.6,23.1,0,,,S,54,19:23,17.2,78,8,SSE,28,1014.2,21.0,56,8,SE,33,1014.8
,2019-02-5,12.7,25.0,0,,,SSE,61,05:32,14.6,81,8,SE,33,1016.4,22.7,58,,SE,26,1014.3
,2019-02-6,14.5,34.2,0,,,NW,69,15:11,24.0,59,,NNE,31,1013.3,32.1,27,3,NNE,20,1009.2
,2019-02-7,16.6,28.8,8.6,,,WNW,33,14:42,20.4,98,8,N,13,1012.1,26.4,47,,WSW,11,1009.9
,2019-02-8,14.4,23.1,0,,,WSW,39,17:10,15.9,93,8,SW,19,1008.9,22.0,37,,WSW,20,1006.0
,2019-02-9,9.1,17.7,0.4,,,WSW,69,10:57,11.9,97,8,NNW,30,999.2,15.9,47,8,SW,30,1003.4
,2019-02-10,5.6,23.6,1.0,,,WNW,35,10:13,12.1,77,,W,13,1010.5,20.8,40,,W,19,1008.7
,2019-02-11,9.4,23.8,0,,,NW,46,12:32,15.4,84,,NNW,13,1004.5,22.1,52,8,NNW,31,1000.8
,2019-02-12,13.9,17.0,0,,,W,63,12:37,16.3,71,8,NW,35,992.9,14.5,58,6,W,28,997.8
,2019-02-13,6.0,18.5,1.8,,,SW,43,12:08,9.2,80,,W,22,1009.6,16.2,41,6,SW,26,1012.8
,2019-02-14,4.1,22.9,0.4,,,S,33,20:44,11.0,86,8,W,13,1019.3,21.7,38,,SW,15,1019.2
,2019-02-15,10.9,27.9,0.2,,,SE,43,19:11,14.7,89,2,SSE,19,1022.8,25.9,33,,WSW,15,1020.7
,2019-02-16,11.7,29.8,0,,,S,37,17:56,14.6,100,,S,13,1018.4,28.7,17,,WNW,20,1015.5
,2019-02-17,11.4,29.5,0,,,SW,35,22:40,18.3,65,8,NNE,6,1012.8,27.1,24,6,WNW,17,1011.1
,2019-02-18,16.0,26.4,0,,,WSW,41,15:25,16.3,79,8,SW,13,1007.6,25.2,38,,SSW,26,1005.2
,2019-02-19,8.8,19.7,0,,,SW,43,13:00,10.7,98,8,SW,15,1011.7,18.1,44,8,SW,19,1012.2
,2019-02-20,6.9,23.2,0,,,WSW,41,16:25,12.2,72,7,SW,13,1014.5,20.6,42,3,SW,24,1013.8
,2019-02-21,7.8,22.6,0,,,SSE,43,12:54,12.3,83,8,S,22,1019.1,20.9,40,,S,24,1019.7
,2019-02-22,11.3,26.1,0,,,SSE,43,01:32,14.3,72,,SE,28,1022.5,24.2,32,,SSE,26,1021.7
,2019-02-23,12.0,26.4,0,,,SE,52,07:07,14.1,78,4,SE,33,1023.9,25.4,28,,ESE,28,1022.9
,2019-02-24,10.7,31.0,0,,,N,57,09:22,20.8,41,,NNE,26,1025.4,29.3,23,,N,24,1024.1
,2019-02-25,15.6,31.3,0,,,NNE,52,07:57,20.8,37,,N,41,1025.2,29.9,20,,N,26,1023.2
,2019-02-26,13.9,30.6,0,,,SE,46,19:25,21.6,33,6,S,2,1021.3,29.2,26,,S,17,1020.1
,2019-02-27,11.1,34.3,0,,,SE,48,01:33,17.6,40,,SE,9,1020.5,32.1,16,,WNW,15,1018.5
,2019-02-28,17.6,36.3,0,,,NNE,52,10:17,25.3,30,,NNE,30,1019.6,33.8,16,,N,31,1018.2
