"Daily Weather Observations for Ballarat, Victoria for March 2019"
"Prepared at 13:01 UTC on Monday 19 August 2019   IDCJDW3005.201903"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-03-1,21.6,35.5,0,,,N,44,10:05,25.2,30,8,N,22,1021.2,34.0,16,,N,22,1020.0
,2019-03-2,20.0,34.4,0,,,N,56,11:50,25.1,30,,NNE,30,1020.8,33.7,18,,N,30,1018.5
,2019-03-3,21.1,34.1,0,,,N,50,10:29,25.9,31,,NNE,30,1019.2,33.0,17,6,N,28,1017.2
,2019-03-4,13.7,33.1,0,,,WSW,39,15:16,18.8,77,,SE,15,1018.7,32.1,26,,W,19,1016.8
,2019-03-5,12.0,28.2,0,,,WSW,43,17:03,15.9,67,1,SW,6,1013.2,27.3,29,,W,17,1009.0
,2019-03-6,8.0,14.7,1.2,,,SW,63,14:06,9.0,87,3,W,24,1014.0,13.0,46,5,SW,30,1016.9
,2019-03-7,1.2,21.8,0.2,,,N,33,13:59,9.3,70,, ,Calm,1024.0,19.7,23,,NNW,19,1020.0
,2019-03-8,9.3,23.8,0.2,,,N,39,10:40,15.9,26,8,NNE,24,1017.6,23.0,19,7,NW,20,1017.0
,2019-03-9,12.8,27.6,0,,,S,35,16:31,17.3,49,,SE,19,1018.0,25.8,29,,W,13,1016.3
,2019-03-10,9.9,23.7,0,,,W,57,11:46,17.9,48,8,NNE,15,1012.7,14.3,99,8,NNE,19,1010.4
,2019-03-11,12.5,20.9,2.0,,,SW,39,15:04,15.1,100,8,N,19,1011.2,19.4,65,7,WSW,22,1009.4
,2019-03-12,10.5,16.7,0.6,,,W,48,08:03,11.9,100,8,W,30,1009.8,14.3,45,8,SW,26,1013.0
,2019-03-13,2.3,17.7,0.8,,,SSE,30,14:41,9.2,90,,S,11,1018.1,16.3,39,8,SSE,17,1017.5
,2019-03-14,4.7,22.3,0,,,S,39,16:04,11.1,81,,S,13,1016.6,20.2,30,,S,19,1015.0
,2019-03-15,7.9,21.7,0,,,SE,57,22:24,12.5,88,8,SSE,35,1018.4,21.1,47,,SE,30,1018.4
,2019-03-16,11.6,28.4,0,,,SE,61,23:58,15.7,72,,ESE,6,1020.0,26.4,28,,NNW,15,1018.7
,2019-03-17,11.3,30.0,0,,,N,39,09:09,20.6,52,,NNE,19,1019.2,28.5,26,,ESE,11,1016.5
,2019-03-18,13.6,26.5,0,,,SE,48,22:32,15.3,99,7,SE,20,1017.8,25.1,40,,SSE,24,1015.5
,2019-03-19,15.1,23.5,0,,,SE,48,20:41,16.9,98,8,SE,28,1016.0,22.3,63,,SSE,33,1014.7
,2019-03-20,16.0,25.6,0,,,SE,37,23:13,17.6,95,8,SE,22,1015.7,24.6,55,,S,20,1014.4
,2019-03-21,16.3,24.8,0,,,SE,35,09:25,18.1,94,6,SE,24,1016.1,23.2,58,3,S,20,1015.4
,2019-03-22,16.0,31.1,0,,,NE,37,19:29,17.3,100,8,SSE,11,1015.4,29.4,28,,NE,15,1012.5
,2019-03-23,17.1,31.2,0,,,NNE,56,04:29,19.3,72,8,NNE,28,1008.6,28.3,35,1,NNW,28,1006.0
,2019-03-24,10.6,28.0,0,,,NNE,67,15:00,16.9,84,,NNE,15,1010.8,26.8,33,,N,43,1004.7
,2019-03-25,9.2,14.8,1.4,,,WNW,69,13:11,10.3,77,8,WNW,24,1005.5,12.3,52,5,W,33,1009.0
,2019-03-26,4.9,18.5,0.4,,,W,50,11:46,9.5,77,6,W,20,1018.0,17.5,38,2,WSW,22,1019.8
,2019-03-27,4.4,22.3,0,,,WSW,24,12:39,8.2,99,, ,Calm,1023.5,20.3,29,,SW,9,1020.7
,2019-03-28,6.5,25.4,0,,,N,46,11:54,15.2,48,,NNE,15,1017.9,24.0,24,,NNW,26,1013.7
,2019-03-29,12.6,27.2,0,,,NNW,85,13:09,18.5,26,8,N,28,1006.5,25.7,22,8,NNW,61,1000.0
,2019-03-30,4.7,13.3,2.0,,,WSW,61,13:12,5.9,98,6,SW,17,1009.8,9.1,84,5,WSW,22,1010.5
,2019-03-31,5.9,15.4,6.8,,,WSW,43,13:50,10.2,100,7,WSW,19,1015.3,13.8,99,8,WSW,24,1017.4
