"Daily Weather Observations for Ballarat, Victoria for April 2019"
"Prepared at 13:01 UTC on Sunday 18 August 2019   IDCJDW3005.201904"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-04-1,7.4,18.3,0.8,,,SE,35,19:54,9.8,76,8,SSE,13,1024.7,16.5,43,,S,15,1024.3
,2019-04-2,3.1,22.6,0,,,N,44,14:05,10.3,94,,N,6,1026.3,21.4,34,,N,24,1023.2
,2019-04-3,10.1,21.8,0,,,SE,41,20:34,14.4,66,1,NNE,7,1025.6,19.5,62,8,S,19,1027.1
,2019-04-4,9.6,24.0,0,,,SE,46,01:45,11.0,90,7,ESE,26,1029.2,23.3,34,8,NNW,13,1027.1
,2019-04-5,11.0,26.8,0,,,N,67,11:05,17.1,71,,NNE,28,1024.8,25.0,34,,N,50,1018.4
,2019-04-6,11.6,18.7,0,,,SSW,35,11:19,12.3,99,8,SSW,13,1019.4,16.1,53,4,SW,11,1019.7
,2019-04-7,4.3,22.9,0,,,NW,57,14:55,12.8,75,,N,26,1018.2,22.6,32,,NNW,37,1013.4
,2019-04-8,7.0,19.5,0,,,NW,52,12:32,13.6,86,8,N,20,1014.2,18.0,50,8,NW,35,1011.0
,2019-04-9,6.0,13.3,4.4,,,WSW,43,01:54,8.6,82,8,SW,19,1018.4,11.3,77,8,WSW,24,1020.3
,2019-04-10,2.7,14.0,0.8,,,SSE,31,11:51,8.4,99,,S,15,1027.1,12.2,58,8,S,20,1026.2
,2019-04-11,6.2,17.2,0,,,ESE,37,19:19,10.8,77,2,SSE,20,1026.9,16.2,46,,SSE,15,1024.5
,2019-04-12,2.3,21.4,0,,,NNE,43,12:50,13.3,62,,N,9,1024.3,20.8,24,,NNW,20,1021.4
,2019-04-13,4.4,19.5,0,,,SE,39,23:43,15.0,44,8,SSE,11,1025.4,18.2,54,6,SE,11,1023.8
,2019-04-14,11.8,23.2,0,,,SE,37,00:23,15.5,69,6,ESE,19,1024.8,21.6,38,8,SSE,6,1021.0
,2019-04-15,10.8,24.5,0,,,N,33,09:31,17.3,63,,NNE,20,1021.8,23.9,31,,NNE,17,1018.8
,2019-04-16,17.2,28.3,0,,,N,50,13:05,20.2,38,8,NNE,26,1022.2,27.9,18,8,N,33,1019.0
,2019-04-17,18.5,28.1,0,,,N,56,09:57,20.6,38,,NNE,33,1020.5,26.4,24,8,N,26,1017.4
,2019-04-18,5.4,16.9,0,,,S,44,12:19,10.6,68,,S,20,1027.3,16.0,35,6,S,22,1026.1
,2019-04-19,8.2,22.6,0,,,SE,39,03:10,12.3,75,,ESE,17,1027.1,21.9,18,,NNE,9,1024.5
,2019-04-20,10.3,27.0,0,,,N,39,11:37,19.2,34,,NNE,22,1024.2,25.9,24,,N,26,1020.8
,2019-04-21,16.2,24.5,0,,,NNE,46,10:15,19.3,51,6,NNW,26,1019.2,22.9,36,8,N,17,1017.5
,2019-04-22,9.5,16.1,0,,,S,35,11:29,10.8,83,8,S,19,1025.4,15.4,59,2,SE,20,1025.0
,2019-04-23,9.1,19.4,0,,,SE,39,01:20,11.9,89,3,ESE,26,1027.5,18.5,50,8,SSE,17,1025.8
,2019-04-24,10.3,22.2,4.0,,,SSW,37,16:17,13.3,100,8,E,9,1024.7,21.2,40,8,WSW,20,1021.8
,2019-04-25,5.4,18.8,0.2,,,W,37,12:31,10.7,100,8,WNW,13,1022.6,17.9,44,,WNW,22,1018.3
,2019-04-26,7.6,12.6,2.2,,,WSW,65,12:50,8.7,96,8,WSW,20,1017.8,10.8,61,7,SW,30,1019.4
,2019-04-27,1.8,12.1,0.4,,,WSW,41,22:43,7.5,98,8,W,15,1026.8,11.6,65,8,W,24,1025.0
,2019-04-28,7.4,14.6,0.4,,,WSW,41,11:23,10.0,100,8,WSW,17,1025.8,13.5,72,8,WSW,20,1025.5
,2019-04-29,7.7,15.3,1.2,,,NNE,37,22:30,8.6,100,8,SSW,9,1026.8,13.7,64,,ESE,7,1022.2
,2019-04-30,5.2,19.2,0,,,N,59,09:47,11.8,73,,N,28,1017.2,17.4,36,3,N,39,1011.7
