"Daily Weather Observations for Ballarat, Victoria for May 2019"
"Prepared at 13:01 UTC on Saturday 17 August 2019   IDCJDW3005.201905"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-05-1,10.7,18.7,8.4,,,NNE,67,22:56,13.9,100,8,N,39,1011.4,17.3,73,8,NNE,28,1012.1
,2019-05-2,12.0,17.0,19.2,,,NNW,76,01:11,12.5,99,7,NNE,28,1017.8,16.6,74,2,N,37,1015.3
,2019-05-3,4.6,16.1,0.2,,,NNW,44,14:00,9.4,100,1,N,17,1017.9,15.2,51,5,NNW,26,1015.1
,2019-05-4,8.3,13.3,0.6,,,SW,41,09:17,9.5,89,6,SW,22,1020.5,12.3,74,8,S,19,1021.4
,2019-05-5,7.9,13.3,0.6,,,SSE,33,10:13,8.7,100,8,S,20,1026.1,12.6,72,8,S,19,1024.9
,2019-05-6,5.7,13.9,0.6,,,SE,30,11:26,9.5,100,8,SSW,11,1023.9,13.1,61,2,SSE,13,1020.3
,2019-05-7,1.6,16.7,0,,,NNW,56,20:01,8.5,98,,N,30,1013.9,15.5,55,5,N,41,1008.1
,2019-05-8,7.7,12.8,13.0,,,WSW,50,10:57,8.8,100,8,WSW,24,1012.8,10.7,73,8,WNW,28,1015.0
,2019-05-9,5.2,12.2,1.0,,,N,56,11:46,8.7,96,8,N,39,1012.2,11.5,68,7,N,35,1008.1
,2019-05-10,5.6,9.1,43.8,,,SSW,54,08:51,7.5,100,8,SSW,35,1012.5,8.4,87,8,SSW,31,1016.4
,2019-05-11,5.3,11.6,13.0,,,SW,33,10:41,8.0,100,8,WSW,15,1026.3,11.2,98,8,W,22,1026.2
,2019-05-12,7.9,13.3,0.2,,,NW,30,11:24,9.9,99,8,N,15,1028.8,12.7,76,8,NW,15,1027.5
,2019-05-13,9.1,13.3,0.2,,,NNW,46,15:18,10.6,98,8,N,28,1027.8,12.8,69,7,N,35,1025.1
,2019-05-14,6.3,16.5,0,,,WNW,33,14:49,10.2,92,3,N,19,1029.3,15.0,59,8,W,22,1028.5
,2019-05-15,6.9,14.5,0,,,W,22,13:33,10.4,87,8,SSW,6,1032.2,12.8,68,7,SW,15,1030.4
,2019-05-16,2.1,13.5,0,,,SE,19,09:38,8.5,99,,SE,11,1029.5,12.9,69,,NW,9,1026.4
,2019-05-17,0.6,14.7,0.2,,,N,28,13:24,8.2,100,,NNE,9,1028.1,14.2,66,,N,11,1026.8
,2019-05-18,2.0,17.2,0,,,N,28,10:51,10.5,99,, ,Calm,1030.6,16.7,42,,NNW,17,1028.5
,2019-05-19,5.0,18.5,0,,,N,44,12:28,12.9,72,3,NNE,20,1029.2,17.4,51,1,N,31,1025.6
,2019-05-20,11.0,16.3,1.4,,,N,52,12:03,12.0,99,8,NNE,31,1020.8,14.9,98,6,N,30,1018.7
,2019-05-21,6.7,15.0,0.6,,,NNW,35,14:08,10.5,100,7,NNE,17,1024.2,14.5,81,8,NNW,22,1022.9
,2019-05-22,5.4,16.9,0.2,,,N,28,13:55,10.2,100,,NNE,9,1028.9,16.6,67,,N,22,1027.5
,2019-05-23,7.5,16.5,0,,,NNE,48,11:36,10.9,96,,NNE,26,1027.3,16.1,65,,N,35,1022.7
,2019-05-24,9.5,16.1,1.6,,,N,52,13:56,9.8,94,8,NE,28,1019.6,15.3,77,2,N,35,1015.2
,2019-05-25,6.0,14.6,0.2,,,NNW,52,15:16,9.5,100,7,N,17,1014.6,13.9,84,8,NNW,33,1011.1
,2019-05-26,4.0,10.6,3.4,,,W,61,20:10,6.1,99,,N,24,1014.7,9.7,99,8,N,31,1010.2
,2019-05-27,3.0,8.5,12.0,,,W,56,10:48,3.6,98,7,W,28,1009.5,7.6,98,8,WSW,24,1011.8
,2019-05-28,3.6,12.6,5.0,,,WNW,61,23:12,6.9,100,7,N,28,1010.7,10.7,100,8,NNW,20,1005.6
,2019-05-29,3.3,5.7,3.6,,,WSW,61,05:38,4.1,93,6,W,26,1004.2,3.7,98,8,W,20,1007.2
,2019-05-30,1.5,9.6,7.6,,,WSW,41,13:42,4.1,100,8,WSW,11,1022.5,8.2,87,8,SW,17,1023.2
,2019-05-31,4.1,10.7,1.8,,,S,44,12:49,8.7,100,8,SSW,24,1027.8,10.1,98,8,S,26,1028.0
