"Daily Weather Observations for Ballarat, Victoria for June 2019"
"Prepared at 16:01 UTC on Friday 16 August 2019   IDCJDW3005.201906"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-06-1,8.4,12.3,0.6,,,SSE,33,10:33,9.0,92,8,S,20,1032.9,11.1,75,7,S,20,1031.5
,2019-06-2,6.1,9.7,0,,,WSW,50,14:54,6.4,100,8,W,15,1029.0,5.8,99,8,WSW,33,1024.7
,2019-06-3,4.7,9.4,12.6,,,S,67,10:53,6.3,98,8,SSW,26,1021.3,8.7,73,8,S,39,1022.4
,2019-06-4,4.6,8.3,2.4,,,,,,5.7,100,,S,20,1027.9,7.6,100,8,S,28,1028.8
,2019-06-5,5.4,8.7,2.2,,,S,39,04:15,6.7,94,7,S,19,1033.5,7.9,74,8,SW,17,1032.4
,2019-06-6,6.4,11.2,1.0,,,SSW,28,14:29,8.3,100,7,SSW,15,1035.7,10.8,98,8,SSW,15,1035.1
,2019-06-7,6.0,13.4,0.2,,,N,31,13:15,6.3,100,8,SSE,9,1036.5,12.8,66,,N,20,1033.6
,2019-06-8,1.9,13.5,0,,,NNE,41,10:56,8.2,86,,N,28,1029.4,13.0,69,,N,26,1024.6
,2019-06-9,4.7,13.5,0.2,,,N,44,23:37,6.3,100,8,N,20,1021.8,12.0,68,6,N,28,1018.5
,2019-06-10,6.3,14.5,4.2,,,N,70,01:22,10.6,99,8,NNW,37,1011.9,14.3,67,8,WNW,20,1014.0
,2019-06-11,4.1,13.9,0,,,NNE,57,23:50,8.4,100,,N,17,1023.0,13.3,72,,N,37,1021.1
,2019-06-12,8.4,12.5,3.6,,,NNW,63,13:16,10.5,100,7,NNE,30,1014.1,12.3,100,8,N,28,1010.4
,2019-06-13,1.8,12.8,18.8,,,NNW,46,13:55,6.4,100,7,N,20,1016.5,12.4,71,6,NW,28,1015.5
,2019-06-14,5.7,11.3,3.2,,,NNW,44,13:12,7.9,100,8,N,20,1018.9,10.7,99,8,NNW,24,1017.1
,2019-06-15,3.0,12.4,2.0,,,NW,24,12:12,7.1,100,8,NNE,15,1022.0,11.6,74,8,WSW,7,1021.0
,2019-06-16,5.0,12.1,0.2,,,NNE,28,10:29,7.8,100,8,N,7,1023.6,12.0,84,,N,17,1022.2
,2019-06-17,2.3,10.8,0.2,,,N,39,22:44,5.0,100,8,N,7,1023.9,10.7,92,,N,22,1021.4
,2019-06-18,4.8,8.1,3.6,,,WSW,50,13:17,7.0,100,8,NNW,13,1017.6,7.0,98,8,SW,13,1019.9
,2019-06-19,0.7,9.4,1.8,,,SW,24,13:18,2.5,100,8,NW,7,1026.5,7.7,77,8,SSW,15,1026.2
,2019-06-20,-0.8,8.7,0,,,SW,28,13:40,3.6,100,8,SE,4,1026.5,8.3,71,,SW,17,1025.0
,2019-06-21,1.3,9.7,0.2,,,S,37,15:13,3.7,100,8,SW,9,1029.8,8.5,79,7,S,15,1029.7
,2019-06-22,1.5,9.1,0,,,S,28,11:03,4.1,100,,S,7,1031.6,8.2,82,8,WSW,13,1030.2
,2019-06-23,0.9,10.7,0.4,,,SE,31,12:44,1.9,100,8,S,9,1031.7,9.9,65,1,SE,22,1030.4
,2019-06-24,-2.5,11.3,0.2,,,N,28,12:21,4.0,97,,ENE,6,1033.4,10.7,57,,N,17,1032.1
,2019-06-25,0.5,12.3,0,,,N,48,11:31,8.3,54,,NNE,22,1034.1,12.0,70,,N,19,1033.0
,2019-06-26,-0.5,13.6,0,,,N,33,13:16,7.1,100,,NE,13,1036.1,13.2,67,,N,20,1033.0
,2019-06-27,4.9,12.6,0,,,NNE,52,23:55,7.3,93,,N,31,1031.8,12.6,75,,N,30,1028.6
,2019-06-28,7.3,14.6,0,,,N,57,00:58,9.3,84,,NNE,31,1027.2,13.4,78,8,N,35,1022.1
,2019-06-29,9.3,11.2,14.4,,,N,107,15:10,10.9,100,8,NNE,43,1013.6,11.1,100,7,NNE,39,1003.5
,2019-06-30,3.8,9.5,25.4,,,NNW,48,13:42,5.0,98,6,N,22,1018.7,8.8,89,5,NNW,30,1019.3
