"Daily Weather Observations for Ballarat, Victoria for July 2019"
"Prepared at 13:01 UTC on Thursday 13 August 2020   IDCJDW3005.201907"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-07-1,4.6,8.4,0,,,N,59,13:11,5.9,98,8,N,28,1021.6,8.4,78,7,N,43,1017.3
,2019-07-2,3.5,10.1,0,,,N,44,00:39,5.5,98,3,N,24,1020.2,9.6,98,8,NNW,15,1021.4
,2019-07-3,4.7,10.9,0.6,,,SE,31,22:04,7.2,100,8,N,6,1031.2,10.8,78,7,SSE,13,1031.9
,2019-07-4,6.5,12.3,0,,,SE,43,03:17,7.6,90,,ESE,28,1036.9,11.5,74,2,SE,19,1034.7
,2019-07-5,2.2,13.8,0,,,N,39,11:32,9.1,86,,NNE,9,1035.6,13.1,72,8,N,20,1032.6
,2019-07-6,5.4,14.7,0,,,N,46,09:03,9.5,89,,NNE,31,1032.5,14.4,69,,NNE,20,1030.7
,2019-07-7,8.2,13.8,0,,,N,50,10:27,10.5,79,6,NNE,26,1028.4,10.0,100,8,N,20,1026.2
,2019-07-8,5.0,11.8,10.0,,,W,35,11:19,7.1,100,4,W,15,1026.4,10.6,78,8,W,19,1024.4
,2019-07-9,2.4,11.5,0.2,,,NW,35,12:05,6.8,100,8,N,19,1021.3,10.6,81,8,WNW,15,1018.3
,2019-07-10,4.2,12.3,0.6,,,NW,96,20:51,5.1,100,1,N,33,1011.7,11.2,68,8,N,50,1004.1
,2019-07-11,4.4,10.1,11.0,,,WSW,57,14:34,5.9,100,8,N,26,1006.9,8.9,99,8,W,35,1007.0
,2019-07-12,5.3,10.8,4.6,,,NNW,57,02:21,9.3,100,8,NNW,24,1006.4,8.2,83,5,W,33,1005.7
,2019-07-13,2.8,7.5,4.8,,,WSW,54,12:42,3.6,99,7,W,24,1015.0,6.9,78,5,WSW,26,1019.4
,2019-07-14,2.8,9.2,2.0,,,W,72,20:19,6.1,99,8,WNW,31,1021.2,8.6,98,8,W,37,1017.8
,2019-07-15,6.1,10.5,0.4,,,SSW,57,02:23,7.0,99,8,SW,20,1023.5,10.0,98,8,WSW,24,1023.4
,2019-07-16,6.9,9.3,3.0,,,W,39,00:09,7.8,100,8,WSW,22,1024.6,9.0,98,8,W,22,1023.6
,2019-07-17,5.9,10.3,0.8,,,WSW,54,12:58,6.3,100,8,N,20,1018.5,9.8,85,8,W,26,1014.9
,2019-07-18,4.0,10.4,2.6,,,NNW,44,16:38,5.5,99,8,WNW,11,1019.2,10.0,76,,N,30,1016.0
,2019-07-19,5.4,11.4,0.6,,,NNW,39,00:09,5.8,100,7,WNW,7,1021.7,10.9,73,1,N,19,1020.3
,2019-07-20,5.1,12.0,0,,,N,63,12:17,6.7,100,8,N,39,1019.6,11.8,78,1,N,37,1014.5
,2019-07-21,6.1,13.0,0,,,NNE,61,01:17,6.5,83,,NNE,20,1011.5,12.5,57,8,WNW,7,1011.9
,2019-07-22,3.1,12.7,0,,,N,72,16:04,6.2,93,,N,35,1014.1,12.2,67,,N,46,1009.3
,2019-07-23,5.9,10.7,1.8,,,N,72,16:38,7.7,98,7,NNW,30,1010.9,9.5,76,8,N,44,1007.8
,2019-07-24,2.1,11.2,3.6,,,WNW,33,12:00,5.7,98,8,NNW,13,1022.2,10.1,79,8,WNW,20,1022.6
,2019-07-25,5.6,10.9,0.8,,,N,43,12:11,8.5,100,8,N,24,1025.3,10.4,77,8,NNW,28,1022.6
,2019-07-26,6.2,10.3,0,,,NNE,39,03:45,7.0,98,8,NNE,24,1021.6,9.3,98,8,N,13,1021.0
,2019-07-27,3.7,10.3,0.4,,,N,26,09:18,6.8,100,7,NNW,17,1024.4,9.2,92,7,N,15,1023.2
,2019-07-28,-1.4,9.9,0,,,NW,22,15:03,3.9,100,1, ,Calm,1026.1,9.7,70,8,NNW,13,1022.7
,2019-07-29,3.9,11.5,2.0,,,SSW,30,14:58,6.5,100,8, ,Calm,1022.8,9.3,83,6,SSW,20,1022.3
,2019-07-30,4.7,9.0,0.2,,,S,35,11:22,5.3,99,7,S,19,1028.8,8.0,85,8,SE,20,1028.5
,2019-07-31,4.1,11.5,0,,,SE,37,09:27,6.3,87,7,ESE,20,1032.4,9.8,70,7,S,13,1030.6
