"Daily Weather Observations for Ballarat, Victoria for August 2019"
"Prepared at 13:01 UTC on Wednesday 12 August 2020   IDCJDW3005.201908"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-08-1,4.1,10.3,0,,,SSW,31,13:32,5.9,99,8,SW,11,1033.2,9.5,73,8,S,15,1032.4
,2019-08-2,5.6,9.7,0.8,,,W,26,12:50,6.5,100,8,SSW,6,1033.8,9.4,78,8,WSW,15,1032.0
,2019-08-3,6.1,10.0,0.4,,,WSW,39,13:48,7.3,100,8,W,17,1032.3,8.7,94,8,WSW,19,1030.7
,2019-08-4,5.6,9.8,0.8,,,WSW,17,00:21,6.9,100,8,NNW,2,1031.2,9.4,71,8,WNW,7,1028.3
,2019-08-5,3.5,11.7,0,,,N,43,11:39,5.7,98,6,N,20,1025.5,11.3,66,1,N,28,1022.3
,2019-08-6,5.2,10.2,0.2,,,N,54,14:17,5.7,91,8,N,28,1019.4,9.9,81,8,NNE,35,1013.8
,2019-08-7,4.5,10.8,0,,,NNE,35,02:45,6.2,82,8,N,7,1011.1,9.9,77,8,NW,11,1007.2
,2019-08-8,2.8,8.9,17.4,,,N,67,17:42,5.8,98,8,NNW,30,1000.9,7.1,80,8,NNW,31,998.3
,2019-08-9,2.7,6.1,14.4,,,WNW,80,03:53,2.8,99,8,WSW,37,999.3,5.1,89,5,W,24,1002.1
,2019-08-10,0.1,9.0,5.8,,,W,54,21:03,4.5,100,7,WSW,22,1005.8,5.0,98,8,WSW,31,1006.5
,2019-08-11,0.3,9.8,13.8,,,SW,52,10:03,4.1,100,8,SSW,24,1008.2,8.5,91,8,SSW,24,1012.9
,2019-08-12,1.6,8.3,1.8,,,SSW,33,01:13,4.1,100,6,SSW,13,1024.3,7.5,81,8,WSW,20,1024.5
,2019-08-13,4.1,9.2,1.0,,,WSW,24,00:33,6.0,100,8,WSW,15,1028.2,8.5,98,8,SW,13,1027.2
,2019-08-14,4.8,8.0,0,,,NNW,44,12:35,5.7,100,7,N,20,1028.0,7.7,78,8,N,30,1024.8
,2019-08-15,1.3,11.4,0,,,N,46,12:20,4.3,86,6,N,26,1023.4,10.3,77,5,NNE,33,1019.2
,2019-08-16,4.3,11.6,0.2,,,N,56,01:20,7.4,74,8,N,28,1014.1,8.7,99,8,SW,26,1015.6
,2019-08-17,0.4,12.3,3.4,,,NNE,43,22:18,3.9,100,,WNW,4,1021.8,12.3,66,,N,20,1017.3
,2019-08-18,3.9,10.4,0,,,W,81,18:57,8.6,80,7,N,22,1007.8,7.9,93,8,N,33,1004.0
,2019-08-19,1.7,8.3,5.2,,,WSW,50,13:53,2.8,99,8,W,24,1018.6,6.9,95,4,W,24,1021.7
,2019-08-20,2.8,12.8,1.4,,,W,52,16:20,7.7,92,8,W,35,1025.1,11.5,82,8,WNW,26,1022.6
,2019-08-21,7.6,12.7,1.6,,,W,63,21:05,8.9,99,8,WSW,33,1021.3,11.4,76,8,WSW,24,1020.4
,2019-08-22,7.0,10.4,1.8,,,SW,67,02:56,7.5,86,8,SSW,26,1023.4,9.3,65,4,SSW,22,1024.9
,2019-08-23,-1.5,11.9,0,,,NNE,52,22:12,4.7,99,8,NW,11,1026.0,10.9,76,4,N,30,1021.5
,2019-08-24,3.3,14.3,0,,,WSW,63,17:36,6.6,72,,N,35,1016.1,13.9,67,8,N,31,1011.4
,2019-08-25,2.0,9.2,0.8,,,WSW,41,14:32,4.8,99,5,WSW,11,1022.3,7.5,98,8,SW,15,1022.2
,2019-08-26,1.0,11.6,0.6,,,WSW,26,13:49,5.9,100,1,SW,11,1026.5,10.5,62,5,SW,11,1024.5
,2019-08-27,3.6,12.4,0,,,W,31,12:44,6.6,100,8,WSW,15,1026.2,11.1,69,6,WSW,15,1023.7
,2019-08-28,2.4,8.6,0,,,SSW,44,16:05,6.3,100,8,N,24,1021.2,6.5,99,8,SW,17,1020.2
,2019-08-29,0.5,9.6,4.0,,,SSE,44,11:59,4.2,100,8,S,24,1029.8,9.1,60,2,SE,28,1028.8
,2019-08-30,0.5,14.1,0,,,ESE,28,00:39,8.5,71,,ENE,2,1028.7,13.6,52,,N,15,1025.8
,2019-08-31,1.8,15.2,0.2,,,NNE,56,09:41,8.0,78,,N,35,1023.9,15.0,50,,N,37,1020.2
