"Daily Weather Observations for Ballarat, Victoria for September 2019"
"Prepared at 13:01 UTC on Tuesday 11 August 2020   IDCJDW3005.201909"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-09-1,7.6,15.9,0,,,NW,65,14:43,8.0,75,8,N,33,1017.8,8.9,81,8,NW,37,1015.4
,2019-09-2,6.0,13.6,0.8,,,N,43,13:32,6.4,100,8,NNW,7,1022.3,12.2,78,7,N,31,1017.6
,2019-09-3,6.2,18.6,1.0,,,N,31,10:34,13.2,63,,NNE,19,1015.9,18.0,42,,NW,13,1014.6
,2019-09-4,3.9,15.5,0.2,,,NNW,33,13:38,8.0,100,7,NNW,7,1016.2,14.4,63,3,N,20,1014.8
,2019-09-5,2.6,16.2,0,,,N,35,10:33,11.2,95,,N,20,1014.4,14.9,69,8,N,22,1010.9
,2019-09-6,4.3,10.6,1.2,,,W,59,21:40,8.4,89,2,NNW,26,1001.4,5.4,98,8,WSW,33,1000.7
,2019-09-7,4.2,9.3,5.2,,,W,65,00:26,5.9,99,8,WSW,37,1012.5,7.4,88,8,WSW,31,1013.3
,2019-09-8,5.1,10.1,1.8,,,W,67,14:00,7.2,100,8,WNW,20,1016.9,7.2,96,8,W,22,1013.3
,2019-09-9,3.5,9.7,7.8,,,SSW,54,07:48,6.2,79,8,SSW,31,1023.2,8.3,74,8,SSW,28,1024.9
,2019-09-10,3.5,10.6,0.2,,,W,22,14:35,5.9,100,8,WSW,11,1029.4,10.2,72,8,WSW,13,1028.7
,2019-09-11,-0.6,15.4,0,,,N,41,14:12,8.7,87,,N,22,1030.6,14.6,71,,N,28,1027.2
,2019-09-12,7.6,15.7,0,,,N,56,05:58,10.2,63,4,N,28,1018.6,13.9,74,8,WSW,26,1021.0
,2019-09-13,-0.3,16.0,0,,,WNW,35,14:59,7.5,98,1,NNW,7,1025.1,14.7,48,8,W,20,1023.2
,2019-09-14,6.8,16.9,0,,,NNE,30,21:55,8.5,88,5,S,13,1027.2,16.4,49,,N,20,1024.1
,2019-09-15,8.5,16.2,2.6,,,N,50,07:27,11.9,72,8,N,26,1019.3,14.1,80,7,N,20,1017.2
,2019-09-16,5.8,10.3,15.4,,,S,50,14:57,6.9,85,8,S,28,1020.1,7.2,80,6,S,35,1022.3
,2019-09-17,0.5,11.1,0.4,,,SSE,43,09:55,6.5,69,1,SE,28,1027.8,10.8,55,,SE,17,1026.7
,2019-09-18,-0.7,15.0,0,,,N,35,12:09,8.6,76,,N,17,1028.3,14.5,49,,N,22,1025.3
,2019-09-19,5.0,19.4,0,,,NNE,74,14:04,12.6,77,,NNE,44,1021.0,18.2,57,8,N,41,1017.3
,2019-09-20,12.6,22.4,0,,,NNE,67,00:47,15.7,69,8,NNE,37,1018.7,21.9,48,,N,33,1014.1
,2019-09-21,9.6,13.9,0,,,NW,54,10:06,10.5,100,8,NE,6,1008.0,10.3,99,8,W,33,1012.6
,2019-09-22,0.8,11.5,7.2,,,NNW,41,11:27,7.2,93,1,N,22,1023.1,9.8,66,8,NNW,24,1021.5
,2019-09-23,4.5,11.4,1.6,,,WSW,43,13:12,6.8,97,8,W,24,1024.3,9.1,97,6,WSW,15,1025.9
,2019-09-24,2.1,10.4,0.8,,,W,31,10:45,7.5,98,7,WSW,19,1029.2,9.6,75,8,W,17,1028.5
,2019-09-25,3.4,13.4,0,,,WSW,28,11:02,7.7,100,8,W,15,1030.4,12.5,61,6,W,15,1027.7
,2019-09-26,1.1,16.5,0.2,,,NNW,35,15:09,11.4,86,,N,7,1026.9,15.6,53,,NNW,24,1022.6
,2019-09-27,6.1,14.8,0,,,SW,56,13:09,10.9,61,7,NNE,28,1016.0,7.6,98,8,WSW,30,1017.7
,2019-09-28,2.0,12.4,0,,,SSE,28,08:58,8.2,73,8,S,20,1022.9,11.6,65,1,SSW,11,1020.7
,2019-09-29,4.7,12.5,0.2,,,SW,35,11:42,6.9,98,8,SW,15,1022.3,11.8,66,8,SW,15,1022.5
,2019-09-30,5.8,12.4,0,,,S,41,08:50,8.0,71,8,S,28,1028.4,10.8,65,8,S,20,1027.7
