"Daily Weather Observations for Ballarat, Victoria for October 2019"
"Prepared at 13:01 UTC on Monday 10 August 2020   IDCJDW3005.201910"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-10-1,0.3,18.4,0,,,N,31,10:42,12.1,61,,NNE,20,1029.4,17.6,36,,N,19,1026.8
,2019-10-2,7.0,21.8,0,,,N,41,09:37,15.7,59,8,N,30,1025.6,20.6,33,8,NNE,26,1021.6
,2019-10-3,13.5,22.9,0,,,NNE,44,08:07,18.5,38,,N,31,1019.1,21.2,59,,W,17,1018.4
,2019-10-4,7.6,13.2,0,,,SW,35,06:22,9.0,95,8,S,19,1024.1,11.7,84,8,S,17,1021.6
,2019-10-5,6.7,20.0,2.0,,,NNE,50,22:16,12.0,75,7,ESE,17,1019.6,18.8,56,3,NNE,19,1015.5
,2019-10-6,12.0,19.3,0,,,NNW,56,05:17,15.7,70,,NNW,26,1007.1,16.4,70,8,WNW,31,1009.2
,2019-10-7,6.7,14.4,0.2,,,,,,8.1,95,,SW,9,1014.5,12.6,61,8,W,22,1013.1
,2019-10-8,5.0,11.2,,,,,,,6.4,99,,SW,15,1017.2,9.6,62,6,SW,28,1020.4
,2019-10-9,4.2,11.0,0.8,,,S,35,07:20,6.5,99,8,S,20,1026.8,10.6,79,8,S,13,1026.5
,2019-10-10,6.1,13.8,0,,,SSE,35,09:35,7.5,98,8,S,20,1025.2,11.6,70,8,SSE,20,1022.9
,2019-10-11,5.8,15.3,0,,,SE,46,10:00,7.8,99,8,SSE,20,1020.1,14.2,66,8,SE,28,1017.3
,2019-10-12,5.9,19.0,0,,,SE,41,23:13,11.7,80,,ENE,11,1018.0,17.8,44,3,N,17,1016.3
,2019-10-13,8.7,19.3,0,,,NNE,44,10:03,12.7,68,6,NNE,30,1018.3,17.0,53,8,NNE,30,1015.7
,2019-10-14,10.1,23.0,0,,,SSW,37,19:11,15.1,63,7,N,20,1014.0,21.4,38,,NW,17,1011.6
,2019-10-15,7.5,17.2,0.2,,,S,31,06:28,9.4,98,8,SE,20,1014.1,17.1,66,3,S,17,1012.8
,2019-10-16,9.2,16.7,0.6,,,NNW,44,13:41,10.5,100,8,N,19,1011.3,12.4,85,8,W,22,1009.0
,2019-10-17,5.4,10.6,10.6,,,W,69,13:52,7.0,95,8,W,31,1009.2,9.6,99,8,W,37,1011.5
,2019-10-18,0.5,17.3,5.8,,,NW,69,12:47,6.6,97,1,N,30,1015.2,15.9,52,2,NNW,44,1011.4
,2019-10-19,4.9,12.7,2.4,,,W,56,15:29,6.6,89,8,W,24,1015.3,11.2,66,8,W,37,1017.0
,2019-10-20,4.5,12.5,0.8,,,WSW,41,12:18,7.9,99,8,WSW,17,1025.1,11.9,73,8,WSW,20,1026.2
,2019-10-21,6.8,17.4,0,,,SE,26,08:16,8.8,98,8,S,15,1028.5,16.8,65,,SSW,15,1027.1
,2019-10-22,4.8,22.8,0.2,,,SSE,20,02:15,11.6,74,,S,9,1025.9,22.0,34,,WSW,13,1023.9
,2019-10-23,4.1,26.0,0.2,,,ESE,24,21:21,17.9,49,,N,7,1022.3,25.3,32,,W,13,1020.1
,2019-10-24,10.6,29.5,0,,,NNE,48,10:51,20.4,34,,NNE,26,1016.4,28.9,19,,NNE,30,1011.4
,2019-10-25,11.7,18.9,0,,,NW,50,15:27,12.1,79,8,W,22,1006.3,17.6,40,8,NW,28,1004.7
,2019-10-26,5.1,13.1,1.8,,,W,70,11:58,7.7,81,8,NW,35,1003.5,11.8,70,5,W,35,1008.5
,2019-10-27,3.2,14.5,1.4,,,W,39,14:46,8.2,98,8,WNW,15,1016.0,13.1,73,8,NW,20,1016.8
,2019-10-28,2.5,20.3,3.0,,,S,24,23:47,7.9,100,1,NW,2,1023.5,18.2,36,,N,13,1022.5
,2019-10-29,6.1,26.0,0,,,N,48,10:31,14.9,40,,N,26,1020.5,25.4,28,,NNW,31,1017.7
,2019-10-30,9.3,29.8,0,,,NNW,35,12:49,20.1,33,,N,13,1017.9,28.8,23,,WNW,19,1015.4
,2019-10-31,13.9,29.2,0,,,N,61,11:08,20.0,49,4,N,26,1015.2,28.8,29,,N,39,1012.2
