"Daily Weather Observations for Ballarat, Victoria for November 2019"
"Prepared at 13:01 UTC on Sunday  9 August 2020   IDCJDW3005.201911"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-11-1,16.0,28.5,0,,,N,65,09:40,19.7,61,4,N,24,1011.3,26.7,32,8,N,39,1007.1
,2019-11-2,12.6,17.4,17.0,,,W,54,23:13,14.3,100,5,NNE,33,1009.0,14.9,99,8,N,30,1009.4
,2019-11-3,11.6,19.7,3.8,,,WNW,39,12:54,13.0,100,8,N,9,1011.8,18.7,49,8,W,20,1010.9
,2019-11-4,2.9,12.7,2.2,,,WSW,63,17:36,10.1,96,8,NNW,11,1014.8,8.8,99,7,WSW,15,1015.1
,2019-11-5,0.2,16.3,10.4,,,NW,37,15:50,6.7,96,,WSW,15,1019.8,14.5,59,7,NNW,19,1016.3
,2019-11-6,6.7,,0,,,NNW,69,12:19,12.3,95,8,N,26,1008.5,18.4,40,,NW,46,1004.0
,2019-11-7,6.8,13.2,1.0,,,W,56,04:09,9.4,83,,NW,28,1004.4,11.9,93,8,NW,31,1002.2
,2019-11-8,6.1,11.8,9.4,,,SSW,61,16:53,6.4,99,8,WSW,20,1003.8,10.4,61,8,SSW,31,1007.7
,2019-11-9,2.9,10.8,5.4,,,W,52,14:13,7.0,99,8,WSW,24,1016.3,9.8,88,8,W,33,1014.8
,2019-11-10,6.9,14.4,1.0,,,WSW,39,01:09,9.0,100,8,WSW,20,1016.9,11.6,98,8,WSW,13,1016.7
,2019-11-11,3.4,26.0,0,,,N,50,12:27,12.2,98,8,N,31,1013.2,24.4,32,8,NNW,31,1008.7
,2019-11-12,7.2,13.7,0.2,,,W,70,16:16,9.1,84,6,SW,26,1008.4,10.4,87,4,W,30,1010.2
,2019-11-13,4.2,14.4,3.6,,,W,52,11:51,7.4,99,8,W,19,1016.6,13.2,68,8,WNW,31,1016.0
,2019-11-14,7.4,17.9,1.2,,,WSW,35,23:08,9.6,99,8,WNW,24,1016.2,17.1,69,8,WNW,20,1013.6
,2019-11-15,8.2,16.2,0,,,W,48,13:58,9.7,100,8,WNW,24,1011.4,12.4,99,8,W,31,1011.5
,2019-11-16,4.0,13.6,0.8,,,WSW,35,12:56,8.6,81,8,WSW,19,1018.3,12.1,63,8,SW,20,1019.0
,2019-11-17,5.7,15.4,0,,,SSW,35,07:56,9.9,78,3,SSW,22,1020.7,14.3,59,7,SW,19,1020.3
,2019-11-18,2.4,24.5,0.2,,,W,41,13:46,12.3,78,,N,24,1017.0,22.9,40,,W,24,1014.4
,2019-11-19,6.8,20.4,0,,,SSE,35,15:47,10.2,100,7,S,24,1013.1,19.2,57,,S,22,1013.4
,2019-11-20,6.8,29.7,0,,,NE,48,21:56,17.5,42,,NW,13,1013.5,28.7,29,,N,22,1010.9
,2019-11-21,17.4,35.3,0,,,NNW,94,11:54,26.7,24,2,N,44,1004.2,21.4,59,5,WSW,33,1005.3
,2019-11-22,7.6,19.7,0,,,S,35,06:49,10.6,76,8,SSE,20,1016.3,18.8,40,,SSW,13,1015.3
,2019-11-23,4.9,19.5,0,,,W,44,12:32,11.7,82,7,WSW,19,1017.7,18.3,50,8,WSW,24,1017.7
,2019-11-24,3.8,23.7,0,,,N,28,12:14,12.7,65,,SSE,13,1017.6,21.7,31,,WNW,7,1013.7
,2019-11-25,6.4,24.0,0,,,N,69,18:28,17.0,38,4,N,26,1009.6,19.7,40,8, ,Calm,1008.5
,2019-11-26,7.3,13.4,1.6,,,SW,54,12:51,8.9,98,8,SSW,20,1006.5,12.7,59,6,SSW,33,1011.7
,2019-11-27,0.8,21.8,2.8,,,NW,46,12:10,9.0,81,,N,20,1016.3,20.1,26,,NW,26,1014.3
,2019-11-28,6.3,23.2,0,,,SE,39,19:13,12.4,74,2,SSE,22,1015.8,21.7,41,,SW,13,1014.0
,2019-11-29,6.7,21.5,0,,,SW,37,16:02,14.5,82,,W,9,1012.5,19.6,53,8,SW,13,1011.2
,2019-11-30,4.7,17.1,0.6,,,W,35,13:40,10.1,74,8,SW,15,1013.9,14.5,43,8,SW,19,1011.5
