"Daily Weather Observations for Ballarat, Victoria for December 2019"
"Prepared at 13:01 UTC on Saturday  8 August 2020   IDCJDW3005.201912"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-12-1,5.6,14.6,0.2,,,NNW,52,10:57,8.2,85,7,N,30,1002.6,13.2,64,8,W,31,997.7
,2019-12-2,5.0,11.7,1.8,,,WSW,57,11:35,6.5,95,8,WSW,28,996.9,9.6,74,8,WSW,30,1001.0
,2019-12-3,4.8,19.3,2.6,,,W,61,15:07,10.2,98,7,W,31,1006.3,17.4,46,7,W,37,1005.7
,2019-12-4,8.4,20.7,0.2,,,W,50,10:10,10.5,80,8,W,33,1011.6,18.3,43,3,W,30,1010.5
,2019-12-5,4.3,20.4,0,,,WSW,57,12:58,11.1,87,8,WNW,24,1008.8,19.3,50,8,W,31,1008.2
,2019-12-6,8.7,18.2,0,,,WSW,46,09:06,10.3,87,8,WSW,20,1011.0,16.8,49,8,WSW,24,1011.8
,2019-12-7,5.0,21.4,0,,,SSW,35,15:14,10.4,82,3,SSW,17,1016.5,20.3,40,,SW,20,1015.5
,2019-12-8,6.7,28.8,0,,,SE,26,04:20,15.2,66,,SSE,17,1018.0,26.3,23,,SW,2,1016.3
,2019-12-9,14.1,34.4,0,,,W,56,15:37,22.9,31,,N,28,1015.6,33.3,12,7,NW,28,1012.6
,2019-12-10,10.3,20.3,0,,,S,44,14:11,11.5,99,8,SSW,22,1018.0,18.3,43,,S,26,1017.7
,2019-12-11,8.7,21.9,0,,,SSE,44,23:17,11.0,79,7,SSE,28,1017.3,20.4,41,,S,26,1016.5
,2019-12-12,9.5,17.3,0,,,SW,44,13:54,10.6,93,8,SW,19,1018.3,16.3,54,8,SW,24,1017.7
,2019-12-13,6.9,19.3,0,,,SW,41,13:43,10.2,74,8,SSW,24,1018.5,17.8,50,8,WSW,28,1015.8
,2019-12-14,10.1,20.6,0,,,WSW,35,07:24,11.9,98,8,WSW,22,1014.9,18.5,60,5,SW,19,1013.4
,2019-12-15,10.8,21.4,0,,,W,44,17:36,12.0,87,8,WSW,15,1010.3,17.5,52,8,W,20,1009.9
,2019-12-16,9.1,24.9,0,,,SSW,37,16:27,14.1,77,6,SSE,15,1014.7,23.5,42,,SSW,24,1015.1
,2019-12-17,10.7,30.7,0,,,SSE,35,12:07,20.3,55,,SSE,15,1018.8,29.3,27,,SE,17,1017.8
,2019-12-18,12.4,,0,,,NNW,41,11:10,27.5,17,,N,19,1016.3,35.9,12,,W,24,1013.4
,2019-12-19,16.0,30.1,0,,,SE,41,18:20,20.4,58,,S,19,1016.3,28.5,31,,SE,24,1016.4
,2019-12-20,12.7,43.5,0,,,N,61,12:17,30.1,15,,NNE,28,1014.3,40.0,11,,N,39,1009.6
,2019-12-21,13.6,20.1,0,,,S,52,13:51,14.8,74,3,S,28,1016.8,18.3,43,2,SSW,28,1018.9
,2019-12-22,6.3,23.4,0,,,SE,48,06:10,12.5,62,,SSE,31,1022.3,21.1,32,,SE,28,1020.5
,2019-12-23,8.6,27.1,0,,,SE,41,03:34,13.7,71,8,SE,24,1018.0,24.9,28,,SE,15,1016.1
,2019-12-24,9.9,26.6,0,,,SSE,41,17:04,15.9,60,,SSE,20,1017.1,25.1,33,,SE,20,1015.7
,2019-12-25,12.2,30.6,0,,,SSW,46,13:31,22.3,26,,SE,11,1016.7,29.6,27,,WSW,20,1015.2
,2019-12-26,11.5,26.7,0,,,SSE,44,15:35,14.4,86,7,S,17,1020.2,25.8,33,,SE,22,1018.7
,2019-12-27,10.4,35.0,0,,,SE,50,04:21,17.8,47,,SE,28,1017.7,33.3,16,,NW,15,1014.1
,2019-12-28,17.5,,0,,,WNW,44,09:13,26.5,35,8,NNW,7,1013.6,34.8,20,2,WNW,24,1013.0
,2019-12-29,15.4,38.5,0,,,NNW,54,13:19,28.5,30,,N,20,1015.4,36.4,16,4,N,24,1011.8
,2019-12-30,18.1,39.9,0,,,NW,80,13:46,30.7,28,,NNE,30,1007.5,36.7,14,2,NW,48,1002.5
,2019-12-31,10.9,21.7,0.6,,,S,61,14:37,13.3,68,2,S,26,1010.9,21.2,28,,SW,24,1011.7
