"Daily Weather Observations for Ballarat, Victoria for January 2020"
"Prepared at 16:01 UTC on Friday  7 August 2020   IDCJDW3005.202001"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-01-1,7.4,25.9,0.2,,,WSW,41,14:50,14.1,62,,S,17,1016.2,24.7,28,,WSW,19,1015.2
,2020-01-2,8.6,27.2,0,,,ESE,39,22:44,17.2,59,,SE,17,1018.9,25.0,27,,S,17,1017.4
,2020-01-3,10.9,34.9,0,,,N,43,14:49,17.1,71,,SE,24,1015.3,32.7,10,,NNE,17,1009.3
,2020-01-4,17.1,24.4,0,,,S,56,15:45,22.9,56,,S,19,1009.1,20.0,55,5,SSW,28,1012.6
,2020-01-5,9.2,14.1,1.8,,,SSE,57,23:28,9.2,98,8,SSE,33,1020.8,13.4,70,4,SE,33,1021.3
,2020-01-6,9.2,18.6,1.2,,,SE,54,23:02,13.3,88,4,SE,26,1018.1,18.0,65,8,S,24,1017.7
,2020-01-7,12.8,21.7,0.2,,,SE,54,22:50,14.9,90,8,SE,20,1017.5,19.1,69,8,S,31,1016.2
,2020-01-8,12.9,26.6,0,,,SE,52,23:42,16.9,75,,SE,39,1016.9,25.7,28,,SE,33,1016.4
,2020-01-9,14.5,33.0,0,,,SE,46,03:04,18.3,80,,ESE,19,1015.4,30.3,26,3,N,13,1011.8
,2020-01-10,18.1,29.0,0,,,WNW,72,12:21,24.6,51,1,N,31,1006.5,16.0,99,8,SW,39,1007.7
,2020-01-11,10.0,18.9,9.6,,,S,50,15:57,11.0,79,8,SSW,22,1017.0,16.8,50,6,SSW,26,1018.3
,2020-01-12,9.0,22.1,0.6,,,SSE,56,13:17,11.4,99,8,SSE,24,1020.4,19.7,49,,SE,30,1017.8
,2020-01-13,9.0,29.9,0,,,ESE,56,23:45,19.0,58,8,NNE,31,1015.2,27.9,31,8,NNE,24,1013.2
,2020-01-14,15.7,34.1,0,,,ESE,44,19:06,24.9,41,,SE,6,1015.5,32.6,21,1,NNE,19,1012.3
,2020-01-15,20.8,35.1,0,,,W,59,14:30,27.6,32,8,NNE,30,1008.8,28.0,41,6,SSW,20,1005.3
,2020-01-16,12.1,20.5,7.0,,,SSE,54,17:07,13.8,89,8,S,26,1011.3,17.1,60,8,S,30,1011.4
,2020-01-17,7.6,17.1,0,,,SE,59,21:51,11.2,87,8,S,28,1011.9,15.6,84,8,SE,35,1010.5
,2020-01-18,10.9,28.1,0,,,SE,54,00:03,16.2,82,,SE,19,1009.6,26.3,30,,NNE,13,1005.9
,2020-01-19,13.1,29.7,0,,,SE,57,18:22,15.5,100,4,SSE,11,1006.1,28.3,15,8,SW,9,1002.8
,2020-01-20,15.4,19.5,20.6,,,SSE,48,11:28,17.5,98,4,S,20,1004.5,16.8,98,8,S,35,1004.3
,2020-01-21,10.6,24.3,6.0,,,SSW,35,01:55,12.6,78,6,SSW,15,1010.1,21.1,33,,W,19,1007.9
,2020-01-22,11.8,29.4,0,,,N,83,13:07,21.7,40,5,N,39,1002.4,28.5,25,2,N,52,997.2
,2020-01-23,10.2,18.7,22.0,,,WNW,63,12:37,11.4,100,8,NNW,24,996.0,18.1,48,6,NW,43,998.2
,2020-01-24,5.9,20.5,0.8,,,WNW,37,09:22,12.0,78,,NNW,13,1010.6,18.1,51,8,WNW,24,1011.9
,2020-01-25,8.3,26.5,0,,,NW,39,15:41,16.9,69,,WNW,13,1014.5,24.9,43,,WNW,15,1012.8
,2020-01-26,11.4,24.2,0,,,WSW,35,12:22,16.6,100,,S,4,1013.6,21.9,55,2,WSW,19,1014.0
,2020-01-27,9.9,25.4,0,,,S,37,18:27,12.3,100,7,SSW,13,1014.5,24.4,34,,S,19,1013.8
,2020-01-28,10.0,27.1,0,,,WSW,35,15:03,16.7,66,,S,17,1014.8,25.5,35,,SSW,15,1014.5
,2020-01-29,12.1,32.6,0,,,ESE,33,19:12,14.5,100,1,S,7,1017.4,30.3,20,,SSW,7,1015.6
,2020-01-30,13.1,37.2,0,,,N,52,12:37,26.7,24,,N,20,1013.5,34.9,9,,N,22,1010.7
,2020-01-31,18.7,39.4,0,,,NNW,93,13:06,30.6,20,7,NNE,28,1009.3,35.4,35,8,N,15,1005.7
