"Daily Weather Observations for Ballarat, Victoria for February 2020"
"Prepared at 13:01 UTC on Thursday 20 August 2020   IDCJDW3005.202002"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-02-1,21.9,25.4,14.0,,,NNW,48,09:03,22.5,100,8,N,19,1008.2,18.3,100,8,SW,13,1008.8
,2020-02-2,10.5,22.3,8.8,,,W,50,13:14,13.8,78,4,WNW,17,1011.8,20.9,50,6,W,31,1010.4
,2020-02-3,9.1,16.6,0.2,,,SSW,54,11:42,10.1,99,8,SSW,24,1012.4,14.2,43,5,SSW,28,1015.5
,2020-02-4,5.6,19.8,0.2,,,SSE,48,13:36,11.3,64,,SSE,28,1021.0,18.8,39,,SSE,26,1019.2
,2020-02-5,9.2,21.8,0,,,SE,54,21:04,12.8,74,,SE,33,1019.4,20.3,44,,SE,24,1017.8
,2020-02-6,11.1,28.9,0,,,SE,56,23:59,15.2,88,,SSE,19,1019.3,28.4,40,1,NNW,20,1017.8
,2020-02-7,14.8,27.4,0,,,SE,48,22:11,21.5,59,,ESE,15,1021.7,26.4,50,1,SE,24,1020.2
,2020-02-8,16.7,26.6,0,,,SE,57,15:30,18.7,86,8,SE,31,1021.9,25.4,47,,SE,35,1019.1
,2020-02-9,16.0,25.4,0,,,SE,54,20:44,17.7,85,7,SE,26,1018.4,24.8,46,4,E,17,1014.8
,2020-02-10,15.6,22.7,0,,,ESE,43,23:05,17.0,99,8,SE,28,1010.8,21.7,69,8,ESE,17,1008.9
,2020-02-11,16.1,24.7,0.6,,,S,43,21:17,17.4,100,7,SW,6,1009.3,23.8,63,4,SW,17,1009.1
,2020-02-12,15.7,23.0,1.4,,,SE,54,22:50,16.6,100,7,SSE,24,1013.0,20.6,97,8,SSE,28,1013.6
,2020-02-13,16.6,29.9,0,,,SE,57,23:59,19.0,99,3,ESE,26,1012.6,29.5,53,,S,11,1009.7
,2020-02-14,17.5,29.5,0,,,SW,56,16:32,24.1,75,4,NNE,28,1008.0,22.8,84,8,ENE,17,1005.7
,2020-02-15,15.8,18.9,9.6,,,S,41,20:52,16.3,100,8,SSW,19,1010.2,17.8,92,8,S,26,1011.1
,2020-02-16,12.2,22.2,0.4,,,SE,50,06:53,14.4,100,8,SE,33,1013.0,20.9,74,,SE,31,1012.2
,2020-02-17,12.6,28.0,0,,,SE,44,23:15,16.4,90,,SSE,13,1011.8,26.6,50,4,SSW,11,1009.7
,2020-02-18,15.8,22.3,1.4,,,W,70,15:42,18.1,99,8,SW,13,1006.3,20.2,69,8,W,20,1004.2
,2020-02-19,11.0,18.0,4.6,,,S,56,10:26,12.3,89,8,SSW,28,1010.2,17.5,62,8,SSW,30,1011.3
,2020-02-20,9.7,18.1,0,,,S,41,13:12,11.0,79,7,SSW,22,1014.9,16.6,58,7,SSE,22,1015.0
,2020-02-21,9.4,18.0,0,,,S,48,13:24,11.9,98,7,S,26,1018.5,16.6,69,7,SSE,28,1019.5
,2020-02-22,9.3,22.4,0,,,SE,46,08:01,12.9,72,,SE,33,1021.7,21.4,42,,SSE,26,1020.5
,2020-02-23,7.7,31.6,0,,,NW,52,14:41,18.0,69,,NE,4,1019.6,30.2,28,,NNW,31,1016.4
,2020-02-24,13.2,28.9,0,,,N,43,09:07,20.9,69,7,N,28,1018.3,25.5,54,8,N,20,1017.1
,2020-02-25,16.8,29.8,3.8,,,NW,56,12:26,20.5,74,8,N,24,1012.4,27.7,40,8,WNW,30,1009.1
,2020-02-26,11.4,17.8,0,,,SW,50,08:24,13.0,84,8,W,31,1007.5,16.7,37,2,S,28,1010.7
,2020-02-27,3.6,16.5,0.6,,,,,12:53,8.8,98,8,WNW,7,1012.3,14.9,58,,W,26,1011.1
,2020-02-28,8.7,17.6,0,,,WSW,43,23:10,11.8,100,,SW,15,1014.6,16.8,69,8,SW,15,1014.8
,2020-02-29,9.9,23.9,0,,,SSE,28,19:34,11.6,100,8,SW,11,1015.7,22.4,47,,SE,11,1013.4
