"Daily Weather Observations for Ballarat, Victoria for March 2020"
"Prepared at 13:01 UTC on Wednesday 19 August 2020   IDCJDW3005.202003"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-03-1,9.8,31.3,0,,,WNW,61,20:04,17.1,71,7,N,24,1009.6,29.4,25,8,NNW,35,1005.9
,2020-03-2,8.9,18.0,2.8,,,S,50,09:36,10.2,91,2,S,31,1014.2,16.2,51,3,SSE,26,1016.1
,2020-03-3,9.0,19.1,0,,,SSE,52,09:04,10.8,81,8,SSE,31,1020.3,17.5,57,,SSE,33,1018.3
,2020-03-4,10.7,21.7,0,,,SE,46,23:06,13.9,87,2,SSE,7,1015.4,20.9,50,8,NNE,11,1012.2
,2020-03-5,13.8,18.9,16.8,,,SSE,31,03:05,14.9,100,8,SSW,17,1004.1,16.4,100,7,SSW,20,1005.4
,2020-03-6,12.1,17.3,0.4,,,SSW,41,16:13,12.6,98,8,S,19,1014.4,16.1,69,8,SW,24,1016.7
,2020-03-7,9.3,18.8,0,,,S,52,13:28,11.4,89,6,S,26,1022.2,17.7,60,4,S,28,1022.1
,2020-03-8,11.3,19.3,0,,,SE,52,08:00,12.9,84,8,SE,37,1020.7,17.8,61,4,SE,33,1019.3
,2020-03-9,10.0,19.0,0,,,ESE,50,09:22,12.4,85,1,SE,31,1022.0,18.4,49,1,SE,30,1020.8
,2020-03-10,8.9,25.2,0,,,SE,37,01:20,11.6,98,,SE,22,1020.7,23.1,32,,SW,9,1018.7
,2020-03-11,11.1,28.2,0,,,N,43,11:52,17.9,69,,NNE,19,1020.4,27.1,35,8,N,20,1019.3
,2020-03-12,16.2,28.5,0,,,N,57,10:58,20.4,44,2,NNE,24,1021.0,25.9,29,,N,33,1018.7
,2020-03-13,17.2,28.0,0,,,S,61,19:20,20.4,43,4,N,30,1014.6,22.1,60,8,SW,35,1012.6
,2020-03-14,6.7,16.3,0,,,SSE,63,10:26,9.7,68,2,S,33,1022.5,15.0,47,5,SSE,39,1022.2
,2020-03-15,8.8,16.6,0,,,SSE,43,10:46,9.8,100,7,SSE,26,1024.3,14.9,70,8,SE,24,1023.8
,2020-03-16,9.3,24.2,0,,,ESE,46,02:25,13.2,73,,ESE,9,1025.5,22.8,31,,N,22,1024.2
,2020-03-17,8.3,27.2,0,,,NNE,48,09:47,16.3,63,,N,19,1025.7,25.7,34,1,NNW,28,1023.2
,2020-03-18,15.9,29.2,0,,,N,52,09:31,19.1,48,,N,28,1022.5,27.8,28,8,NNW,33,1019.8
,2020-03-19,17.4,30.9,0,,,NNW,63,15:37,22.4,37,8,N,20,1019.7,29.6,23,8,NNW,46,1015.8
,2020-03-20,8.6,20.2,0,,,W,54,14:03,12.6,93,7,WNW,20,1016.4,18.2,63,8,W,33,1016.5
,2020-03-21,7.6,19.9,0.2,,,S,31,01:01,9.8,99,8,S,17,1021.9,17.6,45,8,SSE,9,1020.3
,2020-03-22,7.1,18.0,0,,,S,44,13:21,11.2,100,8,SW,17,1022.7,17.0,48,5,S,28,1024.0
,2020-03-23,5.8,17.0,0.2,,,S,46,09:45,9.8,94,8,S,22,1027.5,16.3,49,4,SSE,26,1025.7
,2020-03-24,8.6,17.9,0,,,SE,39,09:27,9.9,77,8,SSE,19,1023.2,17.0,48,,S,19,1020.9
,2020-03-25,6.1,16.9,0,,,S,50,09:59,9.7,99,8,S,20,1023.1,14.9,50,4,S,35,1023.7
,2020-03-26,9.2,19.2,0,,,SE,54,09:30,11.8,89,6,SE,30,1025.8,18.0,53,,ESE,24,1024.7
,2020-03-27,7.1,25.5,0,,,NNE,39,09:34,15.8,80,3,NNE,13,1024.8,23.6,40,,N,20,1022.4
,2020-03-28,12.6,26.3,0,,,N,56,13:04,17.4,59,,NNE,26,1020.5,25.8,39,4,N,39,1017.2
,2020-03-29,16.5,22.8,0,,,N,57,09:41,18.0,57,7,NNE,31,1012.1,16.7,98,8,N,19,1009.1
,2020-03-30,9.5,20.2,6.6,,,W,39,13:29,11.7,100,,WSW,13,1012.7,19.3,47,6,W,15,1012.8
,2020-03-31,6.2,21.3,0.2,,,WSW,26,10:45,11.4,100,, ,Calm,1017.8,19.3,44,3,WSW,9,1016.3
