"Daily Weather Observations for Ballarat, Victoria for April 2020"
"Prepared at 13:01 UTC on Tuesday 18 August 2020   IDCJDW3005.202004"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-04-1,6.6,22.4,0,,,NNE,33,12:08,12.4,98,, ,Calm,1018.1,21.3,39,5,NNW,17,1015.3
,2020-04-2,12.4,14.6,18.6,,,E,48,02:10,13.6,100,8,SE,17,1008.6,14.1,100,,SSW,15,1006.7
,2020-04-3,10.5,20.8,4.2,,,NNE,63,14:38,13.0,100,,N,22,1005.9,20.5,64,7,NNE,39,1001.3
,2020-04-4,9.2,12.6,30.6,,,W,65,12:41,9.3,100,7,WSW,28,999.1,8.0,99,8,W,22,1001.5
,2020-04-5,4.7,14.4,5.0,,,,,,9.9,99,,NNW,41,1007.1,12.4,99,8,W,35,1008.7
,2020-04-6,6.9,12.5,5.4,,,S,26,13:15,8.6,99,5,SSW,9,1021.3,12.1,64,8,SSW,13,1021.5
,2020-04-7,6.3,12.7,0,,,S,30,11:10,10.2,85,8,S,19,1024.3,11.3,77,8,S,19,1022.4
,2020-04-8,8.6,16.3,0,,,SE,48,19:46,10.0,100,7,SSE,28,1024.2,13.6,76,7,SSE,28,1023.6
,2020-04-9,8.2,21.6,0,,,SE,41,00:30,14.8,69,,SSE,9,1026.7,19.7,52,8,ESE,7,1023.1
,2020-04-10,8.9,19.4,0.2,,,NNW,46,23:49,13.1,100,7,N,22,1016.8,18.3,61,8,NW,22,1011.8
,2020-04-11,8.8,12.3,6.0,,,W,69,03:54,9.9,83,8,WSW,31,1007.9,11.0,65,8,SW,35,1010.4
,2020-04-12,7.6,11.5,1.2,,,SW,33,00:02,9.6,79,8,SSW,15,1020.2,11.0,72,8,SW,13,1019.8
,2020-04-13,8.3,18.0,0,,,WNW,24,11:18,10.7,78,8,ENE,4,1021.1,17.8,52,,W,11,1019.7
,2020-04-14,9.0,20.4,0,,,N,41,12:05,13.6,69,8,N,22,1024.7,19.5,47,8,N,20,1022.7
,2020-04-15,11.1,21.9,0,,,N,50,10:54,15.6,66,,N,35,1021.2,19.3,52,7,N,35,1015.0
,2020-04-16,9.5,17.7,0,,,WSW,50,13:10,13.8,89,8,WSW,17,1010.8,14.8,74,8,SW,19,1011.1
,2020-04-17,4.9,15.8,0,,,WSW,46,11:24,10.1,100,8,W,24,1015.4,14.6,65,8,W,20,1014.5
,2020-04-18,9.2,12.9,0.2,,,W,30,12:16,9.9,87,8,WSW,20,1016.2,12.6,63,8,W,17,1014.4
,2020-04-19,5.9,16.0,0,,,N,59,22:44,9.8,96,8, ,Calm,1015.6,14.5,56,8,NNE,24,1011.4
,2020-04-20,9.7,17.6,1.8,,,N,67,04:14,12.9,79,7,N,30,1007.7,17.3,43,4,W,22,1011.6
,2020-04-21,2.6,16.6,0.2,,,NW,43,14:38,9.9,96,8,N,17,1016.4,15.8,52,8,NW,30,1014.5
,2020-04-22,5.1,15.7,0,,,W,31,10:04,10.6,100,7,W,17,1020.5,15.0,61,7,WNW,13,1019.2
,2020-04-23,4.1,16.1,0,,,N,50,11:20,10.9,89,8,N,22,1018.2,15.7,66,8,N,30,1014.5
,2020-04-24,9.1,19.3,0,,,WNW,33,10:59,12.0,99,6,W,19,1018.8,18.5,52,,W,15,1018.4
,2020-04-25,6.2,18.9,0,,,N,50,12:55,12.3,90,4,NNE,24,1019.0,17.6,63,2,N,30,1015.0
,2020-04-26,11.9,15.2,15.2,,,WNW,57,08:37,12.2,100,8,WSW,22,1014.3,14.0,62,7,SW,20,1016.7
,2020-04-27,0.7,14.4,0.4,,,WNW,24,10:00,8.5,100,,NNW,7,1024.6,13.2,63,4,NNW,15,1022.4
,2020-04-28,3.3,13.5,0.2,,,N,54,11:07,9.3,98,,N,20,1019.3,13.0,80,7,N,26,1014.0
,2020-04-29,9.3,13.7,1.0,,,W,65,10:46,12.9,100,8,N,22,1005.4,8.4,100,8,SW,13,1005.2
,2020-04-30,1.6,11.0,13.8,,,WNW,69,19:19,6.2,100,7,WSW,9,1007.0,7.1,99,8,WSW,22,1005.4
