"Daily Weather Observations for Ballarat, Victoria for May 2020"
"Prepared at 13:01 UTC on Monday 17 August 2020   IDCJDW3005.202005"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-05-1,4.8,8.1,14.2,,,W,69,19:32,5.3,99,8,W,31,1002.3,7.2,98,7,WSW,37,1001.4
,2020-05-2,5.1,10.2,5.4,,,WSW,57,05:55,6.5,100,8,WSW,28,1006.9,9.4,88,8,WSW,35,1009.3
,2020-05-3,5.4,10.6,0.8,,,SSW,33,10:20,7.7,91,8,SSW,19,1023.7,9.8,75,8,WSW,17,1024.6
,2020-05-4,6.7,11.5,0.6,,,SSE,31,12:16,7.6,100,8,S,20,1029.5,11.1,87,8,SSE,15,1028.4
,2020-05-5,1.4,15.4,0,,,N,43,13:39,10.5,90,,NNE,20,1030.5,14.8,75,1,N,26,1027.7
,2020-05-6,8.7,15.8,0,,,NNE,57,23:16,10.6,98,6,N,35,1026.1,14.2,77,6,N,31,1022.0
,2020-05-7,10.5,17.5,0,,,NNE,65,10:43,13.0,73,7,NNE,43,1014.1,17.4,63,8,N,41,1008.7
,2020-05-8,7.2,15.9,0,,,NNW,48,15:01,9.6,100,8,N,22,1013.8,14.2,75,8,N,31,1011.5
,2020-05-9,7.3,10.9,8.6,,,W,61,13:06,7.6,100,8,NE,7,1007.3,10.0,72,5,W,26,1010.4
,2020-05-10,1.8,11.6,6.2,,,W,37,15:01,5.6,98,4,W,9,1023.7,10.6,75,8,W,20,1024.0
,2020-05-11,2.1,14.4,1.2,,,N,30,15:05,8.5,100,,N,11,1028.7,12.3,76,8,NNW,20,1026.9
,2020-05-12,6.3,13.4,0.2,,,N,46,13:38,8.3,93,8,N,26,1024.4,12.6,67,8,N,33,1020.2
,2020-05-13,6.1,11.8,3.2,,,S,35,12:59,7.4,100,8,S,11,1025.3,10.1,72,6,SW,19,1025.7
,2020-05-14,-1.2,11.6,0.4,,,SSE,31,11:34,6.4,98,,S,11,1030.2,9.8,67,1,S,19,1029.2
,2020-05-15,-0.8,13.9,0,,,SE,22,10:43,6.9,98,,SSE,9,1031.6,13.1,56,,NNE,6,1028.7
,2020-05-16,0.4,13.8,0.2,,,N,35,09:17,7.9,98,,N,24,1030.7,13.3,63,,N,22,1029.2
,2020-05-17,-0.3,16.0,0,,,ESE,15,20:35,7.7,100,,SE,4,1032.7,15.5,43,, ,Calm,1030.4
,2020-05-18,-0.2,15.2,0,,,N,43,11:27,8.4,99,,NNW,11,1031.0,14.0,71,2,N,24,1027.7
,2020-05-19,5.4,15.4,0,,,N,56,14:53,11.2,89,7,N,26,1023.9,12.9,83,8,N,46,1018.7
,2020-05-20,6.0,11.9,13.4,,,NNW,98,00:27,7.8,100,8,W,26,1014.1,11.1,61,2,NNW,28,1012.2
,2020-05-21,5.5,10.4,6.4,,,SSW,43,10:46,6.7,98,8,SSW,20,1017.4,8.4,82,8,SSW,19,1018.2
,2020-05-22,5.6,10.6,0,,,SSE,24,14:54,7.0,99,7,SW,7,1021.8,9.5,90,7,SSE,19,1018.9
,2020-05-23,5.5,11.8,0,,,S,39,11:56,8.9,100,8,SSW,15,1018.8,10.6,98,8,SSW,22,1017.0
,2020-05-24,6.8,10.7,1.6,,,SSE,46,11:14,7.4,100,8,S,31,1022.0,9.1,79,8,S,28,1022.4
,2020-05-25,4.4,12.8,0.2,,,ESE,50,11:11,8.2,91,,ESE,30,1024.5,12.4,64,,ESE,22,1023.8
,2020-05-26,-0.5,14.1,0.4,,,NNE,43,21:54,8.2,95,,NNE,17,1024.8,13.5,66,,N,24,1021.9
,2020-05-27,8.0,13.8,0,,,NNE,43,02:47,8.2,99,8,N,17,1020.7,12.3,72,4,N,26,1018.2
,2020-05-28,4.0,13.0,0,,,N,31,12:13,8.2,100,8,N,13,1022.3,12.8,78,8,NW,17,1022.1
,2020-05-29,3.7,13.5,0,,,N,44,21:07,7.8,100,8,N,17,1027.1,13.5,82,8,N,30,1024.8
,2020-05-30,6.1,13.4,0.2,,,N,74,14:52,7.2,99,6,N,37,1022.2,13.2,68,1,N,54,1013.9
,2020-05-31,5.9,13.1,0.2,,,N,57,00:49,9.0,100,,N,15,1013.1,10.7,80,8,NNW,30,1010.3
