"Daily Weather Observations for Ballarat, Victoria for June 2020"
"Prepared at 16:01 UTC on Sunday 16 August 2020   IDCJDW3005.202006"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-06-1,4.4,7.3,7.0,,,N,54,01:23,4.9,99,8,W,31,1005.9,5.6,100,8,WSW,30,1010.4
,2020-06-2,4.2,10.9,5.4,,,W,41,14:15,7.2,100,8,W,17,1020.4,10.0,99,8,W,22,1020.0
,2020-06-3,6.8,10.7,1.0,,,SSE,46,11:28,7.0,98,8,S,19,1029.8,10.0,69,1,S,28,1031.5
,2020-06-4,1.0,13.0,0.2,,,SE,30,10:03,5.1,99,,S,9,1035.0,12.7,55,,SSE,9,1032.3
,2020-06-5,0.4,11.7,0.2,,,NW,20,12:22,4.2,100,,N,4,1031.3,11.4,67,2,W,13,1028.9
,2020-06-6,-1.3,10.9,0,,,SSE,31,21:39,6.2,100,8, ,Calm,1027.1,10.2,76,8,SSW,6,1024.5
,2020-06-7,4.5,8.7,0.8,,,SE,33,13:59,5.3,98,8,S,15,1027.0,8.2,73,8,SSE,22,1025.8
,2020-06-8,1.2,9.8,0.2,,,S,26,10:21,3.7,100,7,S,13,1031.7,9.1,74,1,SSE,19,1031.3
,2020-06-9,-3.5,10.0,0,,,N,35,11:14,2.8,100,,N,6,1033.3,9.4,76,4,N,20,1030.9
,2020-06-10,1.1,12.5,0.2,,,N,33,10:05,4.7,100,8,NNW,15,1028.9,12.3,66,,NNW,13,1025.5
,2020-06-11,-2.4,13.7,0,,,NW,17,14:56,3.6,100,4,ESE,6,1026.6,13.5,45,,WNW,13,1025.2
,2020-06-12,-0.3,11.0,0,,,NNE,52,23:02,6.3,100,,NE,11,1025.4,10.4,70,,N,24,1021.9
,2020-06-13,4.9,13.3,0,,,NNE,59,00:03,9.6,98,8,NNE,31,1016.1,12.7,78,6,NNE,37,1009.8
,2020-06-14,3.8,11.5,1.8,,,NNW,48,13:09,6.7,99,1,N,17,1014.3,10.6,89,8,NNW,31,1013.6
,2020-06-15,6.6,13.5,2.6,,,NNW,46,14:03,11.0,100,8,NNW,22,1018.9,12.7,98,8,NNW,30,1018.2
,2020-06-16,9.1,13.6,0,,,WNW,48,12:36,10.6,100,8,N,26,1020.8,11.5,86,8,W,31,1022.3
,2020-06-17,4.5,9.9,1.6,,,SSE,17,03:18,7.3,100,7, ,Calm,1034.1,9.2,66,8,E,6,1033.7
,2020-06-18,0.2,12.5,0,,,N,54,12:10,3.7,99,4,NNW,19,1035.1,12.0,84,1,N,37,1029.9
,2020-06-19,3.7,13.1,0,,,N,65,12:03,9.3,100,7,N,31,1024.5,12.1,96,8,N,37,1020.0
,2020-06-20,7.8,9.6,5.6,,,N,46,00:29,8.0,100,7,N,24,1016.3,8.8,98,7,N,28,1014.7
,2020-06-21,5.0,8.6,4.6,,,NNW,26,00:03,6.8,100,8,N,7,1011.0,7.8,98,7,SSW,9,1010.3
,2020-06-22,3.4,10.1,1.4,,,WNW,37,23:17,5.7,100,8,NW,2,1011.8,8.7,98,8,WSW,19,1010.5
,2020-06-23,5.6,13.3,6.0,,,S,33,13:07,8.5,100,7,SSE,17,1014.4,11.9,79,6,S,22,1016.2
,2020-06-24,6.1,13.0,0,,,SSE,22,10:29,8.3,100,8,SW,9,1020.1,12.0,82,8,E,9,1018.4
,2020-06-25,4.3,11.8,0,,,N,35,11:56,7.7,100,5,N,20,1019.9,11.5,85,8,NNW,24,1019.6
,2020-06-26,-0.3,9.9,0.4,,,WNW,20,12:20,3.7,100,8, ,Calm,1027.1,8.9,80,8,WSW,15,1026.5
,2020-06-27,1.7,11.2,0.2,,,WSW,17,12:51,5.0,100,8,ENE,4,1029.5,10.3,60,7,S,6,1027.9
,2020-06-28,-2.2,11.5,0,,,SSE,22,13:20,2.1,100,,ESE,6,1030.2,11.1,57,,S,13,1028.2
,2020-06-29,-2.1,11.2,0,,,NNE,44,23:49,2.7,99,,N,9,1028.2,10.2,64,,N,24,1024.9
,2020-06-30,2.7,9.5,0,,,N,61,13:16,5.2,99,7,N,28,1019.8,8.9,77,8,N,39,1015.3
