"Daily Weather Observations for Ballarat, Victoria for July 2020"
"Prepared at 13:01 UTC on Friday 21 August 2020   IDCJDW3005.202007"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-07-1,4.5,12.9,0.2,,,NNW,57,23:22,7.8,98,1,NNE,20,1015.5,12.3,66,,N,35,1010.2
,2020-07-2,5.1,10.9,2.2,,,WNW,43,12:51,6.2,100,3,N,19,1012.7,9.1,72,1,NW,24,1014.5
,2020-07-3,2.5,7.0,0.2,,,WNW,52,13:06,4.6,100,8,N,22,1018.5,5.2,99,8,SSW,24,1018.8
,2020-07-4,1.7,10.5,4.8,,,SW,37,13:32,6.2,100,8,WSW,13,1025.3,10.2,98,8,WSW,20,1024.4
,2020-07-5,6.2,10.5,4.0,,,SSW,31,13:19,6.8,99,8,SW,15,1028.1,9.6,98,8,SSW,15,1027.8
,2020-07-6,4.0,10.5,1.0,,,SW,28,13:26,7.3,100,7,SSW,9,1032.3,9.3,91,8,SSW,17,1031.3
,2020-07-7,5.9,10.7,0.4,,,ESE,28,19:57,6.4,100,8,S,17,1032.8,9.9,87,8,SSE,19,1030.8
,2020-07-8,-0.4,11.3,0,,,N,28,13:12,2.8,100,8,NE,6,1030.4,10.8,78,2,N,17,1027.7
,2020-07-9,1.2,10.9,0.2,,,N,44,05:40,7.0,100,8,N,28,1027.9,10.0,98,8,N,26,1025.8
,2020-07-10,2.7,11.8,0.4,,,N,28,11:40,4.5,100,7,N,13,1024.4,11.5,96,6,NNE,15,1021.0
,2020-07-11,4.5,10.2,0.2,,,N,24,10:50,8.7,100,8,ESE,6,1017.2,9.7,93,8,NE,11,1014.9
,2020-07-12,6.7,11.1,18.2,,,SE,46,13:03,7.4,98,6,SE,26,1018.7,10.7,81,8,SSE,31,1019.7
,2020-07-13,7.0,12.9,0,,,SE,54,11:38,8.9,97,8,SE,30,1026.1,11.2,84,8,SSE,24,1025.8
,2020-07-14,7.2,10.5,0,,,SE,57,10:39,8.0,98,8,SE,24,1029.4,8.9,72,4,SE,30,1027.3
,2020-07-15,6.1,11.7,0,,,ESE,48,05:37,6.4,98,8,ESE,28,1025.0,10.4,72,,SSE,22,1022.7
,2020-07-16,-0.9,11.3,0.4,,,SE,33,10:50,5.3,100,,S,13,1024.5,9.5,71,4,SE,24,1023.6
,2020-07-17,-2.7,11.1,0,,,NNE,33,22:20,0.1,100,8,ENE,6,1024.7,10.3,67,,N,17,1021.5
,2020-07-18,0.1,7.7,0,,,N,57,13:58,5.0,99,,N,33,1018.8,7.2,96,8,N,33,1014.8
,2020-07-19,4.3,10.2,0,,,WNW,63,16:26,5.9,84,2,N,24,1012.7,9.1,98,8,NW,30,1008.8
,2020-07-20,3.6,9.7,3.2,,,WSW,39,12:09,5.1,100,8,WNW,11,1023.0,8.2,93,8,WSW,20,1024.2
,2020-07-21,5.1,9.3,2.2,,,SSW,28,00:32,6.1,100,8,SSW,15,1030.9,8.2,98,8,SSW,17,1030.3
,2020-07-22,5.8,9.4,0.8,,,SSW,26,12:14,6.4,100,7,WSW,11,1030.0,8.5,91,8,SW,13,1028.0
,2020-07-23,5.1,7.1,0,,,S,24,10:34,6.3,73,8,SSW,9,1028.3,6.8,70,8,SW,6,1026.1
,2020-07-24,-0.5,9.3,0.2,,,NNE,41,15:41,3.4,98,,N,20,1026.2,8.8,78,,N,26,1023.2
,2020-07-25,1.7,13.3,0,,,ESE,35,23:09,5.9,97,5, ,Calm,1026.2,13.1,55,,SSE,7,1024.2
,2020-07-26,4.0,13.4,0.2,,,ESE,35,04:52,6.2,99,3,SSE,19,1022.9,12.5,74,,S,15,1019.1
,2020-07-27,3.3,10.7,0,,,S,56,15:59,7.6,100,8,S,24,1019.4,8.7,99,8,S,28,1019.4
,2020-07-28,6.7,11.5,2.4,,,SE,44,10:49,7.4,100,8,SSE,22,1021.7,10.7,82,7,ESE,24,1019.6
,2020-07-29,4.8,13.4,0,,,WSW,26,16:33,5.7,100,8,SW,4,1019.4,13.1,54,,W,11,1019.1
,2020-07-30,2.7,11.8,0.6,,,S,20,11:40,4.0,100,8, ,Calm,1028.4,11.7,60,,SW,11,1027.5
,2020-07-31,-1.4,12.6,0,,,N,28,12:56,3.9,100,, ,Calm,1029.1,11.9,64,,N,15,1026.3
