"Daily Weather Observations for Ballarat, Victoria for August 2020"
"Prepared at 05:36 UTC on Sunday 23 August 2020   IDCJDW3005.202008"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-08-1,3.9,13.1,0,,,NNE,43,11:18,7.0,91,3,NNE,28,1025.0,12.7,68,,N,30,1022.2
,2020-08-2,4.5,13.5,0,,,N,37,09:21,6.6,98,,N,28,1024.3,12.3,72,1,N,24,1021.7
,2020-08-3,1.4,11.1,0.2,,,WSW,35,17:37,5.8,100,3,WNW,13,1018.4,9.8,80,7,WNW,20,1014.4
,2020-08-4,0.0,7.3,2.6,,,SSW,61,15:39,1.1,100,7,W,20,1014.0,5.9,99,6,SW,13,1014.0
,2020-08-5,-0.3,8.4,6.6,,,SW,37,13:29,3.0,99,8,W,9,1018.2,8.0,70,6,SW,20,1016.7
,2020-08-6,0.8,10.2,1.4,,,SE,54,22:24,3.2,100,7,SSW,7,1021.8,9.1,78,5,SSE,22,1020.3
,2020-08-7,3.2,7.7,0.2,,,SE,50,12:50,4.1,93,4,SE,26,1018.7,7.5,89,8,SE,33,1015.4
,2020-08-8,4.1,11.8,1.4,,,ESE,48,00:06,7.6,99,5,SE,26,1015.6,10.9,89,8,ESE,24,1015.0
,2020-08-9,6.9,11.5,0,,,SE,57,04:53,7.2,98,7,SE,35,1018.9,10.1,82,8,SE,24,1019.3
,2020-08-10,5.3,14.8,0,,,SE,50,03:32,7.2,92,,SE,22,1023.1,14.0,46,,N,17,1020.0
,2020-08-11,1.6,9.3,0.2,,,NNE,52,19:20,6.5,95,,NNE,20,1018.1,9.2,78,8,N,31,1014.0
,2020-08-12,6.4,11.5,1.2,,,NNE,50,00:07,8.2,100,8,N,24,1010.5,10.7,99,8,NNE,26,1007.3
,2020-08-13,7.9,14.0,0.2,,,N,39,15:52,9.0,100,8,N,26,1011.7,13.0,97,8,N,26,1010.3
,2020-08-14,6.3,13.6,0.8,,,N,41,11:18,10.3,98,8,NNE,22,1012.7,12.7,87,6,N,28,1011.5
,2020-08-15,4.6,13.1,0.2,,,SSW,24,14:38,8.6,100,8,NNW,7,1014.3,12.3,86,6,SSW,17,1013.0
,2020-08-16,7.4,12.5,0.8,,,SW,39,12:38,8.3,100,7,SW,19,1015.0,11.6,89,8,SW,22,1012.5
,2020-08-17,5.1,12.4,0.6,,,NNW,43,13:33,5.8,100,8, ,Calm,1012.3,10.8,78,5,NNW,20,1007.6
,2020-08-18,5.7,13.2,0.6,,,N,61,15:04,8.1,100,6,N,24,1001.4,11.3,71,8,NNW,33,996.7
,2020-08-19,5.8,9.2,0.2,,,NW,57,01:29,6.8,100,8,N,17,990.3,8.2,99,8,SW,15,992.4
,2020-08-20,5.7,11.6,0.8,,,NW,50,15:04,6.5,99,8,W,28,1002.8,11.1,73,8,NW,33,1001.6
,2020-08-21,2.4,8.5,0,,,WSW,57,13:08,5.9,84,6,WNW,30,1002.1,6.3,87,8,WNW,33,1001.1
,2020-08-22,2.0,6.9,0,,,WSW,65,14:23,2.9,100,8,WSW,30,1003.9,4.7,99,8,WSW,35,1005.0
,2020-08-23,2.9,,0,,,,,,4.8,100,7,WSW,20,1013.6,7.1,88,7,SW,28,1014.6
