"Daily Weather Observations for Ballarat, Victoria for September 2020"
"Prepared at 13:01 UTC on Sunday 12 September 2021   IDCJDW3005.202009"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-09-1,-1.2,11.3,0,,,NNE,57,23:44,6.1,79,,N,20,1022.6,10.6,68,,NNE,39,1016.4
,2020-09-2,6.1,15.9,0.2,,,N,74,12:17,9.9,67,7,N,44,1011.8,15.0,59,6,N,37,1007.3
,2020-09-3,6.1,14.5,0,,,NW,70,13:20,9.6,81,,N,37,1010.0,12.4,64,7,NW,43,1009.6
,2020-09-4,1.8,13.1,1.0,,,NNW,43,13:13,6.4,94,8,NNE,20,1017.6,11.4,71,7,NNW,24,1015.1
,2020-09-5,5.1,14.0,1.4,,,NNW,30,01:12,8.0,93,7,WSW,15,1019.4,12.9,55,3,W,17,1020.1
,2020-09-6,2.2,16.0,0.2,,,N,50,10:56,9.2,75,,N,24,1025.5,15.1,62,4,N,31,1023.2
,2020-09-7,6.1,18.9,0,,,NNE,78,19:37,10.5,71,,N,33,1024.4,18.5,49,,NNE,50,1020.1
,2020-09-8,10.4,13.9,0,,,NNE,69,00:57,13.6,69,8,NNE,33,1022.6,13.6,80,8,WSW,13,1023.6
,2020-09-9,4.6,13.5,0.6,,,SE,52,09:12,8.7,73,1,SE,39,1029.9,12.6,57,,SE,28,1027.3
,2020-09-10,4.1,17.5,0,,,SE,56,01:03,11.7,73,,NNE,26,1027.3,16.7,65,1,N,28,1024.6
,2020-09-11,6.6,15.3,0,,,N,65,09:27,10.5,74,2,N,48,1026.9,14.0,68,8,N,35,1024.9
,2020-09-12,9.3,11.3,2.2,,,NNE,46,01:48,9.7,92,8,NNE,9,1025.8,11.0,92,7,N,17,1020.6
,2020-09-13,7.4,13.5,26.2,,,W,33,16:03,8.4,85,8,WSW,13,1022.9,13.0,65,,W,22,1022.4
,2020-09-14,6.2,13.9,0.2,,,WSW,35,09:15,9.3,80,7,SW,20,1028.4,13.5,61,,WSW,19,1028.2
,2020-09-15,4.5,15.8,0,,,W,20,14:20,7.9,85,7,SSW,11,1030.3,15.1,60,,NW,13,1027.0
,2020-09-16,5.0,18.5,0,,,N,41,09:08,11.1,79,1,N,30,1021.1,17.1,62,8,NNW,19,1017.2
,2020-09-17,9.0,12.6,0.6,,,SSE,46,12:56,10.8,88,8,SSE,28,1024.2,10.8,85,8,SE,28,1024.9
,2020-09-18,7.9,19.4,0,,,SE,41,00:21,10.7,88,8,SE,15,1028.0,18.3,75,8,SE,6,1024.8
,2020-09-19,10.7,21.7,0.4,,,NNE,56,09:13,17.3,69,2,NNE,37,1020.3,20.4,60,8,NE,31,1014.2
,2020-09-20,11.9,15.9,1.8,,,NNE,63,02:35,12.8,92,8,N,30,1007.7,14.3,92,8,NNE,30,1005.8
,2020-09-21,9.9,16.6,4.0,,,NNW,61,14:12,11.6,75,8,N,24,1006.4,16.5,45,,NNW,39,1002.8
,2020-09-22,7.6,13.9,0,,,WNW,70,15:23,10.0,83,8,NNW,35,1006.1,12.8,70,8,NW,37,1005.6
,2020-09-23,3.1,11.9,2.4,,,W,44,12:13,8.7,87,8,W,28,1012.7,11.0,70,7,WSW,28,1012.1
,2020-09-24,3.3,10.6,1.0,,,NW,54,16:01,7.3,75,8,WNW,20,1013.9,9.6,65,8,NNW,30,1008.9
,2020-09-25,3.6,7.0,11.0,,,W,44,10:22,5.5,85,8,W,26,1001.9,2.9,97,7,SW,13,1002.9
,2020-09-26,0.1,10.5,8.0,,,SW,56,02:45,6.2,76,8,SW,24,1014.8,9.1,75,6,WSW,28,1015.7
,2020-09-27,3.6,11.6,2.8,,,S,33,09:29,7.7,70,1,S,20,1025.5,10.9,53,6,SSE,11,1025.4
,2020-09-28,-0.8,15.3,0.2,,,ESE,30,19:02,7.4,76,1,SSE,17,1028.8,15.0,63,,S,9,1025.4
,2020-09-29,1.4,16.0,0,,,N,56,13:43,11.4,69,,NNE,28,1022.8,14.5,56,8,N,35,1018.0
,2020-09-30,9.1,14.3,0.2,,,N,54,11:53,10.3,97,8,N,33,1011.6,12.3,95,8,N,24,1007.6
