"Daily Weather Observations for Ballarat, Victoria for October 2020"
"Prepared at 13:01 UTC on Saturday 11 September 2021   IDCJDW3005.202010"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-10-1,2.8,15.2,3.8,,,N,39,12:44,9.2,81,8,W,17,1017.1,14.6,60,1,NNW,26,1016.2
,2020-10-2,8.5,24.9,0,,,N,54,09:01,13.5,67,,N,39,1018.9,24.7,45,,N,31,1017.3
,2020-10-3,12.1,25.1,0,,,N,57,13:55,17.0,61,,N,30,1019.9,23.4,46,6,N,30,1014.7
,2020-10-4,13.8,22.5,0,,,NNE,59,12:09,15.5,68,8,NNW,15,1013.6,21.1,52,8,NNE,28,1008.4
,2020-10-5,5.2,11.4,13.0,,,SE,50,02:37,5.3,96,8,S,33,1017.2,9.9,74,8,S,24,1020.6
,2020-10-6,4.0,10.6,1.4,,,SSE,48,07:40,6.4,75,8,SSE,33,1024.6,9.1,70,8,SE,30,1022.6
,2020-10-7,5.9,15.6,0,,,NE,39,22:13,9.3,94,8,SSE,15,1018.6,13.9,76,8,E,6,1014.1
,2020-10-8,8.6,10.8,12.0,,,NNE,65,00:19,8.8,93,8,N,31,1003.1,10.5,95,8,NNW,43,1000.3
,2020-10-9,7.1,13.0,14.2,,,W,54,23:15,7.2,97,8,W,30,1015.0,11.9,74,8,WSW,33,1016.2
,2020-10-10,2.1,18.0,0.2,,,WNW,33,11:50,9.0,91,,N,15,1020.0,16.6,61,6,W,17,1017.5
,2020-10-11,5.6,14.7,0.4,,,S,31,08:05,8.4,80,8,SSE,24,1022.5,13.8,65,1,SSW,17,1022.5
,2020-10-12,1.9,21.1,0,,,NNW,44,15:12,11.1,74,6,NNE,20,1022.2,19.5,51,,N,31,1020.3
,2020-10-13,10.7,15.9,0,,,SSE,43,14:56,11.4,90,8,SSE,22,1024.2,15.2,72,4,SSE,24,1024.6
,2020-10-14,7.8,21.9,0,,,SE,43,00:02,10.9,83,, ,Calm,1023.6,20.5,49,3,NW,13,1021.4
,2020-10-15,10.8,19.9,0,,,NW,56,13:27,16.0,65,8,NNE,33,1013.6,19.2,58,8,NNW,28,1011.6
,2020-10-16,5.6,14.6,0.6,,,ESE,56,07:21,8.8,71,,ESE,37,1017.3,12.6,81,8,ENE,11,1015.2
,2020-10-17,8.6,14.4,8.0,,,SW,41,15:39,13.4,94,8,W,17,1009.5,14.1,72,8,WSW,20,1010.6
,2020-10-18,6.9,12.1,0.4,,,SSW,46,12:49,8.2,70,8,SSW,24,1016.8,11.1,61,8,S,19,1017.3
,2020-10-19,4.0,13.3,0,,,WSW,28,13:32,9.9,88,8,SSW,15,1018.4,11.8,71,7,SW,17,1019.1
,2020-10-20,4.6,16.5,0,,,SE,28,08:08,9.9,75,,SSE,19,1018.6,15.6,61,3,SW,13,1016.7
,2020-10-21,5.7,18.8,0.2,,,SE,35,21:44,12.1,76,,SE,9,1016.3,17.7,48,8,W,17,1014.9
,2020-10-22,7.2,21.1,0,,,SE,39,23:50,11.3,78,,SE,19,1015.7,20.1,51,2,NW,15,1013.3
,2020-10-23,11.2,23.1,0,,,N,33,15:53,16.5,76,8,S,9,1009.0,22.9,56,8,NNE,6,1005.5
,2020-10-24,8.5,12.7,21.8,,,SSW,50,15:14,8.6,95,8,SSW,28,1007.0,11.0,73,6,SSW,30,1009.4
,2020-10-25,3.4,11.0,0,,,S,65,09:02,6.8,68,4,S,41,1019.4,8.8,76,8,S,35,1020.2
,2020-10-26,4.6,14.2,1.4,,,SE,74,09:57,8.7,76,7,SE,44,1022.8,13.2,61,4,SE,41,1021.6
,2020-10-27,7.6,16.5,0,,,ESE,48,00:24,9.6,82,7,ESE,31,1022.6,16.4,59,8,SE,20,1020.4
,2020-10-28,8.5,20.7,0,,,SE,43,23:13,12.4,80,,SE,15,1019.9,19.3,48,,W,9,1016.4
,2020-10-29,6.4,19.0,0,,,W,37,12:30,15.0,73,,N,19,1012.0,14.3,73,7,SW,11,1011.1
,2020-10-30,9.6,19.3,0.4,,,SSE,50,21:27,12.1,83,6,SE,28,1010.8,18.3,63,8,SE,26,1010.3
,2020-10-31,9.6,16.8,0,,,SSE,54,01:25,10.9,88,8,S,31,1014.8,15.3,70,8,S,31,1015.3
