"Daily Weather Observations for Ballarat, Victoria for November 2020"
"Prepared at 13:01 UTC on Friday 12 November 2021   IDCJDW3005.202011"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-11-1,7.6,19.2,0,,,SSE,41,04:51,9.6,88,8,SE,28,1022.8,18.8,64,,SE,22,1022.0
,2020-11-2,4.5,26.2,0,,,N,30,08:42,17.2,66,,N,13,1025.8,24.4,41,,N,11,1024.0
,2020-11-3,13.1,28.9,0,,,N,56,12:44,19.5,55,,N,26,1022.6,27.8,33,,N,35,1017.5
,2020-11-4,15.5,16.8,0,,,SSW,43,15:07,16.2,80,8,NW,9,1013.3,13.5,86,8,S,24,1013.7
,2020-11-5,5.3,13.8,2.6,,,S,52,02:34,8.3,76,2,SSW,28,1019.9,12.2,57,8,SSW,24,1021.2
,2020-11-6,4.3,13.6,0,,,WSW,33,12:52,8.4,81,7,SW,17,1021.3,11.7,73,8,SW,20,1020.5
,2020-11-7,5.8,15.0,0.6,,,SSE,44,09:05,9.1,67,6,SSE,31,1025.8,13.8,59,6,SSE,22,1025.9
,2020-11-8,6.4,22.2,0.2,,,SE,56,02:40,12.3,64,,ESE,19,1026.5,20.9,38,,NNE,11,1024.3
,2020-11-9,8.6,25.5,0,,,NNE,39,08:27,18.3,54,,NNE,26,1024.2,24.5,40,,NNE,17,1020.7
,2020-11-10,16.6,29.0,0,,,N,54,12:31,20.3,48,,NNE,31,1018.8,28.0,35,,NNE,33,1014.4
,2020-11-11,16.5,19.9,0.2,,,NNE,67,16:47,16.6,74,8,NNE,28,1011.0,16.2,87,8,N,30,1006.9
,2020-11-12,10.9,18.7,11.4,,,NW,48,08:10,14.6,82,6,NW,31,1004.0,17.4,68,8,NNW,33,1003.4
,2020-11-13,10.0,18.1,0.4,,,WNW,33,23:36,12.3,76,8,NW,13,1005.2,16.3,57,8,WNW,19,1004.5
,2020-11-14,9.2,20.3,1.4,,,NW,35,16:40,10.8,88,8,W,13,1009.5,18.0,57,5,NW,9,1009.7
,2020-11-15,9.7,27.7,0.4,,,N,69,22:17,17.3,55,8,NNE,31,1010.7,23.8,42,7,NNE,39,1006.2
,2020-11-16,10.7,19.9,0,,,NNW,59,01:02,15.2,66,1,W,28,1010.9,18.3,44,,WSW,37,1014.5
,2020-11-17,5.2,19.6,0,,,WSW,39,11:42,10.8,84,8,WSW,19,1022.2,18.2,52,2,SW,13,1022.0
,2020-11-18,5.7,26.7,0,,,NW,35,11:57,17.6,52,,N,15,1022.5,25.1,34,,NNW,11,1019.8
,2020-11-19,13.3,31.3,0,,,N,48,11:48,20.9,48,7,N,20,1017.6,29.8,21,,N,28,1013.7
,2020-11-20,11.0,23.9,0,,,ESE,43,14:59,14.7,78,2,SSW,19,1018.8,23.3,52,,SE,26,1019.3
,2020-11-21,11.4,28.3,0,,,SE,43,03:28,21.2,42,8,ESE,4,1018.3,26.9,30,7,N,20,1016.4
,2020-11-22,16.0,26.2,0,,,SSW,61,16:31,20.7,60,8,S,11,1016.7,25.6,54,7,NE,9,1011.9
,2020-11-23,14.4,17.5,40.8,,,SSW,41,14:55,15.5,96,7,SW,19,1010.7,16.9,72,8,SSW,20,1012.2
,2020-11-24,9.1,18.3,0,,,S,30,14:24,11.4,84,8,SW,13,1014.9,17.5,67,8,SSW,13,1013.8
,2020-11-25,8.2,27.5,0,,,S,43,19:52,16.2,69,,N,17,1012.3,25.7,48,,WNW,20,1009.9
,2020-11-26,10.9,21.4,0,,,SSE,43,12:29,14.3,78,7,SSE,22,1014.9,20.8,56,,S,22,1015.0
,2020-11-27,7.8,32.6,0,,,NNW,46,12:31,19.6,32,,N,28,1013.0,31.4,29,,NW,31,1010.0
,2020-11-28,14.9,23.6,0,,,SSE,48,14:55,20.7,52,7,SSW,15,1007.0,22.4,48,8,ESE,26,1003.1
,2020-11-29,10.7,17.1,9.6,,,WNW,70,04:11,10.7,89,8,SW,26,1008.0,15.5,62,8,SSW,19,1012.4
,2020-11-30,7.6,26.8,0.2,,,SE,46,05:06,14.2,66,,ESE,17,1014.0,25.3,37,,NNE,24,1009.5
