"Daily Weather Observations for Ballarat, Victoria for December 2020"
"Prepared at 13:01 UTC on Thursday 11 November 2021   IDCJDW3005.202012"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-12-1,14.2,21.0,0,,,W,65,13:50,19.9,48,7,N,28,1005.1,19.6,53,8,W,43,1007.3
,2020-12-2,3.8,17.2,0.6,,,W,33,23:07,9.9,72,5,WSW,19,1022.4,15.1,50,7,S,17,1022.9
,2020-12-3,4.8,22.9,0,,,WNW,33,15:19,13.1,63,,ESE,9,1021.8,21.6,38,,NW,11,1018.6
,2020-12-4,6.0,21.7,0,,,WSW,31,13:33,11.8,73,2,SSW,19,1017.1,19.9,45,,SSW,17,1015.4
,2020-12-5,10.2,23.4,0,,,NNW,70,12:33,18.8,43,7,NNE,39,1002.8,15.6,84,8,NNE,35,993.6
,2020-12-6,7.4,17.3,2.8,,,WNW,61,14:42,10.3,83,8,NW,24,1001.5,15.6,53,7,WNW,43,1001.3
,2020-12-7,7.0,13.3,2.0,,,W,59,12:13,9.9,71,8,W,33,1004.3,8.8,82,7,SW,24,1006.3
,2020-12-8,5.5,13.6,1.0,,,WSW,37,13:59,9.7,77,8,SSW,19,1017.2,12.0,68,8,WSW,22,1018.0
,2020-12-9,8.3,23.5,0,,,WSW,35,14:26,12.1,74,1,W,9,1019.4,21.7,51,,WSW,11,1017.3
,2020-12-10,9.0,16.5,0,,,SSE,59,21:29,11.8,85,8,SSE,43,1022.9,15.7,50,,SSE,39,1024.2
,2020-12-11,7.7,20.9,0,,,SE,52,02:03,12.4,66,,SE,41,1027.7,20.0,39,,SE,35,1025.3
,2020-12-12,8.1,26.0,0,,,NNE,48,07:17,17.0,48,,NNE,35,1026.7,25.3,29,,NE,20,1023.3
,2020-12-13,14.4,27.8,0,,,NE,48,07:23,17.6,56,,NNE,33,1021.8,25.3,34,8,NNE,26,1018.3
,2020-12-14,16.0,30.5,0,,,NNE,50,07:07,21.1,52,,NNE,35,1017.0,28.9,29,,NE,24,1013.9
,2020-12-15,18.7,33.8,0,,,ESE,50,22:08,23.0,52,5,NNE,26,1014.4,30.8,32,8,SSW,9,1012.6
,2020-12-16,11.7,24.9,0,,,SE,50,05:08,15.2,77,1,SE,26,1014.4,23.8,53,2,SE,28,1010.7
,2020-12-17,12.1,27.1,10.0,,,WSW,44,21:34,20.4,72,,N,17,1006.1,25.4,52,2,WSW,15,1003.4
,2020-12-18,8.5,16.6,2.4,,,SW,43,00:18,9.7,89,8,SW,20,1012.7,14.0,56,8,SW,22,1013.7
,2020-12-19,4.3,18.5,0,,,SE,37,19:42,12.0,75,1,S,15,1018.4,16.6,44,8,SSW,20,1016.3
,2020-12-20,5.6,21.2,0,,,SE,46,21:12,11.7,71,4,SE,20,1016.4,18.6,39,,SE,11,1013.9
,2020-12-21,9.8,22.4,0,,,ESE,39,00:31,15.6,63,8,W,6,1009.1,20.9,34,8,N,20,1005.1
,2020-12-22,10.0,12.3,6.8,,,SW,57,16:23,10.8,95,8,WSW,19,1005.5,11.8,97,7,WSW,24,1007.2
,2020-12-23,6.2,16.7,12.2,,,SSW,33,01:16,11.5,85,8,SSW,15,1018.9,15.0,67,8,SW,15,1018.8
,2020-12-24,10.0,18.1,0,,,S,39,14:33,12.0,75,8,S,20,1019.0,16.1,53,8,S,22,1018.5
,2020-12-25,6.6,18.6,0,,,SE,43,10:49,12.5,63,1,SSE,30,1020.2,18.3,49,1,ESE,24,1017.9
,2020-12-26,6.9,27.2,0,,,WNW,44,12:09,15.0,60,,N,15,1015.4,26.0,28,1,WNW,17,1012.4
,2020-12-27,14.0,28.2,0,,,NW,74,12:55,21.4,35,8,N,30,1006.6,21.4,58,7,NW,17,1004.4
,2020-12-28,5.6,16.5,0.2,,,S,46,07:47,10.3,68,1,S,35,1012.3,15.1,38,4,S,17,1011.6
,2020-12-29,4.1,20.5,0,,,SSE,43,15:37,12.0,75,1,SSE,19,1016.8,18.7,51,6,S,24,1015.8
,2020-12-30,11.6,22.1,0,,,SSE,46,22:36,13.4,83,8,SE,28,1018.8,20.9,55,1,SE,22,1017.8
,2020-12-31,11.5,21.8,0,,,SSE,52,03:34,13.2,83,8,SSE,30,1020.0,19.4,63,1,SE,33,1018.5
