"Daily Weather Observations for Ballarat, Victoria for January 2021"
"Prepared at 13:01 UTC on Wednesday 10 November 2021   IDCJDW3005.202101"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-01-1,12.8,26.1,0,,,NNE,43,09:22,21.3,62,,NNE,24,1017.9,24.9,53,,NE,26,1015.3
,2021-01-2,15.7,25.1,0.2,,,S,44,20:47,18.0,73,8,NNE,30,1012.8,23.1,63,6,NNE,24,1008.8
,2021-01-3,14.7,23.9,40.6,,,S,50,17:33,16.2,93,7,SSE,15,1007.5,23.1,58,8,WSW,20,1005.9
,2021-01-4,11.6,17.6,0.8,,,S,52,12:10,13.2,97,8,S,30,1009.8,14.1,93,8,S,31,1010.5
,2021-01-5,11.9,18.2,3.8,,,SSE,50,08:45,13.8,97,7,S,28,1012.4,16.4,82,8,SSE,33,1013.1
,2021-01-6,9.5,19.1,0.8,,,SSE,52,14:24,11.1,87,8,S,26,1018.9,17.9,60,7,SSE,33,1018.5
,2021-01-7,10.7,22.5,0,,,SSE,46,00:47,14.5,81,5,ESE,28,1022.9,21.6,57,3,SE,28,1021.8
,2021-01-8,11.1,26.3,0.2,,,SE,44,01:11,16.2,70,,SE,19,1023.9,25.5,44,,SSW,19,1021.4
,2021-01-9,9.9,31.0,0,,,SE,41,23:06,20.1,59,,NNE,26,1021.5,28.8,27,,W,9,1019.3
,2021-01-10,13.1,35.9,0,,,ESE,31,18:56,25.0,43,,N,19,1019.2,31.5,24,2,SE,6,1016.2
,2021-01-11,19.1,33.6,0,,,N,69,12:20,26.8,34,,N,22,1013.2,33.0,19,,N,43,1009.3
,2021-01-12,14.0,23.4,0,,,S,46,14:08,15.8,71,8,S,33,1014.9,22.6,48,,SSE,26,1014.1
,2021-01-13,4.6,30.4,0,,,WNW,59,17:05,18.4,55,,N,24,1012.7,29.6,25,5,NW,24,1009.3
,2021-01-14,9.9,21.4,0,,,SSW,37,02:58,13.1,77,8,SW,19,1013.6,19.0,44,6,WSW,17,1012.4
,2021-01-15,4.9,16.3,0,,,W,65,13:12,9.4,94,8,WNW,26,1009.2,11.7,76,8,W,24,1008.8
,2021-01-16,8.3,17.0,4.4,,,WSW,52,16:31,10.5,82,8,SW,24,1014.3,14.7,68,8,WSW,30,1014.4
,2021-01-17,5.7,20.3,0.4,,,SSW,39,14:06,11.1,77,1,SW,22,1018.2,18.7,45,,WSW,17,1017.4
,2021-01-18,9.8,21.0,0,,,SW,46,16:17,12.6,90,8,SW,19,1017.4,20.2,54,,WSW,26,1016.4
,2021-01-19,8.9,18.8,0.2,,,SSE,52,07:44,11.6,63,2,SSE,37,1022.1,17.8,42,,SE,30,1021.5
,2021-01-20,8.7,26.2,0,,,SE,54,00:45,13.8,64,,SE,20,1022.2,24.5,29,,SE,19,1018.8
,2021-01-21,12.0,31.2,0,,,SE,39,23:05,22.2,39,,NE,6,1014.8,29.3,22,,NNW,19,1011.2
,2021-01-22,9.5,27.6,0,,,W,41,12:56,19.2,40,1,SW,11,1009.6,26.8,29,,WSW,11,1009.8
,2021-01-23,11.1,32.2,0,,,W,35,13:41,18.5,60,,E,2,1011.7,30.0,31,,W,19,1010.5
,2021-01-24,13.3,35.6,0,,,N,31,10:56,26.6,35,,NNE,9,1011.1,33.5,21,1,N,17,1008.3
,2021-01-25,21.0,36.5,0,,,NW,74,10:35,27.8,27,8,N,33,1002.5,33.7,21,6,NW,43,999.1
,2021-01-26,15.5,21.1,8.4,,,S,50,21:46,15.9,96,8,S,24,1001.9,18.5,68,8,S,24,1005.2
,2021-01-27,8.2,21.0,0.4,,,SE,69,08:00,12.2,66,,SE,50,1013.3,19.7,42,,SE,35,1013.5
,2021-01-28,12.1,24.2,0,,,ESE,59,23:35,16.3,78,1,SE,28,1015.9,23.2,59,8,SE,20,1014.2
,2021-01-29,14.8,19.6,38.0,,,NE,54,04:04,15.0,97,8,NNE,22,1011.1,17.5,97,8,NNE,20,1008.3
,2021-01-30,12.6,21.4,19.6,,,SSW,35,15:36,13.7,93,7,SW,13,1012.0,20.4,59,2,SSW,22,1012.7
,2021-01-31,10.5,22.1,0,,,SE,46,07:43,14.0,72,3,SE,31,1016.6,20.3,57,,ESE,20,1015.9
