"Daily Weather Observations for Ballarat, Victoria for February 2021"
"Prepared at 13:01 UTC on Tuesday  9 November 2021   IDCJDW3005.202102"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-02-1,8.8,21.9,0,,,S,39,14:42,15.8,76,8, ,Calm,1012.0,20.6,48,8,SSW,19,1011.0
,2021-02-2,9.5,19.3,0,,,S,48,11:49,12.4,75,1,S,30,1015.6,18.1,52,2,S,28,1015.4
,2021-02-3,10.3,22.5,0,,,SSE,48,04:45,12.8,80,7,SSE,24,1015.0,20.6,52,,SE,17,1010.9
,2021-02-4,10.1,25.7,0,,,N,48,14:33,18.1,65,8,NW,7,1004.9,25.2,31,6,N,33,1002.9
,2021-02-5,16.4,22.2,4.4,,,NNE,76,08:26,20.7,82,8,NNE,52,997.7,19.9,66,6,N,35,997.8
,2021-02-6,11.4,22.1,2.2,,,WNW,46,14:50,13.6,87,7,N,24,996.9,20.7,50,5,W,28,1000.1
,2021-02-7,11.5,17.8,1.0,,,SSE,43,21:13,12.1,96,8,SSW,17,1010.9,14.9,70,8,S,20,1012.7
,2021-02-8,9.8,19.1,0,,,SSE,50,06:47,11.5,78,8,SSE,35,1015.6,17.4,60,7,SE,31,1015.3
,2021-02-9,10.4,25.5,0,,,SE,54,23:52,13.7,73,,SE,39,1016.1,23.6,47,,SE,15,1013.5
,2021-02-10,11.1,30.5,0,,,N,35,10:12,21.0,65,,N,13,1013.7,28.6,43,,N,13,1011.3
,2021-02-11,16.6,33.2,0,,,NW,80,17:51,22.7,52,7,NNE,26,1009.3,30.5,32,6,N,39,1003.8
,2021-02-12,12.8,21.9,1.2,,,WSW,39,05:54,13.6,79,,SW,19,1005.1,20.3,50,,WSW,22,1005.2
,2021-02-13,10.0,19.8,0.2,,,SSE,41,15:57,12.3,95,8,SW,19,1012.2,18.4,53,7,SSW,20,1013.7
,2021-02-14,9.8,20.9,0.2,,,SSE,44,08:57,13.0,75,8,SSE,28,1018.1,20.0,50,,SE,26,1017.5
,2021-02-15,11.6,27.7,0,,,SE,52,02:00,14.7,73,,SE,37,1020.3,25.7,50,,WNW,7,1018.6
,2021-02-16,12.6,28.2,0,,,N,46,09:54,20.0,60,8,NNE,31,1021.4,26.9,38,2,N,11,1019.6
,2021-02-17,13.7,30.5,0,,,SE,41,17:07,22.1,58,,NNE,20,1021.6,29.3,34,,E,4,1020.6
,2021-02-18,14.6,28.5,0,,,NNE,57,08:28,19.8,56,,NNE,35,1022.6,26.7,38,,NNE,20,1019.7
,2021-02-19,17.6,30.6,0,,,N,61,08:38,20.7,66,,N,37,1016.0,29.5,36,,N,30,1013.7
,2021-02-20,19.6,32.1,0,,,N,48,12:26,22.6,56,6,NNE,15,1012.8,31.3,34,,N,30,1010.8
,2021-02-21,14.0,21.1,0,,,S,37,19:38,16.4,89,8,SSE,11,1010.6,19.7,71,7,S,17,1009.9
,2021-02-22,11.2,19.4,0,,,SSW,46,10:20,13.3,87,8,SSW,19,1011.8,17.6,57,8,SW,28,1012.6
,2021-02-23,4.6,18.5,0,,,S,46,16:01,10.2,78,,S,19,1018.3,16.7,42,5,S,26,1018.1
,2021-02-24,5.4,19.5,0,,,SSE,35,15:26,9.9,83,8,S,15,1019.4,17.9,45,1,SE,17,1016.4
,2021-02-25,4.6,21.7,0,,,W,50,14:08,8.6,94,8, ,Calm,1012.0,20.1,46,2,WSW,28,1009.5
,2021-02-26,8.6,19.1,1.0,,,SSE,41,13:45,10.8,80,8,SSW,9,1014.1,17.2,49,,SE,28,1012.7
,2021-02-27,5.7,19.1,0,,,SSE,26,01:39,10.2,86,1,SSE,19,1012.0,17.2,54,8,W,13,1011.6
,2021-02-28,6.3,28.1,0,,,NNW,41,13:14,16.0,63,,NNE,11,1012.1,26.5,32,2,NW,24,1010.0
