"Daily Weather Observations for Ballarat, Victoria for March 2021"
"Prepared at 13:01 UTC on Thursday  9 December 2021   IDCJDW3005.202103"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-03-1,11.5,20.8,0,,,SSW,52,16:33,12.7,87,8,SW,20,1012.1,20.0,44,2,SW,26,1012.7
,2021-03-2,5.6,17.5,0,,,S,46,08:08,10.1,68,,S,28,1017.2,14.9,50,7,S,30,1017.7
,2021-03-3,8.1,17.9,0,,,S,43,14:22,11.4,70,6,S,24,1019.2,17.1,47,,SSW,22,1018.7
,2021-03-4,8.9,17.2,0,,,SSW,39,15:44,11.6,75,8,SW,20,1017.3,16.9,68,7,SW,19,1015.7
,2021-03-5,9.2,18.2,0.2,,,SSE,52,22:57,10.5,82,8,S,28,1014.7,16.2,51,3,S,30,1014.4
,2021-03-6,8.7,22.1,0,,,SSE,56,23:49,11.1,73,1,SE,31,1013.5,20.3,41,,SSE,20,1012.8
,2021-03-7,6.1,26.6,0.2,,,N,37,11:37,13.0,78,,NNE,6,1011.2,24.5,28,7,N,15,1009.0
,2021-03-8,12.5,17.7,1.0,,,SSW,30,22:23,13.8,90,8,S,13,1009.8,16.3,81,8,SSE,24,1010.2
,2021-03-9,9.8,19.8,3.0,,,S,33,13:09,11.1,93,8,SSW,17,1016.7,17.9,60,7,SSW,20,1017.5
,2021-03-10,8.3,23.4,0.2,,,SSE,43,05:47,12.7,82,8,SE,24,1020.2,21.9,44,,SE,19,1018.2
,2021-03-11,9.4,26.5,0,,,S,33,16:46,14.5,83,8,SE,9,1017.3,25.0,34,8,WNW,13,1016.0
,2021-03-12,12.4,28.5,0,,,N,41,15:01,17.5,92,6,NNE,22,1016.8,27.4,44,4,N,24,1013.6
,2021-03-13,15.4,22.6,0,,,WSW,50,13:18,21.3,60,8,N,26,1008.2,12.7,95,8,SSW,24,1011.7
,2021-03-14,3.8,16.5,13.2,,,S,41,09:44,8.2,78,,S,13,1020.5,15.2,45,3,SSW,24,1020.9
,2021-03-15,3.6,17.8,0,,,SW,28,11:48,9.9,86,8,WSW,9,1024.2,17.0,68,8,SW,15,1023.4
,2021-03-16,9.9,23.6,0,,,SE,43,05:11,12.9,88,7,SE,24,1025.1,22.5,56,4,SW,13,1023.2
,2021-03-17,9.9,25.6,0,,,N,37,09:13,17.9,71,,NNE,13,1024.4,25.0,44,3,NNW,13,1022.8
,2021-03-18,9.4,25.5,0,,,N,33,23:59,14.8,81,,ESE,2,1025.3,24.1,40,4,ESE,7,1023.6
,2021-03-19,10.7,26.9,0,,,SE,46,20:46,13.6,98,1,SSE,13,1026.5,25.6,36,,NW,6,1024.8
,2021-03-20,12.6,25.1,0,,,SSE,48,17:32,16.3,83,4,SE,17,1026.8,24.0,50,,SSE,24,1024.1
,2021-03-21,14.6,18.5,5.4,,,NE,59,21:18,15.0,96,8,SSE,19,1022.5,17.6,93,8,ESE,17,1019.4
,2021-03-22,15.0,21.5,16.0,,,NE,54,23:12,17.9,73,7,NE,26,1018.1,20.1,72,7,NE,31,1014.8
,2021-03-23,15.3,20.7,3.4,,,SE,33,10:33,16.2,96,,S,11,1007.4,19.0,77,8,S,24,1003.7
,2021-03-24,13.9,19.3,0.4,,,W,35,01:15,14.6,98,8,SW,11,1000.1,18.5,82,8,SSE,13,1000.2
,2021-03-25,11.3,17.7,9.8,,,W,50,14:09,12.1,93,8,WSW,20,1005.9,16.1,67,7,WNW,28,1006.9
,2021-03-26,5.2,18.7,0.4,,,N,39,14:22,10.6,97,,N,11,1012.7,17.4,60,8,NNW,26,1011.0
,2021-03-27,10.4,18.6,1.4,,,WSW,46,15:12,11.9,95,8, ,Calm,1010.3,16.8,56,8,WSW,22,1011.0
,2021-03-28,4.8,17.7,0.2,,,WSW,30,10:15,9.7,97,8,W,7,1018.5,15.9,62,8,SSW,11,1018.3
,2021-03-29,7.7,18.4,0.6,,,S,31,10:54,10.8,96,7,SSW,13,1023.7,17.2,55,,SSW,17,1023.8
,2021-03-30,5.4,,0.2,,,SSE,39,12:52,9.0,93,3,S,15,1025.7,18.5,32,,SSE,26,1025.6
,2021-03-31,7.4,24.0,0,,,,,,12.5,81,,S,13,1025.3,23.1,33,,S,15,1023.5
