"Daily Weather Observations for Ballarat, Victoria for April 2021"
"Prepared at 13:01 UTC on Wednesday  8 December 2021   IDCJDW3005.202104"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-04-1,7.9,26.7,0,,,ESE,26,22:33,14.5,86,,NE,4,1024.3,26.0,,,W,13,1023.6
,2021-04-2,9.0,27.4,0,,,ESE,22,23:03,16.4,,, ,Calm,1027.3,26.7,,,NE,11,1025.0
,2021-04-3,11.5,28.2,0,,,N,43,12:33,17.6,,,NNE,17,1024.0,27.0,,,NNW,28,1020.8
,2021-04-4,11.9,27.7,0,,,WNW,43,12:06,21.9,,,N,19,1019.8,25.7,,,SW,19,
,2021-04-5,10.2,18.8,0,,,SE,50,23:25,13.1,47,7,SSE,31,,18.1,,,SSE,24,
,2021-04-6,10.3,20.2,,,,,,,14.0,24,,SE,30,,19.2,,,SE,26,
,2021-04-7,11.7,25.5,0,,,SE,43,00:01,15.6,,,SE,20,,24.8,,,N,9,
,2021-04-8,8.0,25.8,0,,,NNW,44,13:11,17.8,,,N,24,,24.9,33,,NNW,28,1007.5
,2021-04-9,9.1,15.8,4.8,,,SW,41,02:05,11.3,75,,SW,17,1010.4,14.4,58,8,SW,19,1009.4
,2021-04-10,8.1,14.8,0.6,,,WSW,61,21:27,10.8,92,8,W,26,1008.2,12.4,58,8,WSW,33,1008.8
,2021-04-11,3.9,11.2,6.0,,,SSW,61,15:31,7.0,88,8,SW,19,1015.8,9.8,72,8,SW,28,1017.7
,2021-04-12,6.5,15.0,1.4,,,S,31,09:26,9.5,90,5,SSW,15,1023.7,13.2,63,7,WSW,9,1021.7
,2021-04-13,4.0,16.1,0.2,,,N,67,13:14,9.5,87,8,N,30,1017.4,15.3,51,8,N,44,1011.3
,2021-04-14,8.8,18.1,0,,,W,52,12:24,12.7,70,8,NW,24,1011.6,15.6,62,5,W,31,1012.3
,2021-04-15,7.5,16.8,0.4,,,WNW,44,12:43,12.4,59,7,NW,22,1016.7,11.9,85,8,WSW,20,1016.4
,2021-04-16,5.5,11.8,1.4,,,S,31,09:25,9.1,70,8,SSW,17,1024.3,11.5,59,8,SW,13,1023.6
,2021-04-17,7.8,14.7,0,,,SSW,33,10:35,10.7,63,8,SSW,11,1025.5,14.1,55,7,SSW,19,1024.0
,2021-04-18,8.0,15.2,0,,,W,26,11:46,11.3,86,8,W,11,1023.7,14.8,66,8,W,17,1020.8
,2021-04-19,5.2,17.7,0,,,NW,44,12:37,10.7,88,8,N,15,1018.4,15.5,62,8,NNW,26,1014.8
,2021-04-20,7.4,13.5,0,,,SSW,46,16:33,12.2,71,7,N,26,1011.3,7.6,89,8,SSW,26,1011.7
,2021-04-21,-1.8,12.0,4.2,,,WNW,30,15:21,4.7,92,, ,Calm,1018.3,10.7,55,8,W,17,1015.2
,2021-04-22,4.7,14.4,0.4,,,W,50,14:39,8.0,95,8,N,15,,11.7,74,8,WSW,24,
,2021-04-23,6.0,13.0,0.4,,,W,35,13:58,9.0,94,8,W,19,,12.8,60,8,WSW,17,
,2021-04-24,8.7,15.7,0,,,W,33,10:17,10.9,74,8,WNW,15,,13.6,67,8,W,22,
,2021-04-25,5.9,14.3,0.6,,,W,31,11:56,10.0,96,8,W,13,,13.5,68,8,WSW,13,
,2021-04-26,2.8,13.4,0.2,,,SSW,22,11:26,9.2,98,8,WSW,9,,13.0,72,8,SSW,15,1027.1
,2021-04-27,9.0,14.9,0.4,,,S,28,12:27,10.1,93,8,S,17,1029.0,14.7,71,6,SSE,19,1026.1
,2021-04-28,1.2,15.1,0.2,,,W,26,11:55,8.1,97,,NNW,6,1025.5,12.6,74,,SW,9,1023.6
,2021-04-29,1.2,20.2,0,,,W,20,11:40,11.3,86,, ,Calm,1024.4,19.2,34,,S,9,1023.1
,2021-04-30,5.1,20.9,0,,,N,35,11:53,14.8,63,,NNE,15,1026.9,20.7,42,,N,22,1024.8
