"Daily Weather Observations for Ballarat, Victoria for May 2021"
"Prepared at 13:01 UTC on Thursday 12 May 2022   IDCJDW3005.202105"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-05-1,7.7,20.4,0,,,N,41,10:31,15.0,55,,N,26,1027.2,19.6,45,8,N,22,1025.5
,2021-05-2,13.6,23.1,0,,,N,50,10:57,16.6,53,5,NNE,28,1023.8,19.1,58,8,NNE,24,1019.6
,2021-05-3,6.1,14.9,0.2,,,WSW,59,21:37,11.6,93,1,SW,6,1020.3,12.9,88,8,S,15,1018.6
,2021-05-4,5.7,9.5,21.2,,,S,61,04:05,7.9,95,7,SSW,31,1020.5,8.7,95,8,S,35,1022.2
,2021-05-5,4.7,14.9,5.0,,,SE,50,22:26,9.5,79,,SSE,28,1025.3,14.0,61,1,SSE,30,1023.1
,2021-05-6,7.2,20.7,0,,,SE,50,00:10,12.0,81,,SE,2,1021.1,19.9,49,,NNW,7,1017.8
,2021-05-7,5.6,19.8,0,,,NNW,24,14:34,12.2,85,8,NE,9,1015.5,18.3,45,,NW,17,1012.5
,2021-05-8,6.7,16.8,0,,,W,28,11:26,11.7,92,1,W,7,1014.4,13.8,79,8,WSW,17,1014.3
,2021-05-9,3.4,17.1,0.2,,,WNW,37,13:20,10.3,98,8,NNE,17,1018.8,14.5,58,8,NW,20,1016.0
,2021-05-10,7.0,12.2,0,,,S,56,21:51,9.4,90,8,N,37,1009.9,11.9,90,8,N,24,1007.0
,2021-05-11,6.4,11.2,10.2,,,SE,50,22:19,7.6,82,8,SSW,26,1020.5,10.4,86,8,S,20,1021.2
,2021-05-12,6.5,16.7,0,,,ESE,54,04:02,8.6,87,7,ESE,28,1024.0,16.1,53,,NNW,15,1019.7
,2021-05-13,3.6,12.5,0,,,SW,39,15:38,6.8,89,8,N,30,1013.0,8.8,94,8,WSW,24,1012.2
,2021-05-14,2.7,10.4,3.2,,,W,41,15:49,7.0,94,8,WNW,20,1015.4,8.3,86,8,WSW,20,1014.7
,2021-05-15,3.8,10.4,5.0,,,WSW,59,01:47,4.8,86,6,SSW,20,1019.2,9.4,59,8,SSW,24,1021.1
,2021-05-16,3.3,11.2,0.2,,,WNW,43,16:11,7.4,88,8,NNW,13,1022.5,9.5,93,8,WNW,22,1020.2
,2021-05-17,7.2,13.4,2.6,,,WSW,33,02:36,8.9,97,8,WSW,11,1025.3,11.6,79,8,SSW,15,1025.6
,2021-05-18,5.1,12.7,0.4,,,N,30,12:58,9.1,89,8,WNW,7,1029.0,12.2,75,8,NNW,20,1026.7
,2021-05-19,3.4,13.0,0.2,,,N,37,13:29,9.1,89,8,N,24,1027.9,12.4,69,5,N,26,1024.9
,2021-05-20,7.1,14.9,0,,,N,33,00:06,9.5,71,8,N,17,1026.4,13.7,75,8,W,11,1027.0
,2021-05-21,-0.9,16.5,0.2,,,NNW,17,10:31,7.3,99,, ,Calm,1031.6,16.4,55,,WNW,7,1028.7
,2021-05-22,-1.9,14.8,0.2,,,N,31,11:58,9.4,74,,NNE,15,1026.8,14.6,49,,N,19,1024.4
,2021-05-23,1.7,16.9,0,,,NNE,33,10:32,10.8,80,,NE,11,1027.0,15.9,47,,N,20,1025.6
,2021-05-24,5.2,17.1,0,,,NNE,56,21:00,10.7,78,,N,33,1026.6,16.1,55,,N,35,1022.5
,2021-05-25,10.6,14.6,0,,,N,80,10:41,13.1,66,8,N,46,1013.4,10.9,96,8,N,35,1008.7
,2021-05-26,7.2,11.3,13.6,,,NNW,50,00:24,8.0,83,4,W,28,1017.2,9.1,81,8,WSW,20,1020.7
,2021-05-27,3.2,12.2,0.6,,,WSW,43,14:34,8.7,94,8,WSW,19,1026.8,10.8,83,8,W,26,1026.4
,2021-05-28,6.7,9.7,2.2,,,S,46,11:31,7.7,78,8,S,24,1031.9,9.0,63,7,S,28,1032.3
,2021-05-29,4.4,11.0,0,,,SSE,48,07:23,7.6,74,7,SSE,31,1033.1,10.5,66,,SSE,26,1031.1
,2021-05-30,2.1,13.0,0,,,SE,37,02:04,5.1,84,,ESE,7,1030.1,12.2,48,,N,17,1027.0
,2021-05-31,0.5,11.7,0,,,N,48,14:50,5.6,80,,NNE,24,1025.0,11.2,58,,N,37,1021.2
