"Daily Weather Observations for Ballarat, Victoria for June 2021"
"Prepared at 13:01 UTC on Sunday 12 June 2022   IDCJDW3005.202106"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-06-1,5.6,13.4,0.2,,,N,39,10:17,7.8,63,7,N,24,1020.8,12.2,58,8,N,20,1019.4
,2021-06-2,5.3,15.9,0,,,NNE,33,00:37,10.0,72,,NNE,17,1019.1,14.6,61,8,N,19,1015.9
,2021-06-3,6.5,15.1,0,,,SSW,24,10:58,9.8,94,,SSE,7,1015.6,13.2,74,8,SSW,13,1014.1
,2021-06-4,6.3,10.1,0.8,,,SW,39,03:45,7.5,94,7,SW,11,1018.1,9.4,58,5,SW,17,1019.4
,2021-06-5,-1.6,9.2,0.8,,,N,46,12:11,2.7,92,7,N,22,1021.6,8.6,78,8,N,30,1018.7
,2021-06-6,2.7,13.4,2.2,,,NNW,43,14:32,9.0,99,8,N,24,1022.8,12.0,90,8,NNW,24,1020.6
,2021-06-7,7.3,14.4,0.4,,,NNE,67,18:01,7.7,95,3,N,35,1016.0,13.5,67,8,N,44,1008.2
,2021-06-8,6.4,9.1,6.8,,,SW,46,23:43,6.8,96,8,NW,20,1004.5,6.6,85,8,SW,15,1005.7
,2021-06-9,4.6,10.3,10.8,,,S,80,20:20,7.2,94,8,S,24,1011.7,9.5,84,8,SSW,39,1011.0
,2021-06-10,7.2,10.5,12.6,,,S,80,02:39,10.1,93,8,S,46,1011.3,10.3,96,7,S,43,1010.1
,2021-06-11,4.6,14.2,10.0,,,SE,46,06:00,9.1,87,,SE,20,1016.0,12.3,75,7,SSE,28,1014.1
,2021-06-12,5.6,12.0,0,,,WSW,33,12:42,7.8,98,8,WSW,15,1016.2,11.4,72,8,WSW,20,1015.4
,2021-06-13,4.7,11.4,0.2,,,WSW,15,02:58,6.6,98,8, ,Calm,1019.2,11.2,70,8,N,6,1017.3
,2021-06-14,5.4,12.1,0,,,N,28,15:35,8.5,92,8,NNE,9,1018.0,11.8,67,,NNE,15,1015.9
,2021-06-15,3.8,10.3,0,,,NE,46,22:15,8.6,83,8,NNE,30,1016.3,9.5,87,8,NNE,20,1014.1
,2021-06-16,8.3,10.8,12.8,,,NNE,54,02:53,8.5,96,8,NNE,24,1010.1,9.0,82,8,N,22,1008.0
,2021-06-17,4.9,9.8,1.8,,,N,26,05:03,6.3,98,8,N,11,1010.2,8.9,81,8,WNW,11,1009.5
,2021-06-18,6.2,11.7,0,,,SSW,43,11:13,8.1,95,8,SSW,13,1014.1,10.8,91,8,S,20,1015.3
,2021-06-19,6.5,12.0,3.6,,,SSE,39,15:55,8.5,97,7,S,22,1025.1,10.6,87,8,SSE,28,1025.4
,2021-06-20,3.4,11.5,1.4,,,S,35,00:28,7.0,89,,SSE,9,1027.6,11.0,66,6,ESE,20,1025.7
,2021-06-21,-1.3,11.1,0.2,,,N,31,14:35,4.5,98,,NNE,7,1028.1,10.5,66,,N,20,1026.2
,2021-06-22,0.6,10.1,0,,,NNE,52,21:08,7.3,80,1,N,19,1028.9,9.6,78,8,NNE,19,1025.5
,2021-06-23,7.1,9.8,0,,,N,63,13:48,8.8,94,7,N,33,1018.2,9.1,97,8,N,44,1011.9
,2021-06-24,7.1,10.7,7.0,,,NNE,57,20:16,7.6,97,8,N,24,1006.6,8.9,90,8,N,37,1003.9
,2021-06-25,7.5,11.9,11.2,,,N,37,00:34,7.8,98,8,W,15,1010.8,11.6,79,8,WSW,13,1012.2
,2021-06-26,6.1,9.2,3.6,,,WNW,37,14:25,6.6,94,8,WSW,15,1020.4,7.9,73,7,W,20,1020.8
,2021-06-27,5.1,12.8,0.4,,,N,30,00:26,8.8,96,7,W,7,1026.6,12.3,66,8,WNW,17,1027.6
,2021-06-28,-0.5,10.8,0.8,,,N,28,09:40,6.6,99,8,NNE,11,1032.6,9.0,79,5,N,17,1031.2
,2021-06-29,0.6,12.6,0.2,,,N,48,12:48,7.1,91,8,N,22,1031.9,12.1,75,5,N,31,1029.2
,2021-06-30,7.1,12.2,0,,,NNE,50,09:19,8.7,85,,NNE,35,1025.8,11.7,80,4,N,28,1022.6
