"Daily Weather Observations for Ballarat, Victoria for July 2021"
"Prepared at 13:01 UTC on Saturday 11 June 2022   IDCJDW3005.202107"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-07-1,8.0,11.8,0,,,NNE,41,20:34,8.8,97,7,N,24,1022.0,11.2,85,6,N,24,1019.6
,2021-07-2,8.0,10.1,8.4,,,NNE,48,14:51,8.2,98,7,N,28,1014.3,8.9,86,8,N,35,1010.4
,2021-07-3,2.8,6.3,11.4,,,N,39,10:01,3.6,95,8,N,24,1015.5,5.1,90,8,NNW,24,1014.6
,2021-07-4,2.6,9.1,1.6,,,WNW,50,12:26,5.6,96,8,NNW,24,1017.0,8.7,86,8,W,28,1017.0
,2021-07-5,5.2,9.2,1.8,,,W,33,10:15,6.4,99,7,W,13,1023.6,8.9,79,8,W,17,1022.4
,2021-07-6,4.9,8.7,0.4,,,NNW,22,17:37,5.9,84,8,NNE,9,1023.4,7.4,79,8,NNW,15,1022.8
,2021-07-7,3.8,9.5,0,,,NNW,26,14:14,4.9,82,8,N,11,1026.0,8.2,62,8,N,11,1024.0
,2021-07-8,-2.4,8.5,0.2,,,N,24,11:20,1.6,93,,E,6,1023.0,7.9,71,1,N,17,1019.1
,2021-07-9,-2.1,11.1,0,,,SE,24,13:26,1.2,97,7,SSE,9,1016.8,10.6,57,,SE,13,1015.7
,2021-07-10,-0.7,13.1,0.4,,,SE,26,10:13,6.0,99,,SE,15,1023.6,12.8,53,,SE,15,1024.2
,2021-07-11,-1.0,10.4,0.2,,,NNE,52,12:34,7.6,87,1,NNE,24,1025.4,9.7,73,8,N,30,1022.0
,2021-07-12,5.6,11.7,0,,,N,54,11:17,7.4,82,8,N,31,1017.2,11.0,67,,N,33,1013.4
,2021-07-13,5.6,11.1,2.6,,,N,44,00:00,7.5,99,8,N,19,1014.9,10.3,84,8,N,26,1011.9
,2021-07-14,6.6,9.6,0.8,,,NNE,54,07:57,6.6,96,8,N,35,1003.9,9.2,95,8,N,30,1001.2
,2021-07-15,6.6,12.5,10.2,,,NNW,48,13:09,8.4,99,7,N,28,1000.5,11.2,93,8,N,26,997.1
,2021-07-16,6.6,10.9,4.8,,,N,46,01:10,7.0,95,8,NNW,26,989.7,9.9,76,8,NNW,28,989.7
,2021-07-17,3.5,8.9,3.2,,,SW,48,14:54,4.2,95,7,NNW,20,993.3,8.8,90,8,WSW,31,999.4
,2021-07-18,4.2,9.1,18.2,,,WSW,37,01:17,5.8,96,7,W,13,1015.7,9.0,84,8,W,13,1016.3
,2021-07-19,4.3,9.7,0.2,,,NNW,37,14:33,5.6,98,8,N,17,1016.9,9.0,83,8,NNW,24,1012.8
,2021-07-20,5.5,7.5,3.8,,,SSW,65,13:21,7.1,95,8,W,15,1006.4,6.2,80,6,SSW,26,1009.3
,2021-07-21,1.0,8.9,8.0,,,WSW,31,14:14,3.7,98,7,WSW,13,1021.6,7.8,89,8,W,17,1020.1
,2021-07-22,1.3,6.4,0.6,,,N,57,12:39,3.6,99,8,N,24,1014.8,5.9,86,8,N,33,1009.1
,2021-07-23,3.6,7.1,3.0,,,N,56,01:00,4.2,96,8,N,19,1005.8,6.4,84,8,N,19,1003.4
,2021-07-24,4.1,9.9,1.0,,,WNW,72,17:01,6.0,97,7,N,35,997.6,8.1,79,8,NNW,28,995.8
,2021-07-25,1.3,8.6,4.6,,,WNW,50,00:39,3.7,84,8,WNW,26,1004.5,8.0,74,8,NW,31,1005.9
,2021-07-26,3.3,12.4,1.0,,,NNW,56,13:35,8.6,97,8,N,26,1011.8,12.2,79,8,NNW,37,1010.5
,2021-07-27,5.3,13.5,0.4,,,N,70,15:46,7.0,83,,N,31,1010.5,12.4,64,,N,50,1002.6
,2021-07-28,6.9,11.3,3.4,,,W,74,17:03,8.1,80,8,NW,31,999.4,8.1,82,8,WNW,30,999.7
,2021-07-29,1.7,10.8,2.8,,,N,43,22:16,5.1,89,1,N,13,1013.7,9.9,81,8,NNW,28,1014.3
,2021-07-30,2.6,10.4,0,,,NNE,67,10:24,5.2,78,,NNE,41,1014.3,8.8,74,8,N,37,1010.7
,2021-07-31,5.2,13.8,0.2,,,NNE,63,00:02,8.3,77,,NNE,28,1007.1,12.6,72,8,N,35,1002.2
