"Daily Weather Observations for Ballarat, Victoria for August 2021"
"Prepared at 13:01 UTC on Friday 10 June 2022   IDCJDW3005.202108"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-08-1,2.1,11.2,18.4,,,W,35,12:17,6.4,90,,WNW,11,1011.2,11.0,55,,W,24,1012.0
,2021-08-2,3.6,11.3,0.6,,,N,59,15:16,5.7,98,8,N,31,1015.5,10.7,72,6,N,43,1009.9
,2021-08-3,2.5,9.7,4.8,,,SW,54,15:58,5.3,95,8,N,17,1008.5,6.4,87,8,WSW,33,1009.8
,2021-08-4,4.5,10.7,4.6,,,WSW,46,16:03,7.0,97,8,WSW,20,1017.2,10.2,89,8,WSW,24,1017.4
,2021-08-5,6.6,11.3,3.4,,,WSW,41,01:20,7.7,97,8,W,22,1022.3,10.6,82,8,W,28,1021.7
,2021-08-6,7.2,10.8,1.4,,,WSW,39,04:07,7.8,92,8,W,19,1025.4,9.6,84,8,W,22,1024.1
,2021-08-7,4.5,11.4,0.6,,,SW,39,14:19,7.4,97,8,W,17,1027.5,10.4,78,2,SW,15,1027.2
,2021-08-8,-0.2,11.8,0.4,,,N,28,11:30,7.4,94,6,NNE,11,1032.1,10.9,65,8,N,11,1029.7
,2021-08-9,2.0,12.2,0,,,NNW,35,14:23,7.7,89,8,N,15,1027.5,11.6,71,8,N,24,1023.4
,2021-08-10,2.6,13.9,0,,,NNE,69,22:19,7.7,82,7,N,33,1022.2,12.5,68,8,N,35,1017.9
,2021-08-11,7.4,10.0,0,,,NNE,52,08:49,8.6,67,8,NNE,35,1012.1,8.1,91,8,NNW,26,1011.6
,2021-08-12,3.7,12.4,5.2,,,NW,35,14:32,6.4,92,1,N,17,1025.7,11.6,75,8,WNW,19,1025.2
,2021-08-13,3.3,13.5,0,,,WNW,41,14:22,5.6,98,8,N,22,1027.7,12.6,64,1,WNW,19,1026.4
,2021-08-14,1.4,13.2,0,,,NNW,37,12:59,6.3,99,8,N,13,1029.2,12.6,67,8,NNW,28,1026.2
,2021-08-15,3.8,14.7,0.2,,,NW,56,12:39,7.8,84,3,N,26,1024.3,14.3,46,1,NW,37,1020.8
,2021-08-16,6.9,11.2,1.0,,,WSW,52,13:14,8.3,85,7,WSW,26,1024.2,9.7,80,8,WSW,24,1024.6
,2021-08-17,6.9,11.3,3.4,,,SW,33,08:47,7.5,95,7,SW,20,1026.3,10.8,79,8,SW,17,1025.5
,2021-08-18,1.8,12.8,0.2,,,N,33,14:16,6.4,98,8,NNE,6,1025.9,12.0,69,6,NNW,22,1022.3
,2021-08-19,3.1,13.6,0.2,,,N,41,12:18,7.4,94,4,NNE,20,1023.2,12.7,70,8,N,28,1019.5
,2021-08-20,5.9,13.2,0,,,N,56,11:26,8.4,85,6,N,33,1015.9,12.8,64,1,N,39,1012.9
,2021-08-21,4.3,14.8,0.4,,,NNW,44,12:05,9.3,91,,N,22,1016.0,13.2,71,6,NW,28,1015.4
,2021-08-22,5.6,17.0,0.2,,,N,67,13:04,8.9,91,,N,22,1015.0,16.7,49,,NNW,37,1009.4
,2021-08-23,5.9,10.0,3.0,,,NW,44,01:09,6.7,90,8,WSW,11,1011.5,7.7,71,6,SW,15,1012.9
,2021-08-24,1.3,9.9,2.2,,,S,48,12:49,5.0,80,,S,20,1022.1,8.2,66,8,SSW,28,1021.6
,2021-08-25,4.5,10.1,1.2,,,SSE,50,09:03,7.0,94,8,SSE,33,1023.8,9.2,68,4,S,28,1022.8
,2021-08-26,1.6,9.8,1.4,,,SE,35,16:07,5.1,96,8,S,15,1022.6,9.1,67,8,SE,20,1020.1
,2021-08-27,-1.4,13.3,0.4,,,WNW,24,11:54,7.0,83,,SE,6,1019.6,12.7,51,7,WNW,13,1017.4
,2021-08-28,-0.4,13.6,0,,,N,52,12:03,8.6,70,,N,20,1017.9,12.9,52,1,N,41,1013.4
,2021-08-29,5.8,12.6,3.2,,,NNE,50,05:09,7.3,91,8,N,20,1011.7,11.9,60,5,W,17,1010.9
,2021-08-30,2.1,14.2,0.2,,,N,50,13:06,6.6,88,8,N,20,1016.0,12.0,64,8,N,31,1014.0
,2021-08-31,6.5,19.8,0,,,NNW,61,15:09,8.6,70,8,NNE,39,1015.4,19.7,37,1,NNW,46,1012.7
