"Daily Weather Observations for Ballarat, Victoria for September 2021"
"Prepared at 13:01 UTC on Thursday  9 June 2022   IDCJDW3005.202109"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-09-1,4.8,19.3,0,,,N,44,16:25,12.8,72,,N,19,1024.4,18.9,53,,N,33,1022.2
,2021-09-2,9.5,21.7,0,,,N,69,14:20,15.6,53,,N,39,1020.6,21.3,39,,N,52,1013.6
,2021-09-3,13.5,14.3,0.6,,,NNE,50,07:38,14.0,71,8,NNE,35,1013.3,12.6,96,8,WNW,11,1013.4
,2021-09-4,6.6,11.0,23.4,,,SSE,43,09:51,7.4,90,8,SSE,30,1019.5,9.9,68,6,SSE,31,1018.9
,2021-09-5,4.1,10.8,0,,,WSW,46,15:05,7.1,83,8,SW,20,1023.1,9.9,73,8,SW,24,1022.9
,2021-09-6,4.7,13.1,1.2,,,SSW,52,01:50,7.9,76,5,SSW,19,1031.4,12.5,62,,WSW,17,1030.6
,2021-09-7,5.2,11.7,0,,,SW,46,09:04,8.7,86,6,SW,22,1031.5,11.2,74,8,SW,19,1031.3
,2021-09-8,0.1,15.8,0.2,,,N,41,14:34,8.0,83,,N,26,1030.9,15.4,65,,N,31,1027.4
,2021-09-9,7.8,21.0,0,,,NW,67,13:51,11.2,73,,N,24,1024.0,20.7,36,,NW,39,1018.0
,2021-09-10,6.3,16.3,0,,,N,43,21:53,8.8,91,8,S,6,1022.4,15.6,61,8,N,22,1019.6
,2021-09-11,8.8,15.9,0,,,NNE,48,02:59,11.1,53,7,N,35,1007.3,15.2,68,8,NW,30,1005.1
,2021-09-12,4.2,11.5,1.0,,,WNW,48,14:50,7.2,74,8,W,22,1006.3,5.4,93,8,WNW,31,1006.3
,2021-09-13,0.5,11.8,9.4,,,S,50,12:34,7.5,81,3,S,19,1019.4,9.8,61,8,S,28,1021.0
,2021-09-14,0.3,12.0,0.8,,,SE,30,23:22,7.0,70,,S,19,1027.7,10.8,57,7,SSE,19,1025.7
,2021-09-15,1.6,12.4,0,,,SE,39,20:33,7.7,81,5,SE,19,1027.0,11.6,55,5,ESE,24,1024.4
,2021-09-16,3.6,14.3,0.2,,,ESE,26,02:50,9.8,66,,E,13,1023.9,12.3,55,8,N,15,1020.5
,2021-09-17,4.9,18.3,0,,,NNE,78,14:02,10.7,66,8,N,41,1014.0,17.3,52,,N,52,1007.2
,2021-09-18,5.9,12.3,0.4,,,W,61,14:18,10.1,67,5,WNW,30,1013.4,10.9,62,8,W,33,1014.8
,2021-09-19,2.4,14.4,0.8,,,NW,57,12:15,7.8,88,8,NNW,28,1017.3,13.3,62,8,NW,39,1013.7
,2021-09-20,5.5,10.6,6.0,,,WSW,69,12:23,8.0,75,8,W,35,1012.8,4.2,93,7,WSW,26,1012.5
,2021-09-21,1.7,10.0,9.8,,,S,44,11:05,5.6,84,8,SSW,24,1025.8,8.5,70,8,SSW,19,1026.8
,2021-09-22,5.1,15.8,2.4,,,WSW,33,01:45,8.2,95,7,WSW,19,1027.2,13.7,77,7,W,15,1024.7
,2021-09-23,4.4,16.4,0.4,,,NNW,41,13:24,7.9,98,8,NNW,19,1020.8,16.2,62,1,NW,30,1016.3
,2021-09-24,5.0,14.6,0,,,W,61,13:37,11.3,84,8,NNW,31,1010.2,13.3,58,2,W,43,1009.5
,2021-09-25,3.5,10.3,3.0,,,S,43,02:16,5.9,80,8,SSW,15,1020.6,9.6,54,4,SSW,20,1022.0
,2021-09-26,-0.7,15.3,0.2,,,ESE,46,08:33,7.8,68,,SE,33,1026.7,14.1,49,,SSE,9,1023.8
,2021-09-27,1.5,15.9,0.2,,,N,44,09:19,9.7,68,1,N,31,1022.3,15.5,50,1,N,17,1018.4
,2021-09-28,5.2,19.9,0,,,NNW,33,13:06,13.9,58,8,NNE,17,1017.6,19.3,41,4,N,15,1014.8
,2021-09-29,11.1,16.5,0,,,SE,46,17:45,13.3,74,8,SE,20,1014.7,15.6,72,7,ESE,30,1011.4
,2021-09-30,10.7,15.8,7.6,,,ESE,37,00:13,13.2,88,8,ENE,11,1008.6,14.7,76,8,NNW,6,1005.1
