"Daily Weather Observations for Ballarat, Victoria for October 2021"
"Prepared at 13:01 UTC on Wednesday  8 June 2022   IDCJDW3005.202110"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-10-1,10.4,17.5,8.4,,,N,30,11:10,12.0,96,8,ENE,7,1005.0,16.1,70,7,NE,15,1003.4
,2021-10-2,10.3,17.0,0.6,,,SSW,35,12:11,12.0,92,8,S,19,1007.2,15.8,75,8,SSW,22,1005.3
,2021-10-3,6.7,14.9,0.2,,,NW,43,22:17,12.2,90,,N,19,1003.7,13.6,88,8,N,22,1000.8
,2021-10-4,5.1,12.9,6.4,,,WNW,76,11:50,8.4,94,8,NNW,24,998.8,11.7,73,8,NW,35,998.8
,2021-10-5,6.7,14.4,6.6,,,W,54,02:04,7.9,78,7,WSW,26,1009.0,13.7,56,4,SW,24,1012.0
,2021-10-6,1.1,17.6,0.2,,,NW,65,20:26,8.6,87,,N,24,1014.4,16.5,57,7,N,28,1009.6
,2021-10-7,4.5,12.4,1.8,,,SW,61,00:27,6.4,90,8,WSW,15,1012.5,11.4,58,8,W,26,1014.4
,2021-10-8,1.7,17.5,0.2,,,NNW,50,16:28,7.8,86,7,N,15,1016.4,16.2,52,,NNW,33,1013.6
,2021-10-9,5.3,19.8,0,,,N,39,10:59,11.6,71,,N,19,1012.4,18.6,45,8,NW,22,1010.1
,2021-10-10,3.9,13.1,0.6,,,S,48,15:47,7.8,84,,SSE,20,1014.0,11.7,55,8,S,22,1012.5
,2021-10-11,0.7,12.7,0.2,,,ESE,37,21:47,6.7,83,,S,17,1018.9,12.2,48,5,SE,20,1017.6
,2021-10-12,4.4,16.2,0,,,ESE,41,02:44,10.7,65,,E,13,1016.5,14.7,55,7,N,22,1013.5
,2021-10-13,9.7,16.8,0,,,NNE,44,09:32,10.9,81,7,NNE,24,1009.8,16.0,64,8,NNE,30,1006.1
,2021-10-14,6.1,13.5,18.2,,,NW,46,14:32,7.3,97,7,N,22,1004.7,13.0,56,8,NNE,9,1003.6
,2021-10-15,3.9,12.1,0.2,,,SW,57,19:34,8.1,97,7,SSW,13,1004.5,9.1,94,8,SW,24,1002.9
,2021-10-16,7.6,12.5,14.2,,,SW,50,23:10,7.9,93,8,SSW,24,1010.1,12.2,70,8,SSW,24,1011.2
,2021-10-17,6.7,15.1,0.4,,,NNW,31,11:57,8.5,74,7,W,11,1014.9,13.8,59,8,NW,19,1013.0
,2021-10-18,6.6,15.7,0,,,SW,37,15:11,9.5,87,8,WNW,11,1013.2,14.1,64,8,SW,22,1014.3
,2021-10-19,6.5,14.8,0.2,,,SE,44,12:55,8.3,90,8,S,17,1022.4,13.2,71,8,SSE,24,1022.2
,2021-10-20,6.1,21.0,0.2,,,E,50,23:41,12.9,71,,E,11,1020.6,20.0,48,,N,24,1016.9
,2021-10-21,12.9,22.4,0,,,N,54,09:45,14.2,73,7,N,39,1014.6,21.2,53,8,N,35,1012.9
,2021-10-22,8.8,22.0,0,,,N,48,09:21,17.4,70,,N,24,1014.9,20.2,61,7,N,15,1012.3
,2021-10-23,9.9,14.8,3.4,,,SSW,43,14:31,10.8,87,8,S,19,1015.3,11.4,85,8,SSW,20,1016.4
,2021-10-24,6.0,13.1,2.8,,,S,41,05:43,8.4,81,8,S,26,1022.7,11.2,60,8,SSW,20,1022.3
,2021-10-25,5.8,13.0,0.2,,,SSE,44,08:16,7.9,78,8,SSE,26,1021.5,11.8,60,8,SSE,19,1020.6
,2021-10-26,4.3,18.6,0,,,ESE,30,07:22,9.4,70,,ESE,20,1020.3,17.2,46,,WNW,11,1018.0
,2021-10-27,5.6,24.6,0,,,N,52,12:21,15.4,63,,N,22,1015.2,23.4,29,,NNW,33,1012.7
,2021-10-28,9.9,24.3,0.4,,,W,61,15:32,14.9,73,5,ENE,11,1009.8,23.1,53,3,N,24,1004.0
,2021-10-29,7.0,13.1,9.2,,,WSW,100,04:10,7.3,88,8,SW,31,1004.7,10.2,69,8,S,26,1011.7
,2021-10-30,0.0,12.8,0.8,,,WSW,48,11:04,7.9,73,,WSW,15,1021.2,11.7,61,8,SW,26,1021.4
,2021-10-31,0.7,17.9,0.4,,,NW,31,13:46,7.7,95,2,W,6,1026.0,16.5,52,,W,15,1023.9
