"Daily Weather Observations for Ballarat, Victoria for December 2021"
"Prepared at 13:01 UTC on Monday  6 June 2022   IDCJDW3005.202112"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-12-1,17.1,30.5,0,,,NW,57,09:54,22.9,56,4,NNW,26,1013.2,30.1,35,,NNW,17,1011.6
,2021-12-2,12.9,29.8,3.8,,,NNW,69,14:28,21.8,55,,N,26,1014.4,27.6,41,2,NNW,30,1010.5
,2021-12-3,6.1,20.1,2.2,,,SSE,37,09:10,12.9,72,,S,22,1018.7,19.2,56,,SSW,20,1017.5
,2021-12-4,6.7,17.3,0,,,SSW,50,08:09,12.4,70,8,SSW,19,1018.7,16.0,55,8,SSW,20,1018.6
,2021-12-5,5.1,20.0,0,,,SE,54,07:15,11.2,64,,ESE,35,1019.8,18.0,47,,ESE,19,1017.4
,2021-12-6,7.5,25.2,0,,,N,56,07:53,15.7,65,,N,41,1013.7,22.8,47,8,N,26,1010.5
,2021-12-7,10.8,16.2,2.8,,,SSW,44,17:31,11.7,87,8,SSW,15,1011.8,14.2,64,8,SSW,22,1013.3
,2021-12-8,4.3,14.8,0.4,,,S,52,11:04,10.1,73,8,S,31,1017.4,11.2,64,8,SSW,26,1017.2
,2021-12-9,7.1,16.1,11.0,,,SSE,61,08:56,10.9,88,8,SSE,33,1017.0,15.7,60,8,SSE,41,1016.8
,2021-12-10,6.0,17.4,0,,,SSE,50,13:28,11.1,77,3,SSE,37,1017.1,15.7,55,7,SSE,35,1015.8
,2021-12-11,8.7,19.2,0,,,ESE,41,18:05,12.0,76,7,ESE,22,1017.9,17.0,61,7,ESE,26,1016.7
,2021-12-12,7.5,26.2,0,,,SE,35,23:48,16.7,67,,N,17,1016.2,24.7,34,,WSW,13,1013.9
,2021-12-13,12.9,29.1,0,,,N,50,08:19,21.8,41,,N,30,1012.6,27.4,30,8,N,26,1010.8
,2021-12-14,10.9,27.7,0.2,,,SSE,37,03:08,15.7,73,1,ESE,19,1014.4,26.3,49,,SW,7,1012.4
,2021-12-15,11.3,19.8,0.2,,,SSE,35,14:49,13.2,92,8,SSW,9,1013.2,16.1,75,8,SSE,20,1013.7
,2021-12-16,7.1,21.2,0,,,S,37,10:16,13.0,78,8,SSE,26,1016.6,20.3,39,,SSE,15,1015.6
,2021-12-17,5.5,27.7,0,,,NW,39,12:07,18.0,43,,NNW,13,1013.8,26.6,28,1,NNW,19,1009.9
,2021-12-18,18.0,30.3,0,,,W,48,10:11,24.4,33,2,N,35,1005.5,25.0,51,,SW,19,1006.6
,2021-12-19,9.7,17.4,0.2,,,W,76,12:44,15.7,82,8,NNW,19,1004.7,13.8,78,8,WSW,33,1005.0
,2021-12-20,4.1,25.2,5.6,,,WNW,44,14:59,12.8,66,,WNW,24,1014.2,23.1,45,1,WNW,24,1013.1
,2021-12-21,8.5,24.9,0,,,S,39,18:58,13.9,76,2,SW,17,1014.3,23.0,43,,WSW,19,1012.6
,2021-12-22,10.5,21.4,0,,,SSE,41,10:44,11.7,86,8,S,19,1014.8,19.4,51,1,S,20,1012.6
,2021-12-23,8.6,22.9,0,,,SE,37,06:20,14.3,70,,SE,26,1013.2,21.5,47,,SSE,19,1012.9
,2021-12-24,9.5,28.8,0,,,S,43,18:49,18.4,54,,SE,13,1014.1,27.1,30,,NNE,7,1011.5
,2021-12-25,12.0,24.2,0,,,S,44,21:50,14.6,74,6,SSE,22,1016.1,22.7,47,,S,22,1014.6
,2021-12-26,10.2,18.6,0,,,SSE,61,20:26,11.8,73,8,S,31,1019.0,16.8,56,8,SSE,37,1018.4
,2021-12-27,9.0,19.2,0,,,SSE,70,07:57,11.9,60,,SSE,54,1020.2,17.5,51,2,SSE,43,1019.0
,2021-12-28,9.7,23.1,0,,,SE,57,02:44,13.7,69,,ESE,31,1020.9,21.8,37,,SE,20,1017.7
,2021-12-29,10.6,28.4,0,,,ESE,41,23:09,17.4,62,,E,11,1018.5,26.3,34,,S,13,1015.7
,2021-12-30,8.3,32.7,0,,,W,37,12:30,22.7,37,,NNW,13,1015.1,31.4,21,,WNW,20,1012.1
,2021-12-31,13.6,35.5,0,,,NNW,57,10:39,25.1,34,,N,28,1011.5,33.8,17,,N,20,1008.9
