"Daily Weather Observations for Ballarat, Victoria for January 2022"
"Prepared at 13:01 UTC on Sunday  5 June 2022   IDCJDW3005.202201"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-01-1,18.0,34.3,0,,,W,50,14:32,28.0,26,1,N,30,1009.3,32.6,20,6,WSW,17,1006.1
,2022-01-2,19.4,31.3,0,,,S,43,20:05,24.3,43,,ESE,9,1007.9,31.1,37,3,SW,17,1007.3
,2022-01-3,12.4,23.0,0,,,SSE,52,22:13,15.2,72,1,SE,30,1011.7,22.5,41,,SE,28,1010.9
,2022-01-4,11.6,19.3,0,,,SSE,46,00:16,13.9,77,8,SSE,26,1012.4,17.2,78,8,SSE,31,1011.9
,2022-01-5,13.9,25.0,0.4,,,E,50,21:34,17.7,91,8,SE,26,1009.3,19.5,88,7,SE,35,1007.0
,2022-01-6,15.2,25.9,46.8,,,NNE,41,16:30,19.5,80,8,SE,9,1009.5,21.2,84,6,ENE,15,1007.4
,2022-01-7,15.8,24.2,1.0,,,S,46,16:15,19.6,84,6,N,20,1007.9,21.7,75,8,NW,11,1007.4
,2022-01-8,14.3,21.3,7.8,,,S,33,09:17,15.1,92,8,S,20,1012.5,19.4,70,8,SSE,20,1012.7
,2022-01-9,11.3,26.7,0,,,SE,35,03:14,15.9,78,,SE,19,1014.7,24.6,47,,ESE,7,1013.8
,2022-01-10,11.4,32.0,0,,,ESE,44,18:03,23.8,49,,NNE,13,1016.6,31.3,24,,S,9,1015.9
,2022-01-11,15.6,27.6,0.4,,,ESE,57,09:34,18.5,47,,ESE,33,1019.2,25.6,41,8,ESE,28,1019.8
,2022-01-12,15.4,26.9,0,,,ESE,57,07:49,18.8,76,8,ESE,31,1021.3,25.1,59,1,ESE,28,1018.3
,2022-01-13,16.8,30.5,0,,,NNE,57,07:42,22.5,61,5,NNE,43,1015.3,28.9,39,,NE,28,1009.4
,2022-01-14,17.8,29.1,2.4,,,N,48,12:53,21.7,77,1,N,31,1004.8,26.8,58,3,N,26,1002.5
,2022-01-15,14.5,22.6,0.2,,,SSW,37,13:01,15.5,94,8,SSW,13,1004.6,21.2,65,6,SW,20,1005.8
,2022-01-16,9.7,32.0,0,,,W,35,22:33,20.5,55,,ESE,9,1007.6,30.1,28,,WNW,24,1006.3
,2022-01-17,13.9,25.1,0,,,SSW,41,15:19,14.8,78,8,S,24,1009.9,23.3,48,1,SSW,24,1009.9
,2022-01-18,9.2,19.9,0,,,SE,54,21:29,14.6,69,1,SSE,28,1015.2,19.0,52,4,SSE,33,1015.3
,2022-01-19,11.7,24.3,0,,,SE,65,05:22,16.9,73,5,ESE,39,1019.7,23.8,53,,SE,43,1020.8
,2022-01-20,11.3,26.9,0,,,ESE,52,23:43,16.5,73,,SE,17,1026.9,26.1,41,,SSE,17,1024.6
,2022-01-21,14.2,29.7,0,,,ESE,50,19:06,19.1,55,,NNE,30,1027.0,27.7,31,,NE,17,1024.1
,2022-01-22,14.9,30.6,0,,,E,44,18:16,20.9,58,,NNE,28,1022.9,29.5,34,,E,19,1018.6
,2022-01-23,15.8,31.3,0,,,ESE,39,18:04,23.3,49,,N,24,1016.4,29.3,35,4,N,17,1013.1
,2022-01-24,16.7,32.5,0,,,NNE,41,10:41,25.0,47,,NNE,20,1011.9,31.1,31,1,N,22,1008.1
,2022-01-25,18.5,33.7,0,,,ESE,44,19:36,25.3,49,,NNE,17,1009.2,30.8,29,6,SE,9,1007.2
,2022-01-26,18.8,33.9,0,,,NNW,56,16:10,25.0,57,,N,19,1009.9,32.3,29,1,NNE,22,1006.7
,2022-01-27,19.6,30.7,2.0,,,NNW,63,18:46,22.9,79,,N,37,1008.2,29.4,55,1,N,37,1006.7
,2022-01-28,19.8,29.3,0.6,,,NNE,54,04:39,23.3,75,7,N,28,1009.7,20.2,94,8,SSE,22,1011.2
,2022-01-29,15.0,22.1,4.2,,,SE,52,20:13,15.9,91,7,SE,30,1016.5,20.7,68,8,SSE,30,1016.2
,2022-01-30,15.2,27.8,0.2,,,SE,44,00:11,19.4,85,6,SE,19,1014.7,25.9,68,,ESE,20,1012.2
,2022-01-31,15.5,32.1,0,,,NNW,43,12:48,23.0,79,1,N,19,1008.6,30.4,31,1,NNW,24,1005.4
