"Daily Weather Observations for Ballarat, Victoria for February 2022"
"Prepared at 13:00 UTC on Saturday  4 June 2022   IDCJDW3005.202202"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-02-1,14.8,22.2,0,,,SSW,52,17:56,16.5,78,8,SW,22,1003.3,20.6,42,2,SW,24,1003.5
,2022-02-2,8.6,19.1,0,,,S,46,08:30,12.3,68,8,S,30,1011.0,18.2,43,,S,30,1010.7
,2022-02-3,8.9,17.2,0,,,S,50,10:23,12.1,71,8,SSW,22,1014.8,16.2,56,8,S,31,1015.4
,2022-02-4,9.6,22.6,0,,,SE,48,10:26,14.1,78,8,SSE,20,1020.4,21.2,39,,ESE,31,1019.1
,2022-02-5,11.7,23.9,0,,,ESE,43,00:59,16.6,71,,ESE,17,1021.2,22.1,42,7,NE,9,1019.5
,2022-02-6,10.9,26.9,0,,,ESE,44,17:30,18.3,60,,N,31,1023.8,25.6,35,2,ENE,13,1022.4
,2022-02-7,10.6,28.0,0,,,ESE,43,17:31,18.8,49,,N,30,1023.9,26.7,32,1,ENE,15,1019.5
,2022-02-8,10.7,28.1,0,,,NNE,46,08:04,19.0,54,,NNE,30,1015.8,26.6,25,,NNE,20,1011.5
,2022-02-9,16.2,28.9,0,,,NNW,44,12:14,20.2,51,8,N,13,1008.7,27.0,36,8,WSW,28,1007.3
,2022-02-10,12.7,24.0,0,,,SSE,41,11:09,14.6,83,5,S,17,1014.4,21.6,45,1,SSW,20,1015.1
,2022-02-11,9.2,20.4,0,,,SSE,57,17:54,15.1,71,8,SSE,39,1020.4,18.2,47,7,SSE,37,1019.8
,2022-02-12,11.6,27.9,0,,,SSE,48,00:26,17.2,71,,ESE,26,1018.8,25.9,39,1,NNW,11,1016.3
,2022-02-13,16.5,32.0,0,,,N,65,10:47,20.8,55,,N,39,1016.1,29.4,35,,N,35,1014.5
,2022-02-14,14.6,33.9,0,,,N,46,10:32,24.1,42,3,N,26,1019.5,32.9,23,2,NW,17,1018.8
,2022-02-15,13.9,27.8,0,,,SE,41,07:13,17.4,81,7,SE,26,1022.7,25.0,53,,SSE,19,1020.7
,2022-02-16,13.6,29.0,0.2,,,ESE,33,23:32,18.2,71,1,S,6,1015.6,28.5,30,8,N,9,1012.0
,2022-02-17,12.5,23.1,0,,,SW,35,17:47,13.9,85,8,S,17,1012.2,20.2,50,8,SW,19,1011.5
,2022-02-18,10.1,20.6,0,,,SSW,46,12:00,12.3,91,8,WSW,17,1014.5,18.7,45,7,S,26,1016.5
,2022-02-19,7.8,26.5,0,,,SSE,43,05:28,14.1,63,,SE,28,1019.0,24.7,31,,W,7,1015.8
,2022-02-20,6.0,24.9,0,,,NW,46,10:29,16.1,71,,NNW,15,1008.0,23.3,37,1,WSW,22,1004.5
,2022-02-21,6.4,19.5,0,,,S,43,08:41,11.8,63,,SSE,24,1011.3,18.6,41,7,SSE,22,1012.3
,2022-02-22,10.4,26.7,0,,,ESE,43,07:55,13.2,72,2,ESE,30,1016.2,24.2,38,,SSE,9,1014.6
,2022-02-23,9.4,30.2,0,,,NNE,39,09:55,21.2,68,,N,15,1017.7,28.6,38,1,N,19,1015.6
,2022-02-24,16.7,28.2,0,,,SE,44,22:20,19.1,62,6,ESE,22,1018.4,27.1,52,,SE,20,1016.4
,2022-02-25,13.0,23.5,0,,,SE,56,01:45,14.2,75,8,SE,37,1019.1,22.4,47,,SSE,31,1017.1
,2022-02-26,14.1,26.9,0,,,ESE,50,18:48,16.9,86,8,SE,30,1017.6,25.2,53,,SSE,22,1015.3
,2022-02-27,15.3,27.3,0,,,SE,44,23:05,18.3,79,,SE,24,1015.1,25.5,44,8,NNE,11,1012.5
,2022-02-28,16.1,26.9,0,,,SE,43,21:13,18.2,79,6,SE,26,1013.5,25.9,48,1,SE,15,1011.5
