"Daily Weather Observations for Ballarat, Victoria for March 2022"
"Prepared at 13:01 UTC on Friday  3 June 2022   IDCJDW3005.202203"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-03-1,16.9,21.0,1.0,,,ESE,39,23:11,17.6,94,8,N,7,1011.1,18.8,91,8,E,13,1010.6
,2022-03-2,16.9,26.2,9.2,,,ENE,35,10:37,18.4,83,8,ENE,13,1012.9,24.0,60,8,E,20,1011.7
,2022-03-3,13.6,30.3,0,,,SE,31,15:54,20.3,75,, ,Calm,1013.9,29.2,37,,SE,13,1012.9
,2022-03-4,15.2,28.6,0,,,NNE,39,08:43,22.6,64,1,NNE,24,1012.8,27.7,43,7,NNW,24,1010.6
,2022-03-5,13.7,21.2,24.8,,,S,44,22:33,14.0,95,7,SSW,17,1007.3,18.5,79,8,SSE,20,1008.2
,2022-03-6,11.0,19.1,2.0,,,SE,76,20:21,11.6,87,8,S,31,1016.5,17.0,88,8,S,30,1016.0
,2022-03-7,11.6,20.7,0,,,SE,72,23:47,15.2,84,7,ESE,26,1015.1,18.2,72,8,SSE,30,1013.6
,2022-03-8,11.4,18.4,0.8,,,SSE,69,10:35,12.7,92,8,SSE,44,1016.5,15.9,65,8,SSE,46,1017.4
,2022-03-9,11.8,19.0,0,,,SE,69,14:11,13.6,76,7,SE,39,1019.7,17.9,43,,SE,44,1019.0
,2022-03-10,7.7,19.4,0,,,SSE,43,10:21,11.0,91,8,S,28,1021.0,18.2,50,6,SSE,24,1020.0
,2022-03-11,8.5,19.8,0,,,,,,11.6,89,4,SSE,13,1020.8,18.6,50,,SE,15,1019.0
,2022-03-12,9.0,24.2,,,,SE,43,20:12,12.4,79,,E,20,1021.0,23.1,29,,NW,9,1019.6
,2022-03-13,11.3,26.7,0,,,N,48,09:53,19.2,66,,NNE,20,1020.1,25.8,51,,N,31,1018.8
,2022-03-14,12.3,28.8,0,,,ESE,43,16:54,19.2,64,, ,Calm,1020.7,28.5,32,8,NE,13,1018.4
,2022-03-15,14.5,21.3,4.0,,,NNE,44,09:51,17.5,76,,NNE,22,1019.4,18.8,83,8,NNE,15,1018.4
,2022-03-16,15.3,18.8,0.4,,,NNE,43,09:24,16.0,93,8,N,22,1017.9,17.0,84,8,N,24,1016.0
,2022-03-17,15.7,26.5,0,,,N,37,11:29,17.3,85,8,N,17,1015.5,23.6,59,8,NW,17,1014.2
,2022-03-18,14.4,20.7,0,,,SE,46,22:21,15.8,86,6,SSE,22,1020.5,18.4,73,8,SE,30,1020.5
,2022-03-19,11.3,26.5,0,,,N,54,11:22,15.6,83,,E,17,1018.3,25.4,41,,N,28,1016.7
,2022-03-20,10.4,27.0,0,,,ESE,30,20:39,17.0,70,1,SSW,9,1017.8,25.7,40,8,WNW,19,1016.1
,2022-03-21,9.0,29.5,0,,,SSW,35,17:16,16.4,81,,NNE,7,1015.0,27.8,27,,W,11,1013.1
,2022-03-22,10.8,21.7,0,,,WSW,41,11:37,14.9,85,7,SW,6,1010.1,17.4,76,8,S,11,1009.0
,2022-03-23,9.1,17.9,0.2,,,S,41,11:19,10.9,83,,SSW,15,1014.4,16.2,56,7,S,22,1014.8
,2022-03-24,5.7,19.7,0,,,SSE,33,08:45,9.7,85,,SSE,20,1016.4,18.3,43,,S,17,1016.0
,2022-03-25,7.8,19.5,0,,,ESE,43,13:04,10.6,95,,S,20,1020.9,17.0,61,7,SSE,28,1021.1
,2022-03-26,10.5,25.4,0,,,ESE,46,01:38,13.1,82,,ESE,24,1022.0,23.9,30,,N,13,1019.4
,2022-03-27,8.4,26.1,0,,,N,50,13:42,16.5,70,,NNE,22,1019.3,25.1,41,4,N,20,1016.1
,2022-03-28,14.8,24.6,0,,,SE,37,19:08,17.0,64,7,N,9,1015.1,23.9,42,,SW,17,1014.0
,2022-03-29,12.4,22.9,0,,,ESE,41,01:14,14.9,86,4,ESE,26,1015.5,22.1,54,1,SSE,11,1013.7
,2022-03-30,10.5,19.0,0,,,SSE,59,11:41,12.2,71,8,SSE,24,1015.8,17.8,54,8,SSE,31,1015.9
,2022-03-31,9.1,16.9,0.6,,,S,81,11:35,11.2,81,8,S,28,1022.8,15.5,75,8,SSE,41,1023.3
