"Daily Weather Observations for Ballarat, Victoria for April 2022"
"Prepared at 16:01 UTC on Thursday  2 June 2022   IDCJDW3005.202204"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-04-1,9.4,17.5,0,,,SE,59,08:39,11.3,77,1,SE,35,1026.7,14.7,60,8,SE,37,1026.2
,2022-04-2,11.2,16.5,0,,,SE,50,07:36,12.6,79,7,SE,26,1023.1,13.9,81,8,SSE,26,1020.5
,2022-04-3,11.0,17.3,0.4,,,SE,50,05:09,13.0,88,7,SE,28,1016.8,16.3,78,8,SSE,22,1013.7
,2022-04-4,11.1,16.9,0.6,,,SW,31,13:47,12.5,94,8,WSW,9,1015.1,16.3,68,8,SSW,17,1014.7
,2022-04-5,7.7,19.1,0.2,,,SE,41,21:12,9.7,98,6,SSE,15,1018.2,18.0,52,7,SSE,17,1016.8
,2022-04-6,9.6,19.3,0,,,ESE,44,03:26,13.7,80,8,SSE,20,1019.5,19.2,63,8,SSE,26,1018.5
,2022-04-7,12.1,19.9,0,,,SE,46,10:24,14.0,83,8,SE,31,1023.6,17.8,66,8,SE,30,1022.4
,2022-04-8,10.4,20.8,0,,,ESE,35,00:11,13.6,86,1,SE,15,1025.0,19.5,53,8,E,17,1021.4
,2022-04-9,13.5,22.0,0.6,,,NNE,50,09:33,16.5,89,8,NNE,24,1021.5,21.8,59,,N,31,1018.3
,2022-04-10,14.7,24.7,0,,,N,43,13:10,15.5,96,7,N,26,1019.2,23.7,52,,NNW,24,1016.6
,2022-04-11,10.9,17.6,0,,,SSE,39,09:16,11.4,84,8,S,26,1021.6,16.7,46,1,S,24,1021.2
,2022-04-12,5.9,16.6,0,,,SE,44,20:59,12.3,61,1,SSE,26,1024.2,16.3,45,,SSE,28,1022.7
,2022-04-13,9.2,19.9,0,,,ESE,41,11:04,12.3,79,8,SE,26,1025.5,19.1,53,,SE,17,1023.4
,2022-04-14,4.5,22.5,0,,,N,43,12:27,14.2,78,,NW,13,1026.0,21.4,42,2,N,13,1022.9
,2022-04-15,11.6,24.0,0,,,N,37,11:36,16.3,66,7,N,26,1022.3,23.2,39,7,NW,17,1019.8
,2022-04-16,10.6,25.2,0,,,NNW,39,14:17,17.9,56,,N,26,1021.0,24.3,33,,NNW,24,1018.0
,2022-04-17,10.5,25.5,0,,,N,56,11:42,17.0,55,,N,26,1015.4,24.8,32,4,N,37,1011.2
,2022-04-18,12.5,15.0,16.6,,,SW,31,11:14,12.5,95,8,WNW,6,1015.3,14.2,90,8,N,20,1014.6
,2022-04-19,11.8,13.2,3.4,,,SSE,35,10:06,12.1,97,7,SSE,19,1013.5,12.3,90,8,SSW,17,1012.4
,2022-04-20,5.0,16.3,0.6,,,W,35,15:18,9.6,97,8,N,17,1017.3,15.1,80,8,W,22,1017.8
,2022-04-21,8.0,13.3,0.6,,,SSE,33,15:36,10.2,92,8,S,15,1026.7,12.1,70,8,SE,22,1026.9
,2022-04-22,7.8,15.8,0,,,ESE,48,09:12,11.3,61,,ESE,30,1030.8,14.1,56,3,ESE,26,1029.6
,2022-04-23,7.3,18.2,0,,,ESE,35,21:49,12.1,81,5,ESE,17,1032.0,17.7,61,,SE,20,1030.2
,2022-04-24,8.1,19.1,0,,,ESE,31,18:45,12.3,79,,ESE,17,1033.3,18.3,52,,SE,17,1029.1
,2022-04-25,5.4,20.9,0,,,N,35,10:38,14.3,77,,NNW,7,1028.4,20.5,52,8,NE,17,1024.4
,2022-04-26,7.6,21.3,0,,,NE,35,13:31,15.6,70,,NNE,22,1022.3,19.0,55,8,NNE,19,1018.1
,2022-04-27,14.3,19.1,0,,,NNE,39,10:00,15.8,73,8,NE,20,1017.3,18.0,65,8,NE,24,1013.6
,2022-04-28,13.9,18.1,0,,,N,50,21:44,15.0,97,7,N,28,1015.5,15.9,91,8,N,26,1014.1
,2022-04-29,13.8,17.4,0.4,,,N,54,13:47,14.0,96,8,N,31,1018.1,17.0,85,8,N,35,1014.6
,2022-04-30,7.8,14.9,26.4,,,W,50,01:25,9.9,75,,W,24,1018.3,12.5,68,8,WNW,28,1019.1
