"Daily Weather Observations for Ballarat, Victoria for May 2022"
"Prepared at 13:01 UTC on Tuesday  7 June 2022   IDCJDW3005.202205"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-05-1,6.5,16.9,0,,,NNW,39,13:37,10.2,96,8,N,20,1023.0,15.1,72,7,NNW,28,1021.4
,2022-05-2,8.9,18.6,0,,,NNW,37,12:59,12.3,92,8,N,22,1023.2,16.7,63,7,NNW,28,1021.0
,2022-05-3,7.9,17.9,0,,,N,57,13:09,11.7,85,8,N,20,1019.2,15.9,57,4,N,35,1014.2
,2022-05-4,8.0,12.6,1.8,,,SW,35,13:44,9.4,95,8,W,6,1014.4,10.0,80,8,SW,11,1014.2
,2022-05-5,0.4,11.4,1.6,,,S,28,13:33,5.1,96,,WSW,9,1017.6,10.6,56,5,WSW,6,1015.5
,2022-05-6,-1.7,11.6,0.6,,,NW,37,12:34,4.6,97,,NNW,13,1017.7,10.5,59,8,NW,24,1015.8
,2022-05-7,4.6,11.1,2.4,,,W,46,14:16,8.5,83,8,WNW,30,1018.9,10.2,94,8,W,24,1019.0
,2022-05-8,7.9,13.4,4.2,,,SW,35,15:42,8.9,97,8,SSW,13,1026.5,11.6,77,8,SW,13,1026.3
,2022-05-9,1.9,14.4,0.8,,,ESE,24,23:31,8.6,92,,SE,7,1029.9,12.6,56,4,SSE,11,1028.5
,2022-05-10,3.6,,0.2,,,,,,10.1,87,7,SSE,7,1031.2,15.8,65,,N,17,1029.5
,2022-05-11,10.1,18.2,0,,,NNE,46,11:15,14.0,74,,NE,20,1028.1,16.2,63,8,NE,13,1024.3
,2022-05-12,10.7,17.7,0,,,ESE,35,12:17,13.4,85,8,SE,13,1020.2,16.5,64,8,E,24,1016.1
,2022-05-13,9.5,16.2,0,,,N,31,22:04,13.0,91,7,ESE,13,1017.6,15.8,91,8,NNE,13,1013.4
,2022-05-14,12.3,14.8,0.8,,,N,54,08:21,12.4,95,8,N,39,1012.0,14.3,86,8,N,35,1010.3
,2022-05-15,11.1,17.3,1.6,,,NW,57,12:10,11.4,98,8,N,28,1012.8,16.4,60,8,NW,37,1008.9
,2022-05-16,7.5,12.3,2.0,,,NW,50,14:07,9.5,93,8,N,19,1013.5,11.4,76,8,WNW,26,1012.3
,2022-05-17,2.3,11.6,3.6,,,WNW,37,11:52,7.1,95,8,N,20,1019.6,10.9,67,8,WNW,22,1017.7
,2022-05-18,4.4,11.6,0.6,,,W,46,11:00,8.2,86,,WNW,20,1020.6,9.5,73,8,WSW,28,1021.4
,2022-05-19,1.7,11.3,1.8,,,S,37,10:25,6.3,94,, ,Calm,1029.6,10.7,72,8,SSE,22,1029.8
,2022-05-20,6.2,13.2,0,,,SE,46,06:15,7.9,78,7,SE,20,1034.2,11.5,65,5,ESE,20,1032.6
,2022-05-21,4.3,17.1,0,,,ESE,30,17:59,8.5,82,,SE,11,1034.1,16.2,62,4,ESE,7,1031.1
,2022-05-22,2.9,15.4,0.2,,,SE,33,20:50,9.2,87,,ESE,15,1030.9,14.4,60,,S,15,1028.4
,2022-05-23,0.9,16.7,0.4,,,N,26,11:45,9.1,77,,N,4,1030.2,16.3,55,,NNE,13,1027.9
,2022-05-24,0.4,17.0,0,,,NE,35,13:56,10.4,86,,NE,6,1028.8,16.5,55,,N,24,1024.5
,2022-05-25,6.3,14.6,0,,,NNE,52,06:19,11.0,75,,NNE,30,1022.6,13.9,69,5,NNE,30,1018.7
,2022-05-26,10.1,14.2,2.8,,,N,39,04:47,10.8,98,8,N,22,1016.8,13.7,89,8,N,19,1015.9
,2022-05-27,3.7,14.4,1.8,,,NW,17,14:30,9.3,98,4,ESE,9,1019.8,14.1,63,1,WNW,4,1016.6
,2022-05-28,3.0,12.6,0.2,,,W,26,12:12,6.7,98,7, ,Calm,1015.4,11.4,54,7,SW,11,1012.9
,2022-05-29,2.1,8.9,0,,,N,30,23:51,6.2,97,8,NNW,13,1010.4,8.5,84,8,NNE,17,1006.5
,2022-05-30,4.2,7.4,1.2,,,ENE,39,06:52,7.2,92,8,NE,24,992.9,6.3,89,7,E,11,988.3
,2022-05-31,2.8,6.2,6.0,,,W,61,02:44,5.3,87,8,W,31,995.0,3.4,94,8,W,20,998.1
