"Daily Weather Observations for Ballarat, Victoria for June 2022",,,,,,,,,,,,,,,,,,,,,
Prepared at 13:00 UTC on Tuesday  6 December 2022   IDCJDW3005.202206,,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Ballarat Aerodrome {station 089002},,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,1/06/2022,0.8,9.4,9,,,SW,57,12:09,4.7,91,8,WSW,26,1009.9,8.7,71,8,SW,22,1014.9
,2/06/2022,-3,8.8,0,,,N,30,14:15,0.3,98,,ENE,6,1021.7,7.3,74,7,N,19,1018.8
,3/06/2022,0.3,10.4,0.2,,,N,50,13:28,4.8,92,8,N,20,1014.2,8.7,70,8,N,31,1009.8
,4/06/2022,4.8,9.9,0.4,,,N,52,21:58,7.1,98,7,N,26,1008.8,8.8,94,8,NNW,31,1005.9
,5/06/2022,6,9.9,13,,,N,67,1:31,6.7,94,8,N,33,1000.6,7,87,8,NNW,24,996.9
,6/06/2022,2.5,9.5,4.8,,,W,54,13:18,4.6,91,6,W,15,1005.2,6.9,82,8,W,24,1006.6
,7/06/2022,2.1,8.9,4,,,SW,52,14:34,4.6,95,8,SW,17,1010.8,6.9,81,8,SSW,20,1012.7
,8/06/2022,4.1,9,2.6,,,WSW,35,12:37,5.3,97,8,SW,13,1019.6,7.4,89,8,WSW,24,1018.6
,9/06/2022,5.1,9.7,2.8,,,SW,41,14:29,6.6,96,7,WSW,24,1017.7,9,89,8,SW,20,1017.1
,10/06/2022,6.6,9.7,3.4,,,SSW,46,13:24,7.7,97,8,W,19,1019.5,9.6,83,8,SW,20,1018.8
,11/06/2022,5.5,9.4,1.6,,,SW,50,13:47,6.3,90,8,WSW,22,1021.4,8.5,83,7,WSW,26,1018.5
,12/06/2022,6.3,10.2,1.8,,,WSW,44,0:08,7.4,95,8,SW,19,1019.8,9.3,88,8,SSW,20,1019.1
,13/06/2022,5.2,10.2,1.8,,,SW,22,1:39,6.6,98,8,S,9,1023.9,9.8,82,7,W,9,1022.4
,14/06/2022,5.8,8.4,0.2,,,NNE,65,23:06,6.7,82,8,N,26,1022,7.8,79,8,N,33,1018.2
,15/06/2022,5.8,10.1,0.2,,,N,67,0:40,5.9,95,8,N,35,1013.8,7.1,97,8,N,37,1011.6
,16/06/2022,5.9,13.3,2.6,,,SSW,33,13:31,10,98,8,WSW,13,1016.8,11.9,85,6,SSW,19,1018
,17/06/2022,7.7,11.8,1.2,,,SSE,24,14:11,8.4,96,7,S,7,1024.2,11.3,77,2,S,11,1023.9
,18/06/2022,1.6,13.3,0.2,,,E,15,15:06,6,99,, ,Calm,1027.7,12.5,63,7,E,7,1026.3
,19/06/2022,0.8,9,0.2,,,NNE,50,20:18,6.9,91,,N,19,1026.3,8.4,90,8,N,28,1023.7
,20/06/2022,6.7,13.4,0,,,N,56,10:33,8.7,85,7,N,28,1020.1,11.7,81,8,N,35,1016.6
,21/06/2022,3.4,12.3,6.6,,,W,35,13:09,7.2,93,1,WNW,17,1019.4,10.6,72,1,W,22,1019.8
,22/06/2022,3.6,13.2,1,,,N,28,21:25,8.4,99,8,NNW,9,1024.7,12.2,74,6,W,13,1024
,23/06/2022,8.4,13,0.4,,,N,50,14:05,9.9,98,8,NNW,20,1022.7,12.1,85,7,N,28,1018
,24/06/2022,8.6,12.6,4.6,,,N,48,0:31,9.7,91,8,WNW,15,1015.9,11.8,65,1,W,22,1016
,25/06/2022,5,12.3,0.6,,,NNW,44,14:00,7,97,8,N,22,1020,10.9,84,8,NNW,28,1019.8
,26/06/2022,5.6,10,0.4,,,SW,43,15:14,7.7,96,8,N,17,1023.8,9.3,75,8,SW,17,1024.1
,27/06/2022,-0.5,9.9,3.6,,,SSW,28,11:18,3.6,95,1,S,11,1032.6,9.1,70,8,SW,11,1033
,28/06/2022,-0.1,10.1,0,,,N,43,12:15,4.9,98,8,N,13,1031.9,9.3,72,1,N,28,1028.2
,29/06/2022,2.2,7.4,0.2,,,N,46,11:40,3.9,87,8,N,26,1024.6,6.8,79,8,N,26,1021.1
,30/06/2022,1.8,11.9,0,,,SSE,31,23:58,5.7,90,7,SSE,7,1024.7,11.2,56,,S,15,1024.5
