"Daily Weather Observations for Ballarat, Victoria for July 2022"
"Prepared at 13:00 UTC on Monday  5 December 2022   IDCJDW3005.202207"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2022-07-1,4.8,9.5,0.2,,,SSE,35,00:22,6.3,93,8,S,19,1030.5,9.2,74,8,S,15,1030.0
,2022-07-2,1.2,10.0,0.2,,,SE,44,21:17,5.5,96,8,SSE,20,1030.6,8.8,67,5,SSE,28,1028.8
,2022-07-3,4.8,10.2,0,,,SE,57,05:49,6.8,80,8,SE,31,1028.1,8.4,69,7,SSE,33,1026.3
,2022-07-4,4.9,11.5,0,,,SSE,57,11:45,5.9,88,,SSE,30,1027.7,10.5,72,2,SSE,41,1026.4
,2022-07-5,5.9,11.9,0.2,,,SE,54,04:48,8.2,86,,SE,30,1027.1,11.0,66,,SE,28,1024.7
,2022-07-6,-2.4,12.9,0,,,NNW,39,14:13,5.1,97,,N,13,1023.0,12.2,61,,NW,24,1020.2
,2022-07-7,0.0,10.7,0.4,,,SW,43,14:47,6.0,98,7,WSW,11,1019.3,10.3,60,2,WSW,24,1017.5
,2022-07-8,4.9,10.1,1.2,,,SSW,50,13:18,6.8,92,7,SW,20,1017.4,7.0,85,8,SSW,20,1017.1
,2022-07-9,4.9,10.4,4.0,,,S,30,15:51,5.3,97,8,SW,11,1022.6,9.2,77,7,S,17,1023.1
,2022-07-10,2.8,12.8,0.4,,,N,35,14:15,7.1,85,,E,17,1028.0,12.2,59,,NNW,26,1025.8
,2022-07-11,2.9,8.9,0,,,N,44,12:55,5.2,89,8,N,22,1024.3,8.4,78,7,N,22,1020.5
,2022-07-12,5.2,10.7,0.4,,,N,26,00:26,6.4,98,8,SW,13,1018.2,8.4,81,8,SSW,13,1016.4
,2022-07-13,0.0,10.3,2.4,,,SSW,39,13:12,4.3,96,8,SSW,9,1021.0,8.8,67,4,SSW,24,1021.6
,2022-07-14,3.1,9.4,0.4,,,S,31,00:40,6.4,75,8,SSW,13,1028.1,8.4,74,8,SW,13,1028.0
,2022-07-15,1.8,10.9,0,,,N,41,23:35,6.1,95,8,NNW,9,1029.2,9.8,67,7,NNW,20,1025.1
,2022-07-16,4.1,10.5,0.4,,,N,70,11:42,4.3,93,8,N,30,1019.7,9.2,59,6,N,50,1011.2
,2022-07-17,4.2,13.0,1.4,,,W,56,13:51,9.4,93,8,NNW,28,1007.8,6.1,91,8,W,24,1008.5
,2022-07-18,3.3,9.0,4.4,,,S,43,16:21,4.4,97,8,WSW,13,1019.5,6.4,84,7,SSW,22,1022.2
,2022-07-19,2.9,8.6,1.0,,,SE,39,08:27,5.1,70,1,SE,20,1030.4,7.9,56,,ESE,22,1029.9
,2022-07-20,-0.5,12.3,0.2,,,ESE,31,16:53,3.8,84,, ,Calm,1032.8,12.0,48,1,E,13,1030.8
,2022-07-21,0.6,14.4,0,,,NNE,41,13:42,8.3,62,,E,9,1032.9,13.5,48,,N,30,1030.0
,2022-07-22,1.5,13.6,0,,,N,65,12:35,8.4,74,,N,22,1029.2,12.2,64,7,N,33,1024.7
,2022-07-23,7.2,10.9,0.4,,,N,54,12:58,8.6,92,8,N,26,1023.9,10.0,92,8,N,28,1020.1
,2022-07-24,8.6,14.0,5.4,,,NNE,44,23:15,9.6,98,8,NNE,19,1021.7,13.1,82,8,N,22,1019.4
,2022-07-25,8.5,10.3,0,,,W,54,19:55,9.2,89,7,NNE,33,1013.9,9.2,97,8,N,28,1010.5
,2022-07-26,4.4,9.1,10.6,,,SW,57,15:48,5.3,91,8,WSW,20,1016.1,7.2,84,8,SW,20,1017.7
,2022-07-27,5.2,11.9,4.4,,,W,39,11:55,8.2,96,8,WSW,17,1022.3,11.0,75,8,W,20,1021.2
,2022-07-28,4.7,10.5,3.6,,,SSW,30,15:45,6.4,98,8, ,Calm,1025.9,7.4,80,8,SSW,13,1024.7
,2022-07-29,0.1,9.8,2.2,,,SSE,31,12:07,4.2,98,1,S,2,1029.0,9.4,58,5,S,9,1028.2
,2022-07-30,-2.2,8.9,0.2,,,N,54,12:06,2.8,89,,N,24,1026.2,7.9,64,,N,43,1021.5
,2022-07-31,2.7,10.5,0,,,N,69,11:32,6.5,70,8,N,26,1013.8,9.2,72,8,N,39,1008.8
