incident_datetime,incident_no,District_no,incident_type_code,incident_type
1/07/2018,686153,15,414.30,Minor fuel or other flammable liquid spill/leak - 200 litres or less
1/07/2018,686156,5,735.00,Smoke detector malfunction - privately monitored
1/07/2018,686154,14,180.00,Outside refuse fire; insuff info to classify
1/07/2018,686158,11,711.00,"Malicious, mischievous false alarm"
1/07/2018,686157,27,321.00,"EMS call, excluding vehicle accident with injury"
1/07/2018,686161,27,151.00,Passenger vehicle fire including buses
1/07/2018,686166,14,352.10,Vehicle accident-with injuries
1/07/2018,686159,NULL,523.00,"Mutual aid given, coverage assignment, standby at fire station or move up"
1/07/2018,686160,13,352.10,Vehicle accident-with injuries
1/07/2018,686172,4,351.00,Extrications of victim(s) from mobile property
1/07/2018,686162,2,151.00,Passenger vehicle fire including buses
1/07/2018,686178,8,111.00,Fire damaging structure and contents
1/07/2018,686163,7,414.30,Minor fuel or other flammable liquid spill/leak - 200 litres or less
1/07/2018,686165,14,739.00,Attending officer unable to locate detector indicated by fire alarm panel
1/07/2018,686173,5,151.00,Passenger vehicle fire including buses
1/07/2018,686164,8,321.00,"EMS call, excluding vehicle accident with injury"
1/07/2018,686168,8,151.00,Passenger vehicle fire including buses
1/07/2018,686169,15,700.00,False alarm or false call; insuff info to classify
1/07/2018,686167,2,321.00,"EMS call, excluding vehicle accident with injury"
1/07/2018,686170,24,122.00,Chimney or flue fire - confined
1/07/2018,686176,14,112.00,Fire damaging structure only
1/07/2018,686183,13,509.00,Other service call not classified (Public Service)
1/07/2018,686171,27,179.00,Vegetation or other outside fire (One hectare or less) not classified
1/07/2018,686177,14,151.00,Passenger vehicle fire including buses
1/07/2018,686174,14,163.00,Grass fire (more than one hectare)
1/07/2018,686175,8,321.00,"EMS call, excluding vehicle accident with injury"
1/07/2018,686179,8,609.00,Good intent call not classified
1/07/2018,686181,14,321.00,"EMS call, excluding vehicle accident with injury"
1/07/2018,686182,13,738.00,"Alarm system malfunction - flat battery, fault in wiring, alarm panel, inadequate maintenance"
1/07/2018,686180,15,621.00,"Smoke scare, odour of smoke"
1/07/2018,686184,8,352.10,Vehicle accident-with injuries
1/07/2018,686191,20,351.00,Extrications of victim(s) from mobile property
1/07/2018,686186,23,352.10,Vehicle accident-with injuries
