incident_datetime,incident_no,District_no,incident_type_code,incident_type
1/07/2021,814394,18,152,Road or transport vehicle fire
1/07/2021,814393,,523.53,Mutual Aid Given - FRV
1/07/2021,814395,15,151,Passenger vehicle fire including buses
1/07/2021,814396,9,112,Fire damaging structure only
1/07/2021,814397,14,151,Passenger vehicle fire including buses
1/07/2021,814401,18,152,Road or transport vehicle fire
1/07/2021,814398,23,523.53,Mutual Aid Given - FRV
1/07/2021,814399,8,352,Vehicle accident-no injuries
1/07/2021,814400,14,523.53,Mutual Aid Given - FRV
1/07/2021,814402,22,143.2,"Stock fodder fire (includes hay bales or rolls, hay stacks etc)"
1/07/2021,814404,8,523.53,Mutual Aid Given - FRV
1/07/2021,814405,7,523.53,Mutual Aid Given - FRV
1/07/2021,814406,9,434,Breakdown of light ballast
1/07/2021,814407,7,521,Assist police or other governmental agency
1/07/2021,814408,22,523.53,Mutual Aid Given - FRV
1/07/2021,814417,18,352.1,Vehicle accident-with injuries
1/07/2021,814600,11,352.1,Vehicle accident-with injuries
1/07/2021,814411,20,151,Passenger vehicle fire including buses
1/07/2021,814409,14,321,"EMS call, excluding vehicle accident with injury"
1/07/2021,814410,23,523.53,Mutual Aid Given - FRV
1/07/2021,814412,8,921,Dispatched and cancelled en-route
1/07/2021,814413,12,352.1,Vehicle accident-with injuries
1/07/2021,814415,5,413,Oil or other combustible liquid spill
1/07/2021,814416,27,766,"Alarm activation due to poor building maintenance such as dust, cobwebs etc"
1/07/2021,814425,13,352.1,Vehicle accident-with injuries
1/07/2021,814414,7,331,Lock-in
1/07/2021,814419,7,523.53,Mutual Aid Given - FRV
1/07/2021,814431,7,523.53,Mutual Aid Given - FRV
1/07/2021,814424,8,321,"EMS call, excluding vehicle accident with injury"
1/07/2021,814420,11,609,Good intent call not classified
1/07/2021,814423,7,523.53,Mutual Aid Given - FRV
1/07/2021,814432,14,523.53,Mutual Aid Given - FRV
1/07/2021,814421,8,523.53,Mutual Aid Given - FRV
1/07/2021,814422,8,621,"Smoke scare, odour of smoke"
1/07/2021,814430,14,523.53,Mutual Aid Given - FRV
1/07/2021,814426,13,412,"Odour or gas, gas leak, (domestic or LPG)"
1/07/2021,814427,8,301.3,Animal Rescue
1/07/2021,814428,20,732,Smoke detector malfunction - monitored by fire service
1/07/2021,814429,18,523.53,Mutual Aid Given - FRV
1/07/2021,814434,4,122,Chimney or flue fire - confined
1/07/2021,814439,17,352.1,Vehicle accident-with injuries
1/07/2021,814433,8,701,Manual control point or break glass alarm activated
1/07/2021,814435,14,523.53,Mutual Aid Given - FRV
1/07/2021,814438,7,735,Smoke detector malfunction - privately monitored
1/07/2021,814436,8,624,Controlled burning
1/07/2021,814441,7,523.53,Mutual Aid Given - FRV
1/07/2021,814440,14,621,"Smoke scare, odour of smoke"
1/07/2021,814470,,523.53,Mutual Aid Given - FRV
1/07/2021,814443,13,352,Vehicle accident-no injuries
1/07/2021,814444,9,762,Accidental operation of alarm
1/07/2021,814442,14,412,"Odour or gas, gas leak, (domestic or LPG)"
1/07/2021,814445,14,523.53,Mutual Aid Given - FRV
1/07/2021,814449,10,179,Vegetation or other outside fire (One hectare or less) not classified
1/07/2021,814450,16,414.3,Minor fuel or other flammable liquid spill/leak - 200 litres or less
1/07/2021,1080534,8,523.53,Mutual Aid Given - FRV
1/07/2021,814458,20,732,Smoke detector malfunction - monitored by fire service
1/07/2021,814446,14,523.53,Mutual Aid Given - FRV
1/07/2021,814447,8,768,"Alarm activation due to steam, sauna, steam room"
1/07/2021,814448,2,0,Type of incident undetermined
1/07/2021,814451,13,700,False alarm or false call; insuff info to classify
1/07/2021,814459,2,768,"Alarm activation due to steam, sauna, steam room"
1/07/2021,814452,22,514,Unauthorised burning
1/07/2021,814461,13,352,Vehicle accident-no injuries
1/07/2021,814453,5,172.3,Scrub or bush and grass mixture fire (one hectare or less)
1/07/2021,814457,8,352.1,Vehicle accident-with injuries
1/07/2021,814454,8,523.53,Mutual Aid Given - FRV
1/07/2021,814463,14,412,"Odour or gas, gas leak, (domestic or LPG)"
1/07/2021,814462,14,523.53,Mutual Aid Given - FRV
1/07/2021,814460,16,621,"Smoke scare, odour of smoke"
1/07/2021,814464,8,173.2,Small grass fire (One hectare or less)
1/07/2021,814465,20,412,"Odour or gas, gas leak, (domestic or LPG)"
1/07/2021,814480,16,768,"Alarm activation due to steam, sauna, steam room"
1/07/2021,814469,8,523.53,Mutual Aid Given - FRV
1/07/2021,814468,8,523.53,Mutual Aid Given - FRV
1/07/2021,814467,14,523.53,Mutual Aid Given - FRV
1/07/2021,814466,27,523.53,Mutual Aid Given - FRV
1/07/2021,814475,8,523.53,Mutual Aid Given - FRV
1/07/2021,814472,13,732,Smoke detector malfunction - monitored by fire service
1/07/2021,814483,2,352.1,Vehicle accident-with injuries
