incident_datetime,Incident_count
2017-07-01,272
2017-07-02,272
2017-07-03,224
2017-07-04,182
2017-07-05,166
2017-07-06,160
2017-07-07,222
2017-07-08,176
2017-07-09,152
2017-07-10,184
2017-07-11,194
2017-07-12,228
2017-07-13,160
2017-07-14,168
2017-07-15,240
2017-07-16,186
2017-07-17,176
2017-07-18,164
2017-07-19,138
2017-07-20,168
2017-07-21,218
2017-07-22,202
2017-07-23,150
2017-07-24,194
2017-07-25,160
2017-07-26,168
2017-07-27,182
2017-07-28,194
2017-07-29,222
2017-07-30,168
2017-07-31,202
2017-08-01,182
2017-08-02,188
2017-08-03,166
2017-08-04,178
2017-08-05,164
2017-08-06,162
2017-08-07,160
2017-08-08,188
2017-08-09,178
2017-08-10,192
2017-08-11,174
2017-08-12,228
2017-08-13,194
2017-08-14,196
2017-08-15,176
2017-08-16,146
2017-08-17,166
2017-08-18,204
2017-08-19,196
2017-08-20,190
2017-08-21,190
2017-08-22,200
2017-08-23,160
2017-08-24,158
2017-08-25,186
2017-08-26,212
2017-08-27,146
2017-08-28,168
2017-08-29,178
2017-08-30,218
2017-08-31,206
2017-09-01,208
2017-09-02,200
2017-09-03,188
2017-09-04,170
2017-09-05,150
2017-09-06,130
2017-09-07,176
2017-09-08,166
2017-09-09,206
2017-09-10,208
2017-09-11,168
2017-09-12,190
2017-09-13,174
2017-09-14,156
2017-09-15,160
2017-09-16,162
2017-09-17,226
2017-09-18,200
2017-09-19,164
2017-09-20,242
2017-09-21,242
2017-09-22,232
2017-09-23,386
2017-09-24,188
2017-09-25,180
2017-09-26,198
2017-09-27,210
2017-09-28,224
2017-09-29,216
2017-09-30,206
2017-10-01,214
2017-10-02,228
2017-10-03,250
2017-10-04,256
2017-10-05,208
2017-10-06,212
2017-10-07,310
2017-10-08,232
2017-10-09,200
2017-10-10,214
2017-10-11,222
2017-10-12,186
2017-10-13,174
2017-10-14,294
2017-10-15,248
2017-10-16,278
2017-10-17,282
