Date,Ball_Minimum temperature (°C),Ball_Maximum temperature (°C),Ball_Direction of maximum wind gust,Ball_Speed of maximum wind gust (km/h)
2022-07-01,4.8,9.5,SSE,35.0
2022-07-02,1.2,10.0,SE,44.0
2022-07-03,4.8,10.2,SE,57.0
2022-07-04,4.9,11.5,SSE,57.0
2022-07-05,5.9,11.9,SE,54.0
2022-07-06,-2.4,12.9,NNW,39.0
2022-07-07,0.0,10.7,SW,43.0
2022-07-08,4.9,10.1,SSW,50.0
2022-07-09,4.9,10.4,S,30.0
2022-07-10,2.8,12.8,N,35.0
2022-07-11,2.9,8.9,N,44.0
2022-07-12,5.2,10.7,N,26.0
2022-07-13,0.0,10.3,SSW,39.0
2022-07-14,3.1,9.4,S,31.0
2022-07-15,1.8,10.9,N,41.0
2022-07-16,4.1,10.5,N,70.0
2022-07-17,4.2,13.0,W,56.0
2022-07-18,3.3,9.0,S,43.0
2022-07-19,2.9,8.6,SE,39.0
2022-07-20,-0.5,12.3,ESE,31.0
2022-07-21,0.6,14.4,NNE,41.0
2022-07-22,1.5,13.6,N,65.0
2022-07-23,7.2,10.9,N,54.0
2022-07-24,8.6,14.0,NNE,44.0
2022-07-25,8.5,10.3,W,54.0
2022-07-26,4.4,9.1,SW,57.0
2022-07-27,5.2,11.9,W,39.0
2022-07-28,4.7,10.5,SSW,30.0
2022-07-29,0.1,9.8,SSE,31.0
2022-07-30,-2.2,8.9,N,54.0
2022-07-31,2.7,10.5,N,69.0
2022-06-01,0.8,9.4,SW,57.0
2022-06-02,-3.0,8.8,N,30.0
2022-06-03,0.3,10.4,N,50.0
2022-06-04,4.8,9.9,N,52.0
2022-06-05,6.0,9.9,N,67.0
2022-06-06,2.5,9.5,W,54.0
2022-06-07,2.1,8.9,SW,52.0
2022-06-08,4.1,9.0,WSW,35.0
2022-06-09,5.1,9.7,SW,41.0
2022-06-10,6.6,9.7,SSW,46.0
2022-06-11,5.5,9.4,SW,50.0
2022-06-12,6.3,10.2,WSW,44.0
2022-06-13,5.2,10.2,SW,22.0
2022-06-14,5.8,8.4,NNE,65.0
2022-06-15,5.8,10.1,N,67.0
2022-06-16,5.9,13.3,SSW,33.0
2022-06-17,7.7,11.8,SSE,24.0
2022-06-18,1.6,13.3,E,15.0
2022-06-19,0.8,9.0,NNE,50.0
2022-06-20,6.7,13.4,N,56.0
2022-06-21,3.4,12.3,W,35.0
2022-06-22,3.6,13.2,N,28.0
2022-06-23,8.4,13.0,N,50.0
2022-06-24,8.6,12.6,N,48.0
2022-06-25,5.0,12.3,NNW,44.0
2022-06-26,5.6,10.0,SW,43.0
2022-06-27,-0.5,9.9,SSW,28.0
2022-06-28,-0.1,10.1,N,43.0
2022-06-29,2.2,7.4,N,46.0
2022-06-30,1.8,11.9,SSE,31.0
2022-05-01,6.5,16.9,NNW,39.0
2022-05-02,8.9,18.6,NNW,37.0
2022-05-03,7.9,17.9,N,57.0
2022-05-04,8.0,12.6,SW,35.0
2022-05-05,0.4,11.4,S,28.0
2022-05-06,-1.7,11.6,NW,37.0
2022-05-07,4.6,11.1,W,46.0
2022-05-08,7.9,13.4,SW,35.0
2022-05-09,1.9,14.4,ESE,24.0
2022-05-10,3.6,16.3,None,0.0
2022-05-11,10.1,18.2,NNE,46.0
2022-05-12,10.7,17.7,ESE,35.0
2022-05-13,9.5,16.2,N,31.0
2022-05-14,12.3,14.8,N,54.0
2022-05-15,11.1,17.3,NW,57.0
2022-05-16,7.5,12.3,NW,50.0
