Date,Ball_Direction of maximum wind gust,Ball_Maximum temperature (°C),Ball_Minimum temperature (°C),Ball_Speed of maximum wind gust (km/h),Fern_Direction of maximum wind gust,Fern_Maximum temperature (°C),Fern_Minimum temperature (°C),Fern_Speed of maximum wind gust (km/h),Wang_Direction of maximum wind gust,Wang_Maximum temperature (°C),Wang_Minimum temperature (°C),Wang_Speed of maximum wind gust (km/h)
2022-07-01,SSE,9.5,4.8,35.0,SE,9.5,4.8,20.0,SSW,31.2,15.3,46.0
2022-07-02,SE,10.0,1.2,44.0,SE,8.7,5.1,30.0,SW,33.2,13.4,54.0
2022-07-03,SE,10.2,4.8,57.0,ESE,8.4,4.0,37.0,W,29.5,16.2,35.0
2022-07-04,SSE,11.5,4.9,57.0,ESE,8.8,3.5,35.0,SSW,23.6,11.5,50.0
2022-07-05,SE,11.9,5.9,54.0,ESE,10.1,6.3,30.0,NNE,26.9,9.5,28.0
2022-07-06,NNW,12.9,-2.4,39.0,NNW,12.9,4.5,17.0,N,25.7,13.2,39.0
2022-07-07,SW,10.7,0.0,43.0,WSW,8.7,4.6,22.0,WSW,28.8,14.2,44.0
2022-07-08,SSW,10.1,4.9,50.0,W,7.5,5.6,37.0,WSW,21.9,8.8,43.0
2022-07-09,S,10.4,4.9,30.0,ESE,8.4,5.1,26.0,SSE,19.8,7.5,50.0
2022-07-10,N,12.8,2.8,35.0,E,11.8,5.2,31.0,None,21.6,11.7,0.0
2022-07-11,N,8.9,2.9,44.0,N,10.1,6.5,28.0,N,23.4,3.2,19.0
2022-07-12,N,10.7,5.2,26.0,S,6.8,5.3,20.0,ENE,28.0,5.6,35.0
2022-07-13,SSW,10.3,0.0,39.0,S,8.9,4.1,24.0,NNE,25.9,12.1,43.0
2022-07-14,S,9.4,3.1,31.0,SSW,8.2,3.9,17.0,SSE,26.8,15.6,35.0
2022-07-15,N,10.9,1.8,41.0,NE,9.8,4.3,33.0,E,25.2,12.5,33.0
2022-07-16,N,10.5,4.1,70.0,NNE,8.8,5.5,56.0,WSW,26.0,12.9,54.0
2022-07-17,W,13.0,4.2,56.0,NNW,9.9,5.4,37.0,NW,27.1,12.6,26.0
2022-07-18,S,9.0,3.3,43.0,SSW,6.9,2.4,22.0,W,22.5,12.3,31.0
2022-07-19,SE,8.6,2.9,39.0,E,8.2,2.2,26.0,NW,23.4,5.1,19.0
2022-07-20,ESE,12.3,-0.5,31.0,ENE,11.5,2.6,9.0,WSW,19.9,12.4,37.0
2022-07-21,NNE,14.4,0.6,41.0,E,13.2,4.0,20.0,S,21.8,4.7,31.0
2022-07-22,N,13.6,1.5,65.0,NNE,15.1,7.9,22.0,NW,14.3,10.9,22.0
2022-07-23,N,10.9,7.2,54.0,NNE,11.3,9.3,44.0,WSW,17.7,10.4,54.0
2022-07-24,NNE,14.0,8.6,44.0,NNW,14.3,8.9,28.0,WNW,15.7,6.1,63.0
2022-07-25,W,10.3,8.5,54.0,NE,13.2,8.8,41.0,WNW,15.7,7.3,54.0
2022-07-26,SW,9.1,4.4,57.0,W,7.8,4.8,22.0,SW,18.0,1.7,31.0
2022-07-27,W,11.9,5.2,39.0,WSW,9.8,4.3,17.0,N,21.9,2.8,28.0
2022-07-28,SSW,10.5,4.7,30.0,WSW,9.0,6.1,20.0,NNE,24.8,4.8,35.0
2022-07-29,SSE,9.8,0.1,31.0,S,9.6,3.9,17.0,WNW,22.2,15.0,41.0
2022-07-30,N,8.9,-2.2,54.0,N,9.1,2.2,41.0,W,21.4,12.9,22.0
